date,code,open,high,low,close,adj_close,volume
2014-10-31,00631L,19.99,20.2,19.93,20.2,20.2,16880000
2014-11-03,00631L,20.18,20.55,20.18,20.36,20.36,9493012
2014-11-04,00631L,20.5,20.65,20.35,20.47,20.47,6319001
2014-11-05,00631L,20.51,20.55,20.27,20.3,20.3,6678011
2014-11-06,00631L,20.36,20.4,20.01,20.01,20.01,11615001
2014-11-07,00631L,20.08,20.18,19.9,20.13,20.13,7986000
2014-11-10,00631L,20.17,20.84,20.17,20.74,20.74,11468000
2014-11-11,00631L,20.8,20.87,20.66,20.69,20.69,5157500
2014-11-12,00631L,20.5,20.58,20.01,20.1,20.1,4540000
2014-11-13,00631L,20.18,20.34,20.11,20.3,20.3,2603000
2014-11-14,00631L,20.31,20.44,20.22,20.32,20.32,2766000
2014-11-17,00631L,20.51,20.6,19.93,20.06,20.06,6690000
2014-11-18,00631L,20.12,20.25,19.8,19.9,19.9,4107100
2014-11-19,00631L,19.95,20.47,19.95,20.38,20.38,7710000
2014-11-20,00631L,20.5,20.92,20.5,20.91,20.91,4873000
2014-11-21,00631L,20.93,21.03,20.87,20.94,20.94,3379000
2014-11-24,00631L,21.05,21.4,21.0,21.02,21.02,7501100
2014-11-25,00631L,21.04,21.2,20.82,21.1,21.1,8497000
2014-11-26,00631L,21.07,21.13,20.97,21.06,21.06,6362000
2014-11-27,00631L,21.18,21.57,21.18,21.35,21.35,5204400
2014-11-28,00631L,21.35,21.46,21.29,21.4,21.4,7845400
2014-12-01,00631L,20.9,21.31,20.61,21.03,21.03,7717000
2014-12-02,00631L,20.8,20.9,20.45,20.55,20.55,4091000
2014-12-03,00631L,20.68,21.26,20.58,21.21,21.21,6932000
2014-12-04,00631L,21.43,21.58,21.32,21.42,21.42,3114000
2014-12-05,00631L,21.33,21.43,21.22,21.32,21.32,2654000
2014-12-08,00631L,21.4,21.46,21.1,21.17,21.17,1513002
2014-12-09,00631L,21.0,21.06,20.9,20.92,20.92,3903000
2014-12-10,00631L,20.8,20.91,20.32,20.38,20.38,5589000
