date,code,open,high,low,close,adj_close,volume,source,source_symbol,currency,proxy_class
2018-02-01,00719B,29.89,29.9,29.0,29.81,29.81,1008000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-02,00719B,29.83,29.91,29.8,29.85,29.85,504000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-05,00719B,29.96,29.97,29.86,29.87,29.87,866000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-06,00719B,29.95,30.09,29.95,30.01,30.01,456000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-07,00719B,29.89,29.94,29.89,29.9,29.9,404000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-08,00719B,29.9,30.0,29.9,29.97,29.97,570000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-09,00719B,30.03,30.06,30.03,30.05,30.05,547000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-12,00719B,30.1,30.1,30.04,30.06,30.06,450000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-21,00719B,30.02,30.02,29.97,29.99,29.99,612000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-22,00719B,30.07,30.08,30.03,30.08,30.08,416000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-23,00719B,29.99,30.08,29.99,30.08,30.08,421000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-26,00719B,30.08,30.08,30.04,30.07,30.07,404000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-02-27,00719B,30.04,30.06,30.03,30.04,30.04,409000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-01,00719B,30.1,30.1,30.08,30.08,30.08,408000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-02,00719B,30.1,30.11,30.09,30.1,30.1,415000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-05,00719B,30.1,30.1,30.07,30.1,30.1,405000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-06,00719B,30.06,30.08,30.05,30.08,30.08,405000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-07,00719B,30.08,30.1,30.06,30.07,30.07,406500,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-08,00719B,30.07,30.07,30.05,30.05,30.05,403000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-09,00719B,30.07,30.11,30.07,30.09,30.09,408000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-12,00719B,30.05,30.07,30.05,30.07,30.07,403000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-13,00719B,30.07,30.08,30.06,30.07,30.07,404000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-14,00719B,30.08,30.08,30.07,30.08,30.08,401000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-15,00719B,30.09,30.09,30.07,30.07,30.07,402000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-16,00719B,30.05,30.05,29.98,29.98,29.98,407000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
2018-03-19,00719B,29.98,30.0,29.98,29.99,29.99,402000,FinMind TaiwanStockPrice,00719B,TWD,tw_bond_etf
