effective_date,rediscount_pct,secured_pct,short_pct
2008-11-10,2.75,3.125,5.0
2008-12-12,2.0,2.375,4.25
2009-01-08,1.5,1.875,3.75
2009-02-19,1.25,1.625,3.5
2010-06-25,1.375,1.75,3.625
2010-10-01,1.5,1.875,3.75
2010-12-31,1.625,2.0,3.875
2011-04-01,1.75,2.125,4.0
2011-07-01,1.875,2.25,4.125
2015-09-25,1.75,2.125,4.0
2015-12-18,1.625,2.0,3.875
2016-03-25,1.5,1.875,3.75
2016-07-01,1.375,1.75,3.625
2020-03-20,1.125,1.5,3.375
2022-03-18,1.375,1.75,3.625
2022-06-17,1.5,1.875,3.75
2022-09-23,1.625,2.0,3.875
2022-12-16,1.75,2.125,4.0
2023-03-24,1.875,2.25,4.125
2024-03-22,2.0,2.375,4.25
