code,cash_ex_date,cash_payment_date,cash_dividend,stock_ex_date,stock_payment_date,source,source_url
2880,2026-08-13,2026-08-28,1.35,2026-08-13,2026-08-28,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2025-08-13,2025-08-29,1.25,2025-08-13,2025-10-09,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2024-08-13,2024-08-30,1.2,2024-08-13,2024-09-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2023-08-17,2023-09-08,0.59,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2022-08-11,2022-09-08,0.78,2022-08-11,2022-09-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2021-09-16,2021-10-08,0.265,2021-09-16,2021-10-29,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2020-08-13,2020-09-11,0.5603,2020-08-13,2020-09-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2019-08-15,2019-09-12,0.545,2019-08-15,2019-09-27,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2018-08-16,2018-09-14,0.5,2018-08-16,2018-09-28,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2017-08-17,2017-09-15,0.7,2017-08-17,2017-09-29,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2016-08-18,2016-09-09,0.63,2016-08-18,2016-09-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2015-08-13,2015-09-04,0.62,2015-08-13,2015-10-14,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2014-08-14,2014-09-05,0.7,2014-08-14,2014-09-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2013-08-15,2013-09-06,0.5,2013-08-15,2013-09-16,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2012-08-15,2012-09-07,0.5,2012-08-15,2012-09-21,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2011-08-11,2011-09-02,0.3,2011-08-11,2011-09-16,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2010-08-12,2010-09-03,0.2,2010-08-12,2010-09-15,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2009-08-12,2009-09-03,0.7,2009-08-12,2009-09-15,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2008-08-13,2008-09-03,1.0,2008-08-13,2008-09-15,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2007-07-31,2007-08-24,1.0,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2006-08-02,2006-08-25,1.4,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2005-08-10,2005-09-08,0.7,2005-08-10,2005-09-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2004-08-12,2004-09-10,0.2,2004-08-12,2004-10-07,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,,,,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
2880,2002-08-13,2002-09-12,0.2006,2002-08-13,2002-11-12,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend
