code,date,action_type,before_price,after_price,factor,distribution,detail
2834,2004-04-09,dividend_or_rights,13.6,13.13,0.9654411764705884,0.47,權
2882,2004-07-01,dividend_or_rights,60.5,58.5,0.9669421487603306,2.0,息
2891,2004-07-12,dividend_or_rights,37.0,35.9,0.9702702702702702,1.09953,息
2885,2004-07-15,dividend_or_rights,13.5,13.1,0.9703703703703703,0.4,息
2881,2004-07-21,dividend_or_rights,29.3,27.7,0.9453924914675768,1.5951,息
2890,2004-08-03,dividend_or_rights,17.0,15.77,0.9276470588235294,1.2395,權息
2885,2004-09-03,dividend_or_rights,14.6,14.03,0.9609589041095891,0.57,權
2834,2005-04-21,dividend_or_rights,9.4,9.48,1.0085106382978724,0.08,權
2890,2005-06-02,dividend_or_rights,16.4,15.52,0.9463414634146342,0.88,息
2882,2005-07-05,dividend_or_rights,63.2,60.7,0.9604430379746836,2.499717,息
2801,2005-07-12,dividend_or_rights,17.55,17.25,0.9829059829059829,0.3,息
2891,2005-07-14,dividend_or_rights,34.4,33.4,0.9709302325581395,0.997787,息
2881,2005-07-21,dividend_or_rights,31.95,30.25,0.94679186228482,1.7,息
2884,2005-08-09,dividend_or_rights,27.0,25.1,0.9296296296296297,1.9,權息
2891,2005-08-24,dividend_or_rights,33.95,31.44,0.9260677466863033,2.51,權
2885,2005-08-30,dividend_or_rights,13.75,12.59,0.9156363636363636,1.163,權息
2891,2005-10-31,dividend_or_rights,28.05,25.25,0.9001782531194296,2.8,權
2890,2006-07-05,dividend_or_rights,15.95,15.23,0.954858934169279,0.7101,息
2891,2006-07-06,dividend_or_rights,26.3,25.8,0.9809885931558935,0.5,息
2882,2006-07-11,dividend_or_rights,70.5,69.0,0.9787234042553191,1.493386,息
2881,2006-07-20,dividend_or_rights,26.5,25.35,0.9566037735849057,1.15,息
2884,2006-08-03,dividend_or_rights,20.0,18.6,0.93,1.4,權息
2882,2006-08-08,dividend_or_rights,70.9,67.54,0.9526093088857546,3.36,權
2891,2006-08-09,dividend_or_rights,24.85,22.14,0.8909456740442656,2.71,權
