date,option_id,contract_date,strike_price,call_put,open,max,min,close,volume,settlement_price,open_interest,trading_session
2020-01-02,TXO,202001W1,11100.0,put,0.2,0.2,0.2,0.2,10,0.0,0,after_market
2020-01-02,TXO,202001W1,11400.0,put,0.3,0.3,0.3,0.3,19,0.0,0,after_market
2020-01-02,TXO,202001W1,11500.0,put,0.2,0.2,0.2,0.2,1,0.0,4996,position
2020-01-02,TXO,202001W1,11500.0,put,0.4,0.4,0.4,0.4,120,0.0,0,after_market
2020-01-02,TXO,202001W1,11600.0,put,1.9,1.9,0.1,0.1,176,0.0,2948,position
2020-01-02,TXO,202001W1,11600.0,put,0.5,0.7,0.3,0.3,481,0.0,0,after_market
2020-01-02,TXO,202001W1,11650.0,put,0.1,0.1,0.1,0.1,2,0.0,2819,position
2020-01-02,TXO,202001W1,11650.0,put,0.6,0.6,0.6,0.6,62,0.0,0,after_market
2020-01-02,TXO,202001W1,11700.0,put,0.1,0.4,0.1,0.2,425,0.0,5025,position
2020-01-02,TXO,202001W1,11700.0,put,0.4,0.7,0.4,0.4,117,0.0,0,after_market
2020-01-02,TXO,202001W1,11750.0,call,295.0,295.0,295.0,295.0,20,0.0,66,position
2020-01-02,TXO,202001W1,11750.0,call,253.0,253.0,253.0,253.0,4,0.0,0,after_market
2020-01-02,TXO,202001W1,11750.0,put,0.5,0.5,0.1,0.1,288,0.0,5333,position
2020-01-02,TXO,202001W1,11750.0,put,0.6,1.8,0.5,0.5,2211,0.0,0,after_market
2020-01-02,TXO,202001W1,11800.0,call,249.0,304.0,234.0,302.0,755,0.0,498,position
2020-01-02,TXO,202001W1,11800.0,call,179.0,214.0,172.0,214.0,288,0.0,0,after_market
2020-01-02,TXO,202001W1,11800.0,put,0.3,0.3,0.1,0.1,698,0.0,9692,position
2020-01-02,TXO,202001W1,11800.0,put,0.9,2.2,0.9,1.0,3905,0.0,0,after_market
2020-01-02,TXO,202001W1,11850.0,call,199.0,261.0,183.0,251.0,601,0.0,557,position
2020-01-02,TXO,202001W1,11850.0,call,132.0,163.0,127.0,153.0,130,0.0,0,after_market
2020-01-02,TXO,202001W1,11850.0,put,0.2,0.4,0.1,0.1,1146,0.0,10993,position
2020-01-02,TXO,202001W1,11850.0,put,1.7,3.5,1.6,1.8,3455,0.0,0,after_market
2020-01-02,TXO,202001W1,11900.0,call,140.0,217.0,132.0,202.0,4597,0.0,893,position
2020-01-02,TXO,202001W1,11900.0,call,102.0,118.0,79.0,118.0,2762,0.0,0,after_market
2020-01-02,TXO,202001W1,11900.0,put,0.4,0.5,0.1,0.1,3661,0.0,15708,position
2020-01-02,TXO,202001W1,11900.0,put,4.1,7.6,1.1,1.1,6274,0.0,0,after_market
2020-01-02,TXO,202001W1,11950.0,call,90.0,167.0,81.0,152.0,13417,0.0,1482,position
2020-01-02,TXO,202001W1,11950.0,call,61.0,73.0,40.0,71.0,8205,0.0,0,after_market
2020-01-02,TXO,202001W1,11950.0,put,1.7,1.7,0.1,0.1,13297,0.0,19328,position
2020-01-02,TXO,202001W1,11950.0,put,11.5,20.0,3.8,3.8,18994,0.0,0,after_market
