as_of_date,stock_id,name,market,industry,source,pit_note
2023-07-02,1432,大魯閣,TWSE,貿易百貨,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-03,1432,大魯閣,TWSE,運動休閒,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,1432,大魯閣,TWSE,運動休閒,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-02,1439,雋揚,TWSE,紡織纖維,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-03,1439,雋揚,TWSE,建材營造,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,1439,雋揚,TWSE,建材營造業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-05-31,1443,立益,TWSE,紡織纖維,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-06-01,1443,立益,TWSE,其他,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,1443,立益物流,TWSE,其他業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-05-31,1453,大將,TWSE,紡織纖維,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-06-01,1453,大將,TWSE,建材營造,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,1453,大將,TWSE,建材營造業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-05-31,1456,怡華,TWSE,紡織纖維,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-06-01,1456,怡華,TWSE,建材營造,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,1456,怡華,TWSE,建材營造業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-02,1472,三洋實業,TWSE,紡織纖維,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-03,1472,三洋實業,TWSE,建材營造,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,1472,三洋實業,TWSE,建材營造業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-05-31,1595,川寶,TPEx,電子零組件業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-06-01,1595,川寶,TPEx,半導體業,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-02,1598,岱宇,TWSE,生技醫療業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-03,1598,岱宇,TWSE,運動休閒,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,1598,岱宇,TWSE,運動休閒,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-02,1736,喬山,TWSE,生技醫療業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-03,1736,喬山,TWSE,運動休閒,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,1736,喬山,TWSE,運動休閒,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-02,2062,橋椿,TWSE,其他,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-03,2062,橋椿,TWSE,居家生活,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,2062,橋椿,TWSE,居家生活,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-05-31,2230,泰茂,TPEx,電機機械,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-06-01,2230,泰茂,TPEx,居家生活,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-05-31,2241,艾姆勒,TWSE,電機機械,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-06-01,2241,艾姆勒,TWSE,汽車工業,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,2241,艾姆勒,TWSE,汽車工業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2022-05-31,2340,台亞,TWSE,光電業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2022-06-01,2340,台亞,TWSE,半導體業,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,2340,台亞,TWSE,半導體業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-02,2424,隴華,TWSE,電腦及週邊設備業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-03,2424,隴華,TWSE,通信網路業,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,2424,隴華,TWSE,通信網路業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-05-31,2429,銘旺科,TWSE,電子零組件業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-06-01,2429,銘旺科,TWSE,光電業,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,2429,銘旺科,TWSE,光電業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-02,2442,新美齊,TWSE,電腦及週邊設備業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-03,2442,新美齊,TWSE,建材營造,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,2442,新美齊,TWSE,建材營造業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-05-31,2459,敦吉,TWSE,電子通路業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-06-01,2459,敦吉,TWSE,其他電子業,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,2459,敦吉,TWSE,其他電子業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2022-05-31,2495,普安,TWSE,其他電子業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2022-06-01,2495,普安,TWSE,電腦及週邊設備業,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,2495,普安,TWSE,電腦及週邊設備業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-05-31,2601,益航,TWSE,貿易百貨,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-06-01,2601,益航,TWSE,航運業,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,2601,益航,TWSE,航運業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-05-31,2614,東森,TWSE,貿易百貨,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2021-06-01,2614,東森,TWSE,其他,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,2614,東森,TWSE,其他業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-02,3054,立萬利,TWSE,半導體業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-03,3054,立萬利,TWSE,食品工業,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,3054,立萬利,TWSE,電子通路業,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-05-31,3067,全域,TPEx,其他電子業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-06-01,3067,全域,TPEx,居家生活,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-02,3130,一零四,TWSE,資訊服務業,event_reconstructed_pre,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2023-07-03,3130,一零四,TWSE,數位雲端,event_reconstructed,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
2026-09-04,3130,一零四,TWSE,數位雲端,current_overlay,EVENT_TOUCHED_ONLY_NOT_FULL_UNIVERSE
