effective_date,market,stock_id,name,old_industry,new_industry,source,confidence,event_type
2021-06-01,TWSE,1443,立益,紡織纖維,其他,chinatimes_20210504,HIGH,COMPANY_RECLASS
2021-06-01,TWSE,1453,大將,紡織纖維,建材營造,chinatimes_20210504,HIGH,COMPANY_RECLASS
2021-06-01,TWSE,1456,怡華,紡織纖維,建材營造,chinatimes_20210504,HIGH,COMPANY_RECLASS
2021-06-01,TWSE,2241,艾姆勒,電機機械,汽車工業,chinatimes_20210504,HIGH,COMPANY_RECLASS
2021-06-01,TWSE,2429,銘旺科,電子零組件業,光電業,chinatimes_20210504,HIGH,COMPANY_RECLASS
2021-06-01,TWSE,2459,敦吉,電子通路業,其他電子業,chinatimes_20210504,HIGH,COMPANY_RECLASS
2021-06-01,TWSE,2614,東森,貿易百貨,其他,chinatimes_20210504,HIGH,COMPANY_RECLASS
2021-06-01,TWSE,3450,聯鈞,其他電子業,半導體業,chinatimes_20210504,HIGH,COMPANY_RECLASS
2021-06-01,TWSE,3669,圓展,光電業,通信網路業,chinatimes_20210504,HIGH,COMPANY_RECLASS
2021-06-01,TWSE,6165,浪凡,電子零組件業,其他,chinatimes_20210504,HIGH,COMPANY_RECLASS
2021-06-01,TWSE,8499,鼎炫-KY,其他,其他電子業,chinatimes_20210504,HIGH,COMPANY_RECLASS
2022-06-01,TWSE,2340,台亞,光電業,半導體業,chinatimes_20220509,HIGH,COMPANY_RECLASS
2022-06-01,TWSE,2495,普安,其他電子業,電腦及週邊設備業,chinatimes_20220509,HIGH,COMPANY_RECLASS
2022-06-01,TWSE,6431,光麗-KY,光電業,生技醫療業,chinatimes_20220509,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,3708,上緯投控,化學工業,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6581,鋼聯,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6641,基士德-KY,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6806,森崴能源,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6869,雲豹能源,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6873,泓德能源,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,8341,日友,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,8422,可寧衛,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,8438,昶昕,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,8473,山林水,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9930,中聯資源,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9955,佳龍,其他,綠能環保,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,3130,一零四,資訊服務業,數位雲端,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6165,浪凡,其他,數位雲端,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6689,伊雲谷,其他電子業,數位雲端,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,8454,富邦媒,貿易百貨,數位雲端,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,1432,大魯閣,貿易百貨,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,1598,岱宇,生技醫療業,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,1736,喬山,生技醫療業,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,4536,拓凱,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,5306,桂盟,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6670,復盛應用,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6768,志強-KY,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,8462,柏文,觀光事業,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,8467,波力-KY,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,8478,東哥遊艇,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9802,鈺齊-KY,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9904,寶成,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9910,豐泰,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9914,美利達,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9921,巨大,其他,運動休閒,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,2062,橋椿,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,3557,嘉威,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6671,三能-KY,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6754,匯僑設計,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,6807,峰源-KY,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,8464,億豐,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,8482,商億-KY,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9911,櫻花,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9924,福興,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9934,成霖,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,9935,慶豐富,其他,居家生活,twse_ann_1121802250+monthly76,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,1439,雋揚,紡織纖維,建材營造,twse_ann_1121802250+yahoo_news,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,1472,三洋實業,紡織纖維,建材營造,twse_ann_1121802250+yahoo_news,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,2442,新美齊,電腦及週邊設備業,建材營造,twse_ann_1121802250+yahoo_news,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,2424,隴華,電腦及週邊設備業,通信網路業,twse_ann_1121802250+yahoo_news,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,3054,立萬利,半導體業,食品工業,twse_ann_1121802250+yahoo_news,HIGH,COMPANY_RECLASS
2023-07-03,TWSE,*,TAXONOMY,觀光事業,觀光餐旅,twse_ann_1120004601,HIGH,TAXONOMY_RENAME
2026-06-01,TWSE,2601,益航,貿易百貨,航運業,cna_20260508,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,1595,川寶,電子零組件業,半導體業,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,2230,泰茂,電機機械,居家生活,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,3067,全域,其他電子業,居家生活,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,3131,弘塑,其他電子業,半導體業,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,3313,斐成,其他,建材營造,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,4905,台聯電訊,通信網路業,生技醫療,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,4924,欣厚,電腦及週邊設備業,綠能環保,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,5381,光譜電工,電子零組件業,電機機械,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,6125,廣運,光電業,電機機械,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,6163,華電聯網,通信網路業,資訊服務業,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,6236,中湛,其他,數位雲端,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,7718,友鋮,鋼鐵工業,電機機械,moneydj_20260520,HIGH,COMPANY_RECLASS
2026-06-01,TPEx,8932,智通科創,其他,數位雲端,moneydj_20260520,HIGH,COMPANY_RECLASS
