as_of_date,stock_id,name,market,security_type,industry,industry_norm,listing_date,source,pit_note
2026-09-04,1101,台泥,上市,股票,水泥工業,水泥工業,1962/02/09,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1102,亞泥,上市,股票,水泥工業,水泥工業,1962/06/08,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1103,嘉泥,上市,股票,水泥工業,水泥工業,1969/11/14,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1104,環泥,上市,股票,水泥工業,水泥工業,1971/02/01,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1108,幸福,上市,股票,水泥工業,水泥工業,1990/06/06,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1109,信大,上市,股票,水泥工業,水泥工業,1991/12/05,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1110,東泥,上市,股票,水泥工業,水泥工業,1994/10/22,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1201,味全,上市,股票,食品工業,食品工業,1962/02/09,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1203,味王,上市,股票,食品工業,食品工業,1964/08/24,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1210,大成,上市,股票,食品工業,食品工業,1978/05/20,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1213,大飲,上市,股票,食品工業,食品工業,1981/04/10,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1215,卜蜂,上市,股票,食品工業,食品工業,1987/07/27,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1216,統一,上市,股票,食品工業,食品工業,1987/12/28,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1217,愛之味,上市,股票,食品工業,食品工業,1989/10/28,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1218,泰山,上市,股票,食品工業,食品工業,1989/11/11,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,1219,福壽,上市,股票,食品工業,食品工業,1990/12/01,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
