as_of_date,stock_id,name,industry,source,pit_note
2023-12-25,1111,欣欣水泥,水泥工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1237,台糖公司,食品工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1242,新東陽,食品工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1246,中聯油脂,食品工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1267,京華堂,食品工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1328,中油,塑膠工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1408,中紡,紡織纖維,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1550,台全電機,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1557,金豐機器,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1592,英瑞-KY,汽車工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1602,太電,電器電纜,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1613,台一,電器電纜,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1619,大展電線,電器電纜,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1715,萬洲,塑膠工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1716,永信藥品,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1739,欣雲天然,化學工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1740,欣桃天然,化學工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1743,大台南區,化學工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1745,欣嘉公司,,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1763,奇美實業,化學工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1764,長春石油,化學工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1765,長春人造,化學工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1766,大連化工,化學工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1767,陽瓦,,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1769,欣中公司,化學工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1770,信東生技,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1775,大東樹脂,化學工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,1819,豐鼎,建材營造業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2041,燁茂實業,鋼鐵工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2048,中龍鋼鐵,鋼鐵工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2056,璋釔,鋼鐵工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2068,優頻科技材料,鋼鐵工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2215,匯豐汽車,汽車工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2218,高都汽車,汽車工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2219,鍾慶科技,汽車工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2220,南都汽車,汽車工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2222,桃苗汽車,汽車工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2225,國都汽車,汽車工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
