股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
00400A,主動國泰動能高息,792,995,1,9991,9787,475160,,,,,,475160,,X 
00401A,主動摩根台灣鑫收,68,98,,1360,1330,56223,,,,,,56223,, 
00402A,主動安聯美國科技,7,40,,1863,1830,177281,,,,1,1,177281,, 
00403A,主動統一升級50,2825,1428,,90708,92105,3896754,453,233,,3621,3401,3896754,46, 
00404A,主動聯博動能50,142,108,,1202,1236,85823,,,,,,85823,, 
00405A,主動富邦台灣龍耀,1096,1036,,20917,20977,794811,142,11,,796,665,794811,12, 
00406A,主動中信台灣收益,3769,1958,5,44141,45947,898390,7,283,,907,1183,898390,191, 
00407A,主動凱基台灣,368,339,,27798,27827,655434,125,10,,415,300,655434,10, 
00408A,主動第一金優股息,,,,167,167,36908,,1,,,1,36908,, 
00409A,主動復華全球50,792,32,,4094,4854,458737,,,,,,458737,199, 
00410A,主動永豐科技趨勢,274,284,,3804,3794,38465,,,,2,2,38465,, 
0050,元大台灣50,1172,978,2,18320,18512,5529375,49,53,,590,594,5529375,12, 
0051,元大中型100,,,,3,3,6125,,,,,,6125,, 
0052,富邦科技,121,106,,8486,8501,642000,1,5,,43,47,642000,, 
0053,元大電子,,,,15,15,2497,,,,,,2497,,X 
0055,元大MSCI金融,93,8,,91,176,21163,,3,,,3,21163,4, 
0056,元大高股息,140,97,62,3651,3632,3516133,6,23,,198,215,3516133,, 
0057,富邦摩台,,,,,,381,,,,,,381,, 
0061,元大寶滬深,1,,,11,12,24029,,,,,,24029,, 
006203,元大MSCI台灣,,,,2,2,2554,,,,,,2554,, 
006204,永豐臺灣加權,,,,,,375,,,,,,375,, 
006205,富邦上証,,,,87,87,23359,,,,,,23359,, 
006206,元大上證50,,,,8,8,6694,,,,,,6694,, 
006207,復華滬深,,,,2,2,5223,,,,,,5223,, 
006208,富邦台50,15,5,,273,283,465135,,,,1,1,465135,, 
00631L,元大台灣50正2,5618,9926,5,206973,202660,1825712,920,1289,,18260,18629,1825712,576, 
00632R,元大台灣50反1,14918,8120,8,284814,291604,675551,47,234,,6036,6223,675551,402, 
00633L,富邦上証正2,21,141,,8142,8022,29364,2,5,,587,590,29364,, 
00634R,富邦上証反1,1,2,,2174,2173,10689,,,,,,10689,, 
00635U,期元大S&P黃金,179,260,,8288,8207,77253,,13,,228,241,77253,13, 
00636,國泰中國A50,1,,,171,172,23456,,,,,,23456,, 
00637L,元大滬深300正2,1105,1317,,89057,88845,186276,2,2,,5681,5681,186276,13, 
00638R,元大滬深300反1,,,,830,830,5737,,,,4,4,5737,, 
00639,富邦深100,2,7,,381,376,23975,,,,8,8,23975,, 
00640L,富邦日本正2,10,11,,145,144,1604,,,,36,36,1604,, 
00641R,富邦日本反1,68,72,68,10107,10035,22814,,,,571,571,22814,, 
00642U,期元大S&P石油,25,69,,2109,2065,16830,3,12,,1063,1072,16830,, 
00643,群益深証中小,12,,,484,496,18125,,,,,,18125,, 
00645,富邦日本,,,,38,38,10749,,,,,,10749,, 
00646,元大S&P500,2,,,61,63,154371,,,,2,2,154371,, 
00647L,元大S&P500正2,,1,,40,39,1604,,,,,,1604,, 
00648R,元大S&P500反1,32,18,,10299,10313,35672,,,,105,105,35672,, 
00650L,復華香港正2,46,122,,10990,10914,24084,29,4,,1034,1009,24084,2, 
00651R,復華香港反1,,10,,1473,1463,8048,,,,56,56,8048,, 
00652,富邦印度,,,,33,33,15258,,,,,,15258,, 
00653L,富邦印度正2,1,,,2209,2210,3225,,,,,,3225,,@ 
00654R,富邦印度反1,,,3,631,628,4866,,,,62,62,4866,, 
00655L,國泰中國A50正2,4,13,,2261,2252,14489,,,,209,209,14489,, 
00656R,國泰中國A50反1,,,,132,132,5089,,,,,,5089,, 
00657,國泰日經225,,,,,,1521,,,,,,1521,, 
00660,元大歐洲50,,,,,,1757,,,,,,1757,, 
00661,元大日經225,,,,7,7,5856,,,,,,5856,, 
00662,富邦NASDAQ,1,4,,1701,1698,228007,,,,,,228007,, 
00663L,國泰臺灣加權正2,231,700,,9262,8793,37540,24,83,,1473,1532,37540,9, 
00664R,國泰臺灣加權反1,2100,685,,70222,71637,221143,7,,,525,518,221143,311, 
00665L,富邦恒生國企正2,363,919,,55937,55381,100991,47,114,,683,750,100991,27, 
00666R,富邦恒生國企反1,,,,1169,1169,3031,,,,7,7,3031,, 
00668,國泰美國道瓊,,,,2,2,1870,,,,,,1870,, 
00669R,國泰美國道瓊反1,37,,,13481,13518,50029,2,,,62,60,50029,, 
00670L,富邦NASDAQ正2,3,17,,1280,1266,19286,21,15,,159,153,19286,, 
00671R,富邦NASDAQ反1,,150,10,120116,119956,127971,,40,,2359,2399,127971,,O 
00673R,期元大S&P原油反1,5202,1669,52,87948,91429,198262,89,,,5269,5180,198262,65, 
00674R,期元大S&P黃金反1,19,62,,150,107,3605,,,,4,4,3605,, 
00675L,富邦臺灣加權正2,34,86,1,2706,2653,27321,24,7,,303,286,27321,3, 
00676R,富邦臺灣加權反1,326,388,,23599,23537,48958,70,11,,306,247,48958,, 
00678,群益那斯達克生技,,,,10,10,2112,,,,,,2112,, 
00680L,元大美債20正2,590,467,3,64618,64738,364019,,,,431,431,364019,, 
00681R,元大美債20反1,,,,3,3,1898,,,,,,1898,, 
00682U,期元大美元指數,,,,3,3,1911,,,,,,1911,, 
00683L,期元大美元指正2,,,,75,75,2858,,,,,,2858,, 
00684R,期元大美元指反1,,,,21,21,2422,,,,,,2422,, 
00685L,群益臺灣加權正2,5833,7790,21,154910,152932,1447459,504,1685,,13096,14277,1447459,197, 
00686R,群益臺灣加權反1,61,20,,17991,18032,65944,,,,80,80,65944,, 
00688L,國泰20年美債正2,,57,2,27742,27683,156028,,,,17,17,156028,2, 
00689R,國泰20年美債反1,,,,,,1722,,,,,,1722,,X 
00690,兆豐藍籌30,,,,78,78,20957,,,,,,20957,, 
00692,富邦公司治理,,,,53,53,153320,,,,,,153320,, 
00693U,期街口S&P黃豆,42,70,,2487,2459,17791,,1,10,14,5,17791,, 
00700,富邦恒生國企,,,,146,146,7995,,,,,,7995,, 
00701,國泰股利精選30,,4,,10,6,42472,,,,,,42472,, 
00702,國泰標普低波高息,,,,,,1672,,,,,,1672,,X 
00703,台新MSCI中國,,,,1,1,2387,,,,,,2387,, 
00706L,期元大S&P日圓正2,478,312,,3646,3812,32692,3,183,,295,475,32692,, 
00707R,期元大S&P日圓反1,,,,,,1463,,,,,,1463,,X 
00708L,期元大S&P黃金正2,1036,490,4,20862,21404,37518,25,9,,619,603,37518,8, 
00709,富邦歐洲,,,,2,2,3615,,,,,,3615,, 
00710B,復華彭博非投等債,,,,,,44940,,,,,,44940,, 
00711B,復華彭博新興債,,,,3,3,217940,,,,,,217940,, 
00712,復華富時不動產,698,434,10,18047,18301,1309377,,,,2,2,1309377,61, 
00713,元大台灣高息低波,8,4,,220,224,421753,,,,,,421753,, 
00714,群益道瓊美國地產,,,,31,31,5016,,,,,,5016,, 
00715L,期街口布蘭特正2,221,450,,6469,6240,20172,28,169,1,5905,6045,20172,1,X 
00717,富邦美國特別股,,,,,,29901,,,,,,29901,, 
00728,第一金工業30,,1,,58,57,9855,,,,,,9855,, 
00730,富邦臺灣優質高息,,,,1,1,17261,,,,,,17261,, 
00731,復華富時高息低波,,,,,,5025,,,,,,5025,, 
00733,富邦臺灣中小,4,5,,59,58,15991,,,,,,15991,6, 
00735,國泰臺韓科技,5,203,3,5373,5172,30072,1,3,,440,442,30072,1, 
00736,國泰新興市場,,,,,,1681,,,,,,1681,, 
00737,國泰AI機器人,,,,53,53,5634,,,,,,5634,, 
00738U,期元大道瓊白銀,604,152,,13236,13688,60949,4,6,,391,393,60949,10, 
00739,元大MSCI A股,,,,,,6247,,,,,,6247,, 
00752,中信中國50,29,1,,322,350,64054,,,,2,2,64054,, 
00753L,中信中國50正2,254,640,3,73815,73426,166414,10,8,,916,914,166414,2, 
