date,code,open,high,low,close,adjusted_close,volume,dividends,stock_splits,source,source_symbol
2010-01-04,4904,38.15,38.15,37.95,38.1,38.1,5193627,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-05,4904,38.15,38.15,37.9,38.0,38.0,5837662,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-06,4904,38.0,38.05,37.9,38.0,38.0,18112579,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-07,4904,37.85,37.9,37.1,37.25,37.25,18777125,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-08,4904,37.35,37.55,37.2,37.5,37.5,8489098,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-11,4904,37.5,38.25,37.5,38.25,38.25,11947311,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-12,4904,38.25,38.25,38.0,38.05,38.05,4690309,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-13,4904,37.95,38.0,37.65,37.65,37.65,11751882,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-14,4904,38.0,38.0,37.55,37.65,37.65,16981205,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-15,4904,38.0,38.0,37.7,38.0,38.0,7276013,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-18,4904,37.9,38.0,37.8,38.0,38.0,2174571,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-19,4904,38.0,38.05,37.8,37.9,37.9,5362236,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-20,4904,38.0,38.0,37.8,37.9,37.9,2641050,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-21,4904,37.9,37.9,37.65,37.75,37.75,1853147,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-22,4904,37.6,38.5,37.55,38.15,38.15,13146100,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-25,4904,37.8,38.1,37.8,38.0,38.0,3624183,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-26,4904,38.0,38.0,37.7,37.8,37.8,8634089,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-27,4904,38.0,39.05,38.0,38.4,38.4,13879720,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-28,4904,38.95,39.0,38.3,38.35,38.35,3597535,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-01-29,4904,38.4,39.1,38.35,38.8,38.8,7259983,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-01,4904,38.8,39.0,38.2,38.25,38.25,4381498,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-02,4904,38.6,38.95,37.95,38.4,38.4,12366824,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-03,4904,38.6,39.2,38.6,39.0,39.0,15137782,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-04,4904,38.5,38.6,38.15,38.35,38.35,9116302,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-05,4904,38.0,38.0,37.2,37.2,37.2,12621189,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-06,4904,37.5,38.6,37.4,38.0,38.0,3703333,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-08,4904,38.0,38.2,37.15,37.3,37.3,5623480,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-09,4904,37.3,37.6,37.1,37.35,37.35,8017788,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-10,4904,37.5,37.6,36.9,37.4,37.4,11190594,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-22,4904,37.7,37.8,37.55,37.55,37.55,2537677,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-23,4904,38.0,38.05,37.5,37.6,37.6,2994652,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
2010-02-24,4904,37.85,37.9,37.5,37.6,37.6,4541886,0.0,0.0,FinMind TaiwanStockPrice,4904.TW
