fill_id,settle_date,settlement_cash,code,side
2026-08-24-0050-BUY,2026-08-27,-3297263.151672,0050,BUY
2026-08-24-2412-BUY,2026-08-27,-10251376.18903125,2412,BUY
2026-08-24-2880-BUY,2026-08-27,-16426084.22939587,2880,BUY
2026-08-24-2886-BUY,2026-08-27,-16466639.124209626,2886,BUY
2026-08-24-2892-BUY,2026-08-27,-16437249.342412498,2892,BUY
2026-08-24-3045-BUY,2026-08-27,-10248872.8004625,3045,BUY
2026-08-24-4904-BUY,2026-08-27,-10163757.589125,4904,BUY
2026-08-24-5880-BUY,2026-08-27,-16472296.782375,5880,BUY
2026-08-25-0050-BUY,2026-08-28,-3335715.200088,0050,BUY
2026-08-25-2412-BUY,2026-08-28,-10251376.18903125,2412,BUY
2026-08-25-2880-BUY,2026-08-28,-16416621.420605998,2880,BUY
2026-08-25-2886-BUY,2026-08-28,-16437249.342412498,2886,BUY
2026-08-25-2892-BUY,2026-08-28,-16336613.121948749,2892,BUY
2026-08-25-3045-BUY,2026-08-28,-10133716.9263,3045,BUY
2026-08-25-4904-BUY,2026-08-28,-10263893.131875,4904,BUY
2026-08-25-5880-BUY,2026-08-28,-16447262.8966875,5880,BUY
2026-08-26-0050-BUY,2026-08-31,-3839196.709035,0050,BUY
2026-08-26-2412-BUY,2026-08-31,-7244305.84024875,2412,BUY
2026-08-26-2880-BUY,2026-08-31,-18691500.6808005,2880,BUY
2026-08-26-2886-BUY,2026-08-31,-18571938.842756998,2886,BUY
2026-08-26-2892-BUY,2026-08-31,-18651246.192615,2892,BUY
2026-08-26-3045-BUY,2026-08-31,-7201748.23458,3045,BUY
2026-08-26-4904-BUY,2026-08-31,-7180719.7706025,4904,BUY
2026-08-26-5880-BUY,2026-08-31,-18600177.0658125,5880,BUY
2026-08-27-0050-BUY,2026-09-01,-4504296.983980499,0050,BUY
2026-08-27-2412-BUY,2026-09-01,-3813161.46792,2412,BUY
2026-08-27-2880-BUY,2026-09-01,-20883768.11822625,2880,BUY
2026-08-27-2886-BUY,2026-09-01,-21227533.436486997,2886,BUY
2026-08-27-2892-BUY,2026-09-01,-20999424.6701025,2892,BUY
2026-08-27-3045-BUY,2026-09-01,-3816666.21191625,3045,BUY
2026-08-27-4904-BUY,2026-09-01,-3862227.8838675,4904,BUY
2026-08-27-5880-BUY,2026-09-01,-20961773.7060285,5880,BUY
2026-08-28-2412-SELL,2026-09-02,1760303.7678200002,2412,SELL
2026-08-28-3045-SELL,2026-09-02,1717490.9499375003,3045,SELL
2026-08-28-4904-SELL,2026-09-02,1788580.140561,4904,SELL
2026-08-28-0050-BUY,2026-09-02,-10680056.447544001,0050,BUY
2026-08-28-2880-BUY,2026-09-02,-17492177.28528375,2880,BUY
2026-08-28-2886-BUY,2026-09-02,-17411267.76674175,2886,BUY
2026-08-28-2892-BUY,2026-09-02,-17448017.510931,2892,BUY
2026-08-28-5880-BUY,2026-09-02,-17521967.609251875,5880,BUY
2026-08-31-2412-SELL,2026-09-03,4739279.374900001,2412,SELL
2026-08-31-3045-SELL,2026-09-03,4694475.2631625,3045,SELL
2026-08-31-4904-SELL,2026-09-03,4702938.26204625,4904,SELL
2026-08-31-0050-BUY,2026-09-03,-7038527.299897499,0050,BUY
2026-08-31-2880-BUY,2026-09-03,-6455137.627835998,2880,BUY
2026-08-31-2886-BUY,2026-09-03,-6515819.7667425,2886,BUY
2026-08-31-2892-BUY,2026-09-03,-6493038.930766874,2892,BUY
