order_id,signal_date,code,side,quantity,reference_close
2026-07-01-2880-BUY,2026-07-01,2880,BUY,3254,36.7
2026-07-01-2886-BUY,2026-07-01,2886,BUY,2587,46.15
2026-07-01-2892-BUY,2026-07-01,2892,BUY,3597,33.2
2026-07-01-5880-BUY,2026-07-01,5880,BUY,4806,24.85
2026-07-01-2412-BUY,2026-07-01,2412,BUY,204,141.5
2026-07-01-3045-BUY,2026-07-01,3045,BUY,245,118.0
2026-07-01-4904-BUY,2026-07-01,4904,BUY,279,103.5
2026-07-01-0050-BUY,2026-07-01,0050,BUY,323,109.35
2026-07-02-2880-BUY,2026-07-02,2880,BUY,3360,36.6
2026-07-02-2886-BUY,2026-07-02,2886,BUY,2673,46.0
2026-07-02-2892-BUY,2026-07-02,2892,BUY,3831,32.1
2026-07-02-5880-BUY,2026-07-02,5880,BUY,5009,24.55
2026-07-02-2412-BUY,2026-07-02,2412,BUY,171,141.0
2026-07-02-3045-BUY,2026-07-02,3045,BUY,204,118.5
2026-07-02-4904-BUY,2026-07-02,4904,BUY,235,103.0
2026-07-02-0050-BUY,2026-07-02,0050,BUY,319,108.8
2026-07-03-2880-BUY,2026-07-03,2880,BUY,3378,37.65
2026-07-03-2886-BUY,2026-07-03,2886,BUY,2795,45.5
2026-07-03-2892-BUY,2026-07-03,2892,BUY,3926,32.4
2026-07-03-5880-BUY,2026-07-03,5880,BUY,5150,24.7
2026-07-03-2412-BUY,2026-07-03,2412,BUY,134,141.0
2026-07-03-3045-BUY,2026-07-03,3045,BUY,162,116.5
2026-07-03-4904-BUY,2026-07-03,4904,BUY,179,105.0
2026-07-03-0050-BUY,2026-07-03,0050,BUY,335,108.35
2026-07-06-2880-BUY,2026-07-06,2880,BUY,3462,38.25
2026-07-06-2886-BUY,2026-07-06,2886,BUY,2860,46.3
2026-07-06-2892-BUY,2026-07-06,2892,BUY,4007,33.05
2026-07-06-5880-BUY,2026-07-06,5880,BUY,5329,24.85
2026-07-06-2412-BUY,2026-07-06,2412,BUY,89,141.5
2026-07-06-3045-BUY,2026-07-06,3045,BUY,107,117.5
2026-07-06-4904-BUY,2026-07-06,4904,BUY,122,103.0
2026-07-06-0050-BUY,2026-07-06,0050,BUY,353,108.25
2026-07-07-2880-BUY,2026-07-07,2880,BUY,2657,38.95
2026-07-07-2886-BUY,2026-07-07,2886,BUY,2211,46.8
2026-07-07-2892-BUY,2026-07-07,2892,BUY,3108,33.3
2026-07-07-5880-BUY,2026-07-07,5880,BUY,4156,24.9
2026-07-07-2412-BUY,2026-07-07,2412,BUY,17,141.0
2026-07-07-3045-BUY,2026-07-07,3045,BUY,21,116.5
2026-07-07-4904-BUY,2026-07-07,4904,BUY,24,103.0
2026-07-07-0050-BUY,2026-07-07,0050,BUY,273,106.2
2026-07-08-2880-BUY,2026-07-08,2880,BUY,754,39.7
2026-07-08-2886-BUY,2026-07-08,2886,BUY,640,46.8
2026-07-08-2892-BUY,2026-07-08,2892,BUY,878,34.1
2026-07-08-5880-BUY,2026-07-08,5880,BUY,1193,25.1
2026-07-08-2412-SELL,2026-07-08,2412,SELL,38,139.5
2026-07-08-3045-SELL,2026-07-08,3045,SELL,48,113.0
2026-07-08-4904-SELL,2026-07-08,4904,SELL,58,93.2
2026-07-08-0050-BUY,2026-07-08,0050,BUY,104,106.05
2026-07-15-2880-BUY,2026-07-15,2880,BUY,225,38.85
2026-07-15-2886-BUY,2026-07-15,2886,BUY,190,46.0
2026-07-15-2892-BUY,2026-07-15,2892,BUY,264,33.1
2026-07-15-5880-BUY,2026-07-15,5880,BUY,345,25.35
2026-07-15-2412-SELL,2026-07-15,2412,SELL,7,133.0
2026-07-15-3045-SELL,2026-07-15,3045,SELL,9,109.0
2026-07-15-4904-SELL,2026-07-15,4904,SELL,10,96.3
2026-07-15-0050-BUY,2026-07-15,0050,BUY,7,106.3
2026-07-17-2880-SELL,2026-07-17,2880,SELL,710,40.15
2026-07-17-2886-SELL,2026-07-17,2886,SELL,599,47.6
2026-07-17-2892-SELL,2026-07-17,2892,SELL,836,34.1
2026-07-17-5880-SELL,2026-07-17,5880,SELL,1124,25.35
2026-07-17-2412-BUY,2026-07-17,2412,BUY,331,138.0
2026-07-17-3045-BUY,2026-07-17,3045,BUY,412,111.0
2026-07-17-4904-BUY,2026-07-17,4904,BUY,444,103.0
2026-07-17-0050-SELL,2026-07-17,0050,SELL,151,100.15
2026-07-21-2880-SELL,2026-07-21,2880,SELL,424,40.8
2026-07-21-2886-SELL,2026-07-21,2886,SELL,356,48.6
2026-07-21-2892-SELL,2026-07-21,2892,SELL,503,34.45
2026-07-21-5880-SELL,2026-07-21,5880,SELL,674,25.7
2026-07-21-2412-BUY,2026-07-21,2412,BUY,316,139.0
2026-07-21-3045-BUY,2026-07-21,3045,BUY,392,112.0
2026-07-21-4904-BUY,2026-07-21,4904,BUY,430,102.0
2026-07-21-0050-SELL,2026-07-21,0050,SELL,491,102.5
2026-07-22-2880-SELL,2026-07-22,2880,SELL,552,41.25
2026-07-22-2886-SELL,2026-07-22,2886,SELL,473,48.2
2026-07-22-2892-SELL,2026-07-22,2892,SELL,662,34.4
2026-07-22-5880-SELL,2026-07-22,5880,SELL,892,25.55
2026-07-22-2412-BUY,2026-07-22,2412,BUY,370,138.5
2026-07-22-3045-BUY,2026-07-22,3045,BUY,456,112.5
2026-07-22-4904-BUY,2026-07-22,4904,BUY,498,103.0
2026-07-22-0050-SELL,2026-07-22,0050,SELL,234,103.85
2026-07-23-2880-SELL,2026-07-23,2880,SELL,428,41.25
2026-07-23-2886-SELL,2026-07-23,2886,SELL,366,48.15
2026-07-23-2892-SELL,2026-07-23,2892,SELL,517,34.15
2026-07-23-5880-SELL,2026-07-23,5880,SELL,690,25.6
2026-07-23-2412-BUY,2026-07-23,2412,BUY,256,138.0
2026-07-23-3045-BUY,2026-07-23,3045,BUY,316,112.0
2026-07-23-4904-BUY,2026-07-23,4904,BUY,345,102.5
2026-07-23-0050-SELL,2026-07-23,0050,SELL,165,103.9
2026-07-24-2880-SELL,2026-07-24,2880,SELL,346,40.7
2026-07-24-2886-SELL,2026-07-24,2886,SELL,290,48.45
2026-07-24-2892-SELL,2026-07-24,2892,SELL,410,34.3
2026-07-24-5880-SELL,2026-07-24,5880,SELL,549,25.65
2026-07-24-2412-BUY,2026-07-24,2412,BUY,202,139.0
2026-07-24-3045-BUY,2026-07-24,3045,BUY,247,113.5
2026-07-24-4904-BUY,2026-07-24,4904,BUY,266,105.5
2026-07-24-0050-SELL,2026-07-24,0050,SELL,149,101.7
2026-07-27-2880-SELL,2026-07-27,2880,SELL,292,41.4
2026-07-27-2886-SELL,2026-07-27,2886,SELL,245,49.4
2026-07-27-2892-SELL,2026-07-27,2892,SELL,348,34.8
2026-07-27-5880-SELL,2026-07-27,5880,SELL,466,25.95
2026-07-27-2412-BUY,2026-07-27,2412,BUY,171,140.5
2026-07-27-3045-BUY,2026-07-27,3045,BUY,211,113.5
2026-07-27-4904-BUY,2026-07-27,4904,BUY,223,107.5
2026-07-27-0050-SELL,2026-07-27,0050,SELL,122,101.45
2026-07-28-2880-SELL,2026-07-28,2880,SELL,273,41.4
2026-07-28-2886-SELL,2026-07-28,2886,SELL,228,49.45
2026-07-28-2892-SELL,2026-07-28,2892,SELL,324,34.8
2026-07-28-5880-SELL,2026-07-28,5880,SELL,435,25.95
2026-07-28-2412-BUY,2026-07-28,2412,BUY,148,141.0
2026-07-28-3045-BUY,2026-07-28,3045,BUY,183,114.0
2026-07-28-4904-BUY,2026-07-28,4904,BUY,197,106.0
2026-07-28-0050-SELL,2026-07-28,0050,SELL,89,97.15
2026-07-29-2880-SELL,2026-07-29,2880,SELL,244,41.8
2026-07-29-2886-SELL,2026-07-29,2886,SELL,204,49.9
2026-07-29-2892-SELL,2026-07-29,2892,SELL,293,34.8
2026-07-29-5880-SELL,2026-07-29,5880,SELL,391,26.1
2026-07-29-2412-BUY,2026-07-29,2412,BUY,127,140.5
2026-07-29-3045-BUY,2026-07-29,3045,BUY,158,113.5
2026-07-29-4904-BUY,2026-07-29,4904,BUY,168,106.5
2026-07-29-0050-SELL,2026-07-29,0050,SELL,69,93.7
2026-07-31-2880-SELL,2026-07-31,2880,SELL,242,43.7
2026-07-31-2886-SELL,2026-07-31,2886,SELL,199,53.1
2026-07-31-2892-SELL,2026-07-31,2892,SELL,288,36.75
2026-07-31-5880-SELL,2026-07-31,5880,SELL,384,27.6
2026-07-31-2412-BUY,2026-07-31,2412,BUY,119,139.5
