date,nav,cash,receivables,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_fin_pub,pre_fin_priv,pre_telecom,pre_0050,pre_def,tgt_financial,tgt_fin_pub,tgt_fin_priv,tgt_telecom,tgt_0050,tgt_def
2012-12-04,500000000.0,500000000.0,0.0,0.0,0.0,Bull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7606067945554096,0.0,0.0,0.0934807650496812,0.1459124403949093,0.0
2012-12-05,500960823.96091014,400135373.96091014,0.0,100825450.0,0.2012641411813619,Bull,1.0,0.0,0.0,0.0,0.1535139003324556,0.0,0.0,0.018566322065786435,0.029183918783119846,0.0,0.772807963688685,0.0,0.0,0.07761057378726091,0.14958146252405416,0.0
2012-12-06,500779079.4335797,299961579.4335797,0.0,200817500.0,0.40101016245954263,Bull,1.0,0.0,0.0,0.0,0.3087485207546638,0.0,0.0,0.03317930137735273,0.059082340327526135,0.0,0.7876489834869878,0.0,0.0,0.06570793034044568,0.14664308617256658,0.0
2012-12-07,500864222.26355153,199852322.26355153,0.0,301011900.0,0.6009850307127936,Bull,1.0,0.0,0.0,0.0,0.468479858552427,0.0,0.0,0.043723626137697195,0.08878154602266937,0.0,0.8007367376152408,0.0,0.0,0.056953599084507374,0.14230966330025183,0.0
2012-12-10,497693640.6127823,99688040.61278231,0.0,398005600.0,0.7996999911631542,Bull,1.0,0.0,0.0,0.0,0.6327924938165493,0.0,0.0,0.051025365662162286,0.11588213168444242,0.0,0.7926727191962097,0.0,0.0,0.07657112968343034,0.13075615112036,0.0
2012-12-11,498618984.38074356,24956384.380743563,0.0,473662600.0,0.9499489887820096,Bull,1.0,0.0,0.0,0.0,0.7531633607300398,0.0,0.0,0.07014373919885333,0.12664188885311659,0.0,0.7926727191962097,0.0,0.0,0.07657112968343034,0.13075615112036,0.0
2012-12-12,503631625.1082532,6295475.108253189,0.0,497336150.0,0.987499841561975,Bull,1.0,0.0,0.0,0.0,0.7843126410401564,0.0,0.0,0.07374636172225428,0.1294408387995643,0.0,0.7926727191962097,0.0,0.0,0.07657112968343034,0.13075615112036,0.0
2012-12-13,505465475.1082532,6295475.108253189,0.0,499170000.0,0.9875451926624566,Bull,1.0,0.0,0.0,0.0,0.7840703658644973,0.0,0.0,0.0730732400508454,0.13040158674711386,0.0,0.7973974369753183,0.0,0.0,0.06492834726257277,0.13767421576210898,0.0
2012-12-14,504822075.1082532,6295475.108253189,0.0,498526600.0,0.9875293189052733,Bull,1.0,0.0,0.0,0.0,0.7855749967252502,0.0,0.0,0.07258002731386694,0.1293742948661562,0.0,0.7973974369753183,0.0,0.0,0.06492834726257277,0.13767421576210898,0.0
2012-12-17,501976225.1082532,6295475.108253189,0.0,495680750.0,0.9874586189676702,Bull,1.0,0.0,0.0,0.0,0.7859480793436355,0.0,0.0,0.0730831425175336,0.12842739710650106,0.0,0.8080480777314887,0.0,0.0,0.06428692834482666,0.12766499392368466,0.0
2012-12-18,502879628.95350283,1460078.9535028157,0.0,501419550.0,0.9970965637312824,Bull,1.0,0.0,0.0,0.0,0.802356521857256,0.0,0.0,0.06695598322419472,0.1277840586498317,0.0,0.8080480777314887,0.0,0.0,0.06428692834482666,0.12766499392368466,0.0
2012-12-19,504665278.95350283,1460078.9535028157,0.0,503205200.0,0.9971068369186592,Bull,1.0,0.0,0.0,0.0,0.8028438192541674,0.0,0.0,0.06657442348653338,0.12768859417795841,0.0,0.8080480777314887,0.0,0.0,0.06428692834482666,0.12766499392368466,0.0
2012-12-20,498633878.95350283,1460078.9535028157,0.0,497173800.0,0.9970718416555105,Bull,1.0,0.0,0.0,0.0,0.8028373459905432,0.0,0.0,0.06656567353518134,0.127668822129786,0.0,0.8080480777314887,0.0,0.0,0.06428692834482666,0.12766499392368466,0.0
2012-12-21,492919328.95350283,1460078.9535028157,0.0,491459250.0,0.9970378947066193,Bull,1.0,0.0,0.0,0.0,0.8020207907839859,0.0,0.0,0.06647680071618978,0.12854030320644366,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2012-12-22,493707628.95350283,1460078.9535028157,0.0,492247550.0,0.9970426242823152,Bull,1.0,0.0,0.0,0.0,0.801865368860412,0.0,0.0,0.0664776034949442,0.12869965192695892,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2012-12-24,493966728.95350283,1460078.9535028157,0.0,492506650.0,0.9970441755123951,Bull,1.0,0.0,0.0,0.0,0.8025418044649641,0.0,0.0,0.06647755420606682,0.12802481684136421,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2012-12-25,499819928.95350283,1460078.9535028157,0.0,498359850.0,0.9970787900423261,Bull,1.0,0.0,0.0,0.0,0.8019609198841867,0.0,0.0,0.06643152478837809,0.12868634536976126,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2012-12-26,497757028.95350283,1460078.9535028157,0.0,496296950.0,0.997066683404607,Bull,1.0,0.0,0.0,0.0,0.8013878796220119,0.0,0.0,0.06670021329442918,0.12897859048816593,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2012-12-27,498953328.95350283,1460078.9535028157,0.0,497493250.0,0.9970737163803172,Bull,1.0,0.0,0.0,0.0,0.8018680842137133,0.0,0.0,0.06665653493034283,0.1285490972362611,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2012-12-28,502495978.95350283,1460078.9535028157,0.0,501035900.0,0.99709434699051,Bull,1.0,0.0,0.0,0.0,0.8012340732327633,0.0,0.0,0.06738163372076068,0.12847864003698603,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-02,506943178.95350283,1460078.9535028157,0.0,505483100.0,0.9971198370663219,Bull,1.0,0.0,0.0,0.0,0.8021157338370976,0.0,0.0,0.06623227492539083,0.1287718283038335,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-03,508636178.95350283,1460078.9535028157,0.0,507176100.0,0.9971294237140054,Bull,1.0,0.0,0.0,0.0,0.802680023351863,0.0,0.0,0.0650445276387317,0.12940487272341072,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-04,504340378.95350283,1460078.9535028157,0.0,502880300.0,0.9971049731204699,Bull,1.0,0.0,0.0,0.0,0.8012816678262783,0.0,0.0,0.0661489767470626,0.12967432854712885,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-07,502076078.95350283,1460078.9535028157,0.0,500616000.0,0.9970919169131776,Bull,1.0,0.0,0.0,0.0,0.8005687122911589,0.0,0.0,0.06686158016125854,0.12966162446076004,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-08,502116328.95350283,1460078.9535028157,0.0,500656250.0,0.9970921500271742,Bull,1.0,0.0,0.0,0.0,0.8010503279953012,0.0,0.0,0.06722705089147951,0.1288147711403935,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-09,501449628.95350283,1460078.9535028157,0.0,499989550.0,0.9970882839088945,Bull,1.0,0.0,0.0,0.0,0.8010219308333465,0.0,0.0,0.06660170448166149,0.12946464859388646,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-10,508455778.95350283,1460078.9535028157,0.0,506995700.0,0.9971284052341622,Bull,1.0,0.0,0.0,0.0,0.8024408746808859,0.0,0.0,0.0660627755458587,0.12862475500741763,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-11,508563928.95350283,1460078.9535028157,0.0,507103850.0,0.9971290159007004,Bull,1.0,0.0,0.0,0.0,0.802916854209952,0.0,0.0,0.06573273898679587,0.12847942270395257,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-14,508509528.95350283,1460078.9535028157,0.0,507049450.0,0.9971287087647942,Bull,1.0,0.0,0.0,0.0,0.8027201591286683,0.0,0.0,0.06579739040260815,0.12861115923351762,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-15,506531628.95350283,1460078.9535028157,0.0,505071550.0,0.9971174969734479,Bull,1.0,0.0,0.0,0.0,0.8033501300613817,0.0,0.0,0.06583853424691334,0.12792883266515293,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-16,503026828.95350283,1460078.9535028157,0.0,501566750.0,0.997097413359561,Bull,1.0,0.0,0.0,0.0,0.8028161258121059,0.0,0.0,0.0661767883618729,0.1281044991855822,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-17,500093678.95350283,1460078.9535028157,0.0,498633600.0,0.9970803891051808,Bull,1.0,0.0,0.0,0.0,0.8026576157490711,0.0,0.0,0.0665267356900412,0.12789603766606858,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-18,504306978.95350283,1460078.9535028157,0.0,502846900.0,0.9971047813842817,Bull,1.0,0.0,0.0,0.0,0.8020156707712178,0.0,0.0,0.06671492048318858,0.1283741901298753,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-21,503942278.95350283,1460078.9535028157,0.0,502482200.0,0.9971026861319616,Bull,1.0,0.0,0.0,0.0,0.8019009654025995,0.0,0.0,0.06685368822390174,0.12834803250546045,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-22,506024078.95350283,1460078.9535028157,0.0,504564000.0,0.9971146057782025,Bull,1.0,0.0,0.0,0.0,0.8020031395329922,0.0,0.0,0.06693574754396682,0.12817571870124347,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-23,505635578.95350283,1460078.9535028157,0.0,504175500.0,0.9971123888146386,Bull,1.0,0.0,0.0,0.0,0.8016702480449371,0.0,0.0,0.0672866020828978,0.12815553868680366,0.0,0.8065525874221621,0.0,0.0,0.055715196258619995,0.1377322163192179,0.0
2013-01-24,502568078.95350283,1460078.9535028157,0.0,501108000.0,0.9970947638446453,Bull,1.0,0.0,0.0,0.0,0.8013252668943571,0.0,0.0,0.06754806248476596,0.1282214344655223,0.0,0.8149144405666217,0.0,0.0,0.05997897230132381,0.12510658713205464,0.0
2013-01-25,500753428.95350283,1460078.9535028157,0.0,499293350.0,0.9970842357354314,Bull,1.0,0.0,0.0,0.0,0.801316030603275,0.0,0.0,0.06756139457837125,0.12820681055378505,0.0,0.8211858304249662,0.0,0.0,0.0651703228612813,0.11364384671375254,0.0
