slice,code,n,mad,corr,status
full,0050,3585,0.00045689810130909925,0.4679383394435843,DRIFT
full,2412,3585,5.5609894896537864e-05,0.9953264652957885,PASS
full,2880,3585,0.00023146976868109457,0.9705018054342647,PASS
full,2886,3585,0.00012325288348589058,0.9930714044533331,PASS
full,2892,3585,0.00024204448765826069,0.9604228667945508,PASS
full,3045,3585,7.722766577666704e-05,0.99717152978101,PASS
full,4904,3585,6.509072951286735e-05,0.9971764790311751,PASS
full,5880,3585,0.00024820372074302625,0.9534301920289988,PASS
pre_2020,0050,1973,0.00041525920960557846,0.4772039247880038,DRIFT
pre_2020,2412,1973,5.922392469951162e-05,0.9969341827146354,PASS
pre_2020,2880,1973,0.0003198826417767154,0.941197061394111,DRIFT
pre_2020,2886,1973,0.00015602276985073027,0.991437873464005,PASS
pre_2020,2892,1973,0.00033281914413211064,0.9218476909953442,DRIFT
pre_2020,3045,1973,0.00010154675502784579,0.996913125274712,PASS
pre_2020,4904,1973,7.860094772819025e-05,0.9974108634426325,PASS
pre_2020,5880,1973,0.0003090031910610161,0.9184454344198412,DRIFT
covid_2020,0050,245,2.444405061135479e-08,0.9999999999977481,PASS
covid_2020,2412,245,0.0,1.0,PASS
covid_2020,2880,245,0.00021511075002630115,0.9706212386436495,PASS
covid_2020,2886,245,2.1386358749364905e-08,0.9999999999973243,PASS
covid_2020,2892,245,0.00011301230112137922,0.99339179669762,PASS
covid_2020,3045,245,7.035017048982704e-09,0.9999999999986896,PASS
covid_2020,4904,245,2.569713674853704e-08,0.9999999999944501,PASS
covid_2020,5880,245,0.00011436240582041394,0.9921314499284427,PASS
heldout_2019_plus,0050,1853,0.00044374332411351394,0.6129288280279213,DRIFT
heldout_2019_plus,2412,1853,4.6993357790087856e-05,0.9942103332816664,PASS
heldout_2019_plus,2880,1853,0.00013951903573576605,0.9865421994561834,PASS
heldout_2019_plus,2886,1853,7.99190537906053e-05,0.9951038323903925,PASS
heldout_2019_plus,2892,1853,0.0001215609441372952,0.9909832417417082,PASS
heldout_2019_plus,3045,1853,4.372013081132213e-05,0.9977443207120423,PASS
heldout_2019_plus,4904,1853,4.446763731745132e-05,0.997052029877666,PASS
heldout_2019_plus,5880,1853,0.00016925550258592404,0.9786125647432057,PASS
sealed_2023_plus,0050,878,0.0009117654967668204,0.5042695477228695,DRIFT
sealed_2023_plus,2412,878,7.019875951956185e-05,0.9894896172636491,PASS
sealed_2023_plus,2880,878,7.926262169519602e-05,0.9982216262086755,PASS
sealed_2023_plus,2886,878,8.916093584951505e-05,0.9952177440910692,PASS
sealed_2023_plus,2892,878,0.00015888866882343873,0.9874554640193711,PASS
sealed_2023_plus,3045,878,5.864834683272107e-05,0.9973967004797334,PASS
sealed_2023_plus,4904,878,5.108141832154009e-05,0.9968124543365475,PASS
sealed_2023_plus,5880,878,0.00021446423126751204,0.9662103588825762,PASS
