year,n_days,start_nav,end_nav,year_return
2012,20,3000000.0,3010781.3176259096,0.0035937725419699085
2013,246,3039526.611818147,3363075.9630781393,0.1064472836006709
2014,248,3366558.284578139,3630367.5543370415,0.07836171171234008
2015,244,3597430.1460827584,3482039.8192511336,-0.03207576579555638
2016,244,3427031.0291941194,4031784.7573968847,0.17646578716416683
2017,246,4039123.8207662264,4514123.282162041,0.11759962865057871
2018,247,4542094.526438047,4958945.33418555,0.0917750181818433
2019,242,4865181.209811155,6249169.488842201,0.2844679816324389
2020,245,6253386.579858434,6022440.555535706,-0.036931352535693796
2021,244,6019605.12334407,7275473.910836689,0.20862976254411625
2022,246,7232645.602805071,7632753.089596899,0.055319658775573544
2023,238,7688671.21162263,8228134.666334802,0.07016341834161
2024,242,8227807.257576407,9975599.006343367,0.2124249747291469
2025,237,10006002.221149491,11793648.12226019,0.17865735601499133
2026,162,11972897.686495973,16695201.766628467,0.3944161391656007
