fill_date,signal_date,code,side,quantity,fill_price,gross,fees_tax
2012-12-05,2012-12-04,2880,BUY,6997,16.35,114400.95000000001,0.0
2012-12-05,2012-12-04,2886,BUY,5024,22.7,114044.8,0.0
2012-12-05,2012-12-04,2892,BUY,6461,17.65,114036.65,0.0
2012-12-05,2012-12-04,5880,BUY,7150,15.95,114042.5,0.0
2012-12-05,2012-12-04,2412,BUY,199,93.1,18526.899999999998,0.0
2012-12-05,2012-12-04,3045,BUY,179,104.5,18705.5,0.0
2012-12-05,2012-12-04,4904,BUY,261,71.0,18531.0,0.0
2012-12-05,2012-12-04,0050,BUY,1642,53.3,87518.59999999999,0.0
2012-12-06,2012-12-05,2880,BUY,7067,16.5,116605.5,0.0
2012-12-06,2012-12-05,2886,BUY,5103,22.85,116603.55,0.0
2012-12-06,2012-12-05,2892,BUY,6514,17.9,116600.59999999999,0.0
2012-12-06,2012-12-05,5880,BUY,7220,16.15,116602.99999999999,0.0
2012-12-06,2012-12-05,2412,BUY,156,93.9,14648.400000000001,0.0
2012-12-06,2012-12-05,3045,BUY,137,107.0,14659.0,0.0
2012-12-06,2012-12-05,4904,BUY,203,72.0,14616.0,0.0
2012-12-06,2012-12-05,0050,BUY,1690,53.75,90837.5,0.0
2012-12-07,2012-12-06,2880,BUY,7307,16.5,120565.5,0.0
2012-12-07,2012-12-06,2886,BUY,5265,22.9,120568.49999999999,0.0
2012-12-07,2012-12-06,2892,BUY,6735,17.9,120556.49999999999,0.0
2012-12-07,2012-12-06,5880,BUY,7465,16.15,120559.74999999999,0.0
2012-12-07,2012-12-06,2412,BUY,113,94.0,10622.0,0.0
2012-12-07,2012-12-06,3045,BUY,99,107.0,10593.0,0.0
2012-12-07,2012-12-06,4904,BUY,148,71.5,10582.0,0.0
2012-12-07,2012-12-06,0050,BUY,1623,53.65,87073.95,0.0
2012-12-10,2012-12-07,2880,BUY,7657,16.5,126340.5,0.0
2012-12-10,2012-12-07,2886,BUY,5500,22.9,125949.99999999999,0.0
2012-12-10,2012-12-07,2892,BUY,7017,17.95,125955.15,0.0
2012-12-10,2012-12-07,5880,BUY,7799,16.15,125953.84999999999,0.0
2012-12-10,2012-12-07,2412,BUY,65,94.2,6123.0,0.0
2012-12-10,2012-12-07,3045,BUY,58,107.0,6206.0,0.0
2012-12-10,2012-12-07,4904,BUY,86,72.2,6209.2,0.0
2012-12-10,2012-12-07,0050,BUY,1466,53.9,79017.4,0.0
2012-12-11,2012-12-10,2880,BUY,5482,16.45,90178.9,0.0
2012-12-11,2012-12-10,2886,BUY,3984,22.5,89640.0,0.0
2012-12-11,2012-12-10,2892,BUY,5050,17.7,89385.0,0.0
2012-12-11,2012-12-10,5880,BUY,5585,16.05,89639.25,0.0
2012-12-11,2012-12-10,2412,BUY,197,94.5,18616.5,0.0
2012-12-11,2012-12-10,3045,BUY,173,108.0,18684.0,0.0
2012-12-11,2012-12-10,4904,BUY,254,73.6,18694.399999999998,0.0
2012-12-11,2012-12-10,0050,BUY,604,53.65,32404.6,0.0
2012-12-12,2012-12-11,2880,BUY,1351,16.55,22359.05,0.0
2012-12-12,2012-12-11,2886,BUY,1004,22.5,22590.0,0.0
2012-12-12,2012-12-11,2892,BUY,1249,18.0,22482.0,0.0
2012-12-12,2012-12-11,5880,BUY,1380,16.2,22356.0,0.0
2012-12-12,2012-12-11,2412,BUY,47,95.0,4465.0,0.0
2012-12-12,2012-12-11,3045,BUY,42,108.0,4536.0,0.0
2012-12-12,2012-12-11,4904,BUY,60,75.0,4500.0,0.0
2012-12-12,2012-12-11,0050,BUY,165,53.8,8877.0,0.0
2012-12-18,2012-12-17,2880,BUY,759,16.7,12675.3,0.0
2012-12-18,2012-12-17,2886,BUY,559,22.65,12661.349999999999,0.0
2012-12-18,2012-12-17,2892,BUY,635,17.95,11398.25,0.0
2012-12-18,2012-12-17,2412,SELL,75,93.5,7012.5,0.0
2012-12-18,2012-12-17,3045,SELL,66,105.5,6963.0,0.0
2012-12-18,2012-12-17,4904,SELL,96,74.0,7104.0,0.0
