date,nav_base_e16_e18_e22_v2s,nav_blend_e45_a05,nav_blend_e45_a10,nav_blend_e45_a15,nav_blend_e45_a20,nav_blend_e45_a25,nav_blend_e45_a30,nav_blend_e45_a35,nav_blend_e45_a40,nav_blend_e45_a45,nav_blend_e45_a50,nav_blend_e45_a55,nav_blend_e45_a60,nav_blend_e45_a65,nav_blend_e45_a70,nav_blend_e45_a75,nav_blend_e45_a80,nav_blend_e45_a85,nav_blend_e45_a90,nav_blend_e45_a95,nav_chal_e45_e3
2012-12-04,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
2012-12-05,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936
2012-12-06,3004638.320241335,3004638.320241335,3004638.295979183,3004638.295979183,3004638.295979183,3004638.3150076643,3004638.29311751,3004638.270752957,3004638.270752957,3004638.4157836996,3004638.989112327,3004639.016386969,3004639.016386969,3004639.016386969,3004638.749278033,3004638.7683065147,3004638.7683065147,3004638.7683065147,3004638.7440443626,3004638.7440443626,3004638.7440443626
2012-12-07,3005127.0548355477,3005128.105386321,3005127.6503712395,3005127.5818543797,3005127.4822982294,3005127.479436557,3005127.379880407,3005126.7322829547,3005127.78305899,3005128.9538275795,3005128.7745808954,3005128.6275933855,3005128.502299388,3005128.030695594,3005127.914030508,3005127.7609130247,3005127.5151148504,3005128.1575025087,3005128.1303109126,3005128.0617940524,3005127.8896480873
2012-12-10,2984956.965624803,2984954.9730357607,2984950.491830379,2984946.3214311944,2984941.902643249,2984939.124367311,2984934.7055793647,2984930.335195456,2984926.330309245,2984923.880678651,2984919.0317782676,2984915.8850923935,2984911.2094814857,2984906.9662061264,2984901.653404009,2984896.705384654,2984892.1266648653,2984887.822629133,2984882.4959424855,2984877.782899832,2984874.0110096773
2012-12-11,2989130.304668315,2989130.9533439325,2989126.3999100355,2989125.200196891,2989121.5008359486,2989122.170949268,2989118.2764611924,2989115.7495936747,2989113.6704677534,2989113.340264163,2989109.898991891,2989108.47173302,2989105.638562764,2989101.2470499566,2989098.2749331067,2989094.0975997914,2989091.3923732885,2989089.63722316,2989086.65924075,2989081.6160031087,2989081.2408079267
2012-12-12,3021220.8971615816,3021128.509748583,3021027.872711664,3020932.1403290224,3020836.0552269234,3020742.840230976,3020645.838043818,3020548.8199676094,3020452.6565151284,3020360.2678297493,3020260.992230918,3020165.7345017823,3020070.563391136,3019969.6577476384,3019874.254476138,3019775.9647741886,3019678.95056762,3019583.139600733,3019487.9151387396,3019387.4450752134,3019293.654341418
2012-12-13,3032283.9471615814,3032155.409748583,3032018.672711664,3031886.4903290225,3031754.3052269234,3031623.790230976,3031490.938043818,3031357.6699676095,3031224.3565151286,3031095.5178297493,3030959.992230918,3030828.6845017825,3030696.4133911356,3030560.4077476384,3030429.2544761384,3030294.5647741887,3030161.0005676197,3030028.739600733,3029895.4151387396,3029760.9950752137,3029629.3043414177
2012-12-14,3028701.7971615815,3028586.059748583,3028459.8227116643,3028340.4403290227,3028219.6052269232,3028101.690230976,3027980.838043818,3027858.9199676095,3027738.2565151285,3027622.167829749,3027498.0422309176,3027378.684501782,3027259.063391136,3027133.757747638,3027014.954476138,3026892.7647741884,3026769.8005676195,3026650.389600733,3026529.46513874,3026405.9950752137,3026287.354341418
2012-12-17,3010951.5971615813,3010893.0097485827,3010827.322711664,3010766.6903290227,3010703.905226923,3010644.140230976,3010581.688043818,3010518.9699676093,3010456.3565151286,3010397.7678297493,3010333.2922309176,3010272.434501782,3010210.613391136,3010146.207747638,3010085.454476138,3010022.1147741885,3009957.2005676194,3009896.5896007326,3009833.0651387395,3009769.7450752137,3009708.854341418
2012-12-18,3015719.1408219407,3015657.022130683,3015584.234504556,3015506.080336636,3015427.5582705177,3015350.092349649,3015273.6133822524,3015195.149950494,3015115.151838221,3015040.8894070406,3014959.78407602,3014883.5473297765,3014804.344593775,3014726.923805901,3014648.86354299,3014569.791382721,3014489.021745531,3014412.867542081,3014331.991322202,3014253.8572549857,3014176.291908114
2012-12-19,3025637.590821941,3025588.322130683,3025508.0345045556,3025397.830336636,3025286.208270518,3025176.6423496488,3025066.3633822524,3024954.6999504943,3024842.751838221,3024735.3894070406,3024621.28407602,3024511.7973297765,3024400.694593775,3024287.873805901,3024177.9135429896,3024065.691382721,3023951.771745531,3023842.5675420812,3023729.6913222023,3023617.457254986,3023507.741908114
2012-12-20,2991001.190821941,2990924.072130683,2990891.034504556,2990898.430336636,2990901.558270518,2990909.7923496487,2990911.763382253,2990916.249950494,2990921.7018382214,2990928.6894070404,2990930.93407602,2990936.0973297763,2990942.044593775,2990942.7238059007,2990950.3135429895,2990952.991382721,2990954.421745531,2990960.8675420815,2990963.641322202,2990966.1572549855,2990972.741908114
2012-12-21,2953054.790821941,2953047.6221306827,2953126.734504556,2953261.2803366357,2953389.908270518,2953525.742349649,2953651.1633822527,2953781.8499504942,2953914.9518382214,2954046.0894070407,2954175.13407602,2954305.1973297764,2954437.8945937753,2954564.423805901,2954698.86354299,2954828.0413827207,2954955.0717455307,2955086.6175420815,2955215.191322202,2955343.7572549856,2955476.391908114
2012-12-22,2959571.340821941,2959512.572130683,2959557.984504556,2959669.480336636,2959777.0582705177,2959890.2923496487,2959995.6133822524,2960104.949950494,2960215.501838221,2960325.2394070406,2960433.03407602,2960541.5473297765,2960651.9445937756,2960759.4738059007,2960871.2135429895,2960979.441382721,2961084.8717455305,2961194.717542081,2961300.541322202,2961409.457254986,2961519.191908114
2012-12-24,2962925.140821941,2962845.1221306827,2962865.384504556,2962966.180336636,2963062.808270518,2963165.442349649,2963260.1133822524,2963357.5999504942,2963457.3518382213,2963557.1394070406,2963653.18407602,2963751.5473297765,2963851.3945937753,2963945.7238059007,2964046.71354299,2964143.941382721,2964238.421745531,2964337.217542081,2964432.891322202,2964530.057254986,2964629.891908114
2012-12-25,2997274.290821941,2997197.172130683,2997156.284504556,2997142.380336636,2997124.908270518,2997111.8923496488,2997092.613382253,2997076.4499504943,2997060.9018382216,2997046.5394070405,2997027.8340760204,2997011.7473297766,2996996.694593775,2996976.523805901,2996962.9135429896,2996945.041382721,2996925.3217455307,2996910.467542081,2996892.6913222023,2996873.8572549857,2996859.341908114
2012-12-26,2984192.440821941,2984120.622130683,2984109.484504556,2984137.3803366357,2984164.108270518,2984194.2923496487,2984221.4633822525,2984246.0999504942,2984273.8518382213,2984304.5394070405,2984327.73407602,2984356.9973297766,2984384.9945937754,2984407.173805901,2984435.4135429896,2984463.191382721,2984486.521745531,2984513.4175420813,2984539.641322202,2984565.3572549857,2984594.941908114
2012-12-27,2990237.4908219413,2990198.672130683,2990196.734504556,2990205.080336636,2990210.7582705184,2990219.992349649,2990225.6633822527,2990232.999950494,2990239.6018382213,2990248.189407041,2990253.78407602,2990260.697329777,2990267.444593775,2990274.973805901,2990283.46354299,2990289.041382721,2990292.7217455306,2990301.3175420812,2990304.741322202,2990311.8572549857,2990318.691908114
