book,alpha,window,cagr,max_drawdown,vol,utility,n_days,mean_e45_exposure,exact_t1,live_wire
BASE_E16_E18_E22_v2s,0.0,full,0.1378248622325564,-0.2263873534222821,0.13322264778649467,0.024631185521415355,3351,1.0,True,False
BASE_E16_E18_E22_v2s,0.0,oof_2011_2018,0.08846337485294886,-0.17413755783374418,0.10679475834335891,0.0013945959360767701,1495,1.0,True,False
BASE_E16_E18_E22_v2s,0.0,validation_2019_2022,0.12329654723233241,-0.2263873534222821,0.1356113287117382,0.010102870521191354,977,1.0,True,False
BASE_E16_E18_E22_v2s,0.0,sealed_2023_plus,0.2492563398696781,-0.144572796391655,0.16654549266359758,0.1769699416738506,879,1.0,True,False
BASE_E16_E18_E22_v2s,0.0,heldout_2019_plus,0.18234637927240827,-0.2263873534222821,0.1510303139281758,0.06915270256126721,1856,1.0,True,False
BLEND_E45_A05,0.05,full,0.13311077376297686,-0.21786080178618272,0.12792789520010944,0.024180372869885502,3351,0.9953398647195717,True,False
BLEND_E45_A05,0.05,oof_2011_2018,0.09030423969935275,-0.1731338008122305,0.1049626364476561,0.003737339293237496,1495,0.9953398647195717,True,False
BLEND_E45_A05,0.05,validation_2019_2022,0.11635613431764802,-0.21786080178618272,0.13245700878857386,0.0074257334245566575,977,0.9953398647195717,True,False
BLEND_E45_A05,0.05,sealed_2023_plus,0.23422475413471222,-0.11388645226706673,0.15519507509258892,0.17728152800117886,879,0.9953398647195717,True,False
BLEND_E45_A05,0.05,heldout_2019_plus,0.17168621919535254,-0.21786080178618272,0.14365123828708692,0.06275581830226118,1856,0.9953398647195717,True,False
BLEND_E45_A10,0.1,full,0.1304966101202334,-0.2168718841310524,0.12589431124328074,0.02206066805470719,3351,0.9906797294391435,True,False
BLEND_E45_A10,0.1,oof_2011_2018,0.09087409703324045,-0.1729057344801337,0.10379525010917877,0.004421229793173609,1495,0.9906797294391435,True,False
