book,alpha,window,base_cagr,book_cagr,base_mdd,book_mdd,mdd_improve_pp,cagr_giveback_pp,mdd_pp_per_cagr_giveback_pp
BASE_E16_E18_E22_v2s,0.0,heldout_2019_plus,0.18234637927240827,0.18234637927240827,-0.2263873534222821,-0.2263873534222821,0.0,0.0,
BASE_E16_E18_E22_v2s,0.0,sealed_2023_plus,0.2492563398696781,0.2492563398696781,-0.144572796391655,-0.144572796391655,0.0,0.0,
BASE_E16_E18_E22_v2s,0.0,full,0.1378248622325564,0.1378248622325564,-0.2263873534222821,-0.2263873534222821,0.0,0.0,
BLEND_E45_A25,0.25,heldout_2019_plus,0.18234637927240827,0.15406866712029776,-0.2263873534222821,-0.22008177023841224,0.6305583183869867,2.82777121521105,0.22298774207584723
BLEND_E45_A25,0.25,sealed_2023_plus,0.2492563398696781,0.20564512383990396,-0.144572796391655,-0.09332258706256946,5.125020932908553,4.361121602977414,1.1751612083941003
BLEND_E45_A25,0.25,full,0.1378248622325564,0.124038092709855,-0.2263873534222821,-0.22008177023841224,0.6305583183869867,1.3786769522701414,0.4573648071426043
BLEND_E45_A35,0.35,heldout_2019_plus,0.18234637927240827,0.1495629265710181,-0.2263873534222821,-0.21815909396452648,0.8228259457755627,3.278345270139016,0.25098819006964185
BLEND_E45_A35,0.35,sealed_2023_plus,0.2492563398696781,0.19615872861633843,-0.144572796391655,-0.09321429942594994,5.135849696570505,5.309761125333967,0.967246845072993
BLEND_E45_A35,0.35,full,0.1378248622325564,0.12183700415975074,-0.2263873534222821,-0.21815909396452637,0.8228259457755738,1.5987858072805672,0.5146567739271768
BLEND_E45_A50,0.5,heldout_2019_plus,0.18234637927240827,0.14190839697220947,-0.2263873534222821,-0.21685181389419872,0.9535539528083392,4.043798230019879,0.23580651124713795
BLEND_E45_A50,0.5,sealed_2023_plus,0.2492563398696781,0.17945664230139236,-0.144572796391655,-0.09248103750299363,5.2091758888661355,6.979969756828575,0.7463035042193337
BLEND_E45_A50,0.5,full,0.1378248622325564,0.11784487012367761,-0.2263873534222821,-0.21685181389419883,0.9535539528083281,1.9979992108878797,0.4772544191269143
CHAL_E45_E3_FULL,1.0,heldout_2019_plus,0.18234637927240827,0.12587757186262594,-0.2263873534222821,-0.2075836624984907,1.8803690923791416,5.646880740978233,0.33299252784527505
CHAL_E45_E3_FULL,1.0,sealed_2023_plus,0.2492563398696781,0.15521554345330602,-0.144572796391655,-0.095606636426529,4.896615996512599,9.404079641637209,0.5206906133410968
CHAL_E45_E3_FULL,1.0,full,0.1378248622325564,0.1079429047523961,-0.2263873534222821,-0.2075836624984908,1.8803690923791305,2.9881957480160315,0.6292657010932345
