date,nav_base,nav_blend_e45_a25,rel_blend_vs_base
2012-12-04,500000000.0,500000000.0,1.0
2012-12-05,500940511.21989167,500940511.21989167,1.0
2012-12-06,500770541.429113,500770541.429113,1.0
2012-12-07,500852741.45812535,500852694.83141935,0.9999999069053593
2012-12-10,497491009.79208136,497487637.8494306,0.9999932221033458
2012-12-11,498186597.36229795,498184801.4891276,0.9999963951796779
2012-12-12,503535191.01925147,503456270.55472195,0.9998432672314923
2012-12-13,505377891.01925147,505269170.55472195,0.9997848729308078
2012-12-14,504783741.01925147,504686170.55472195,0.9998067083849957
2012-12-17,501825091.01925147,501774970.55472195,0.9999001236378442
2012-12-18,502618136.2531116,502558540.5973302,0.9998814295555953
2012-12-19,504271786.2531116,504197940.5973302,0.9998535598108114
2012-12-20,498496986.2531116,498487490.5973302,0.9999809514279058
2012-12-21,492168086.2531116,492256090.5973302,1.0001788095300705
2012-12-22,493251986.2531116,493315190.5973302,1.0001281380429885
2012-12-24,493814186.2531116,493862140.5973302,1.0000971100984004
2012-12-25,499542036.2531116,499521090.5973302,0.9999580702838574
2012-12-26,497360986.2531116,497367390.5973302,1.0000128766517593
2012-12-27,498365586.2531116,498370140.5973302,1.000009138560816
2012-12-28,501798780.39324886,501755893.1393161,0.9999145329649881
2013-01-02,506586117.85294473,506509193.1393161,0.9998481507666364
2013-01-03,508263167.85294473,508148043.1393161,0.9997734938887762
2013-01-04,503720867.85294473,503700943.1393161,0.9999604449311112
2013-01-07,501627767.85294473,501642543.1393161,1.000029454681974
2013-01-08,501717567.85294473,501704843.1393161,0.9999746376956998
2013-01-09,501014867.85294473,501000093.1393161,0.9999705104287784
2013-01-10,508108767.85294473,508005093.1393161,0.9997959596051319
2013-01-11,508340967.85294473,508214193.1393161,0.9997506108662378
2013-01-14,508241517.85294473,508110393.1393161,0.99974200314413
2013-01-15,506069117.85294473,505976493.1393161,0.9998169722072321
2013-01-16,502632167.85294473,502580993.1393161,0.9998981865529075
2013-01-17,499235417.85294473,499269993.1393161,1.0000692564772748
2013-01-18,503928267.85294473,503873843.1393161,0.9998919990857815
2013-01-21,503275967.85294473,503254693.1393161,0.9999577275391881
2013-01-22,505634199.3943504,505570023.7655313,0.9998730789394863
2013-01-23,505088978.26788205,505019901.7921549,0.9998632389960992
2013-01-24,501682180.68919796,501694001.79215497,1.0000235629316967
2013-01-25,499985380.68919796,500043501.79215497,1.0001162456047752
2013-01-28,505741630.68919796,505673824.00500345,0.9998659262356906
2013-01-29,509074430.68919796,508936974.00500345,0.9997299870590467
2013-01-30,509659080.68919796,509518524.00500345,0.9997242143041886
2013-01-31,513751730.68919796,513541874.00500345,0.9995915212121758
2013-02-01,514878730.68919796,514683874.00500345,0.9996215483907567
2013-02-04,529888730.68919796,529671674.00500345,0.9995903730884932
2013-02-05,527291580.68919796,527131974.00500345,0.9996973084910897
2013-02-06,530355430.68919796,530152674.00500345,0.9996176966003139
2013-02-18,531066580.689198,530822924.0050035,0.9995411937164671
2013-02-19,529004130.68919796,528803174.00500345,0.9996201226558804
2013-02-20,536610980.68919796,536315974.00500345,0.9994502410595184
2013-02-21,529505580.68919796,529297074.00500345,0.9996062238212426
2013-02-22,528965630.68919796,528823274.00500345,0.9997308772518755
2013-02-23,533275580.68919796,533025324.00500345,0.9995307179003564
2013-02-25,528531730.68919796,528305174.00500345,0.999571347052524
2013-02-26,526403980.68919796,526250524.00500345,0.9997084811478941
2013-02-27,525721530.68919796,525518274.00500345,0.9996133757658203
2013-03-01,529199030.68919796,528998024.00500345,0.9996201680794223
2013-03-04,520924030.68919796,520770024.00500345,0.9997043586490131
2013-03-05,525714130.68919796,525477624.00500345,0.999550123022403
2013-03-06,525033930.68919796,524787074.00500345,0.9995298271792254
2013-03-07,525921780.68919796,525697374.00500345,0.999573307871181
2013-03-08,534286580.68919796,533964474.00500345,0.9993971275045332
2013-03-11,533387230.68919796,533077424.00500345,0.9994191711642699
2013-03-12,529007380.68919796,528754824.00500345,0.999522583817516
2013-03-13,528843480.68919796,528523674.00500345,0.9993952715768043
2013-03-14,527876330.68919796,527581256.76809883,0.999441016950478
2013-03-15,527201680.68919796,526873056.76809883,0.9993766637453251
2013-03-18,518844230.68919796,518640056.76809883,0.9996064832005014
2013-03-19,518568680.68919796,518342756.76809883,0.9995643317278651
2013-03-20,515806180.68919796,515642106.76809883,0.9996819078032763
2013-03-21,515394980.68919796,515240706.76809883,0.9997006685612405
2013-03-22,512985580.68919796,512844606.76809883,0.9997251893105655
2013-03-25,520366730.68919796,520152156.76809883,0.9995876486553724
2013-03-26,518462380.68919796,518333706.76809883,0.9997518162823539
2013-03-27,522692380.68919796,522469856.76809883,0.9995742736467562
2013-03-28,521250030.68919796,521064506.76809883,0.9996440788293982
2013-03-29,523543480.68919796,523357006.76809883,0.9996438234301883
2013-04-01,521475030.68919796,521323256.76809883,0.9997089526589633
2013-04-02,520011280.68919796,519851106.76809883,0.9996919799107303
2013-04-03,522208780.68919796,521999006.76809883,0.9995982949179402
2013-04-08,508408530.68919796,508374656.76809883,0.9999333726343002
2013-04-09,508983930.68919796,508927106.76809883,0.9998883581235616
2013-04-10,508871980.68919796,508815256.76809883,0.999888530075831
2013-04-11,511003580.68919796,510892556.76809883,0.9997827335750772
2013-04-12,509746580.68919796,509673256.76809883,0.9998561561295811
2013-04-15,507238980.68919796,507189206.76809883,0.9999018728390482
2013-04-16,506219630.68919796,506220006.76809883,1.0000007429164697
2013-04-17,500861880.68919796,500976356.76809883,1.0002285581780417
2013-04-18,501010408.47644037,501086678.4309502,1.0001522322754568
2013-04-19,508630508.47644037,508588978.4309502,0.9999183492834227
2013-04-22,509374417.30040246,509357878.4309502,0.9999675310166932
2013-04-23,510237167.30040246,510251178.4309502,1.0000274600351478
2013-04-24,512650917.30040246,512549801.0489455,0.999802758079534
2013-04-25,511476367.30040246,511429151.0489455,0.999907686347844
