date,nav,cost,exposure
2004-02-11,1.0,0.0,1.0
2004-02-12,0.9839988424015657,0.0006839999999999999,1.0
2004-02-13,1.0299591668969694,0.0,1.0
2004-02-16,1.0478615434353507,0.0,1.0
2004-02-17,1.058029070176993,0.0,1.0
2004-02-18,1.0336612381930241,0.0,1.0
2004-02-19,1.0568209888773357,0.0,1.0
2004-02-20,1.0539116737145005,0.0,1.0
2004-02-23,1.0553522763877736,0.0,1.0
2004-02-24,1.050131680027539,0.0,1.0
2004-02-25,1.0536471305325448,0.0,1.0
2004-02-26,1.0543406472115193,0.0,1.0
2004-02-27,1.074108543213898,0.0,1.0
2004-03-01,1.113357047412502,0.0,1.0
2004-03-02,1.1142190081564856,0.0,1.0
2004-03-03,1.109597721275742,0.0,1.0
2004-03-04,1.1261957236263909,0.0,1.0
2004-03-05,1.0968406339678407,0.0,1.0
2004-03-08,1.0832947174795593,0.0,1.0
2004-03-09,1.1018045944012758,0.0,1.0
2004-03-10,1.0860611735467434,0.0,1.0
2004-03-11,1.0856402297204093,0.0,1.0
2004-03-12,1.08202894567937,0.0,1.0
2004-03-15,1.0359693105570442,0.0,1.0
2004-03-16,1.0297823595593274,0.0,1.0
2004-03-17,1.0236267088105884,0.0,0.5
2004-03-18,1.0380382606351726,0.0015419999999999998,0.5
2004-03-19,1.0327776749079283,0.0,0.5
2004-03-22,1.0050602755208258,0.0,0.5
2004-03-23,0.9999351259185267,0.0,0.5
2004-03-24,0.9991000568457724,0.0,0.5
2004-03-25,0.9968064164655361,0.0,0.5
2004-03-26,0.9904012466816924,0.0,0.5
2004-03-29,1.014740922967182,0.0,0.5
2004-03-30,1.0204033308008271,0.0,0.5
2004-03-31,1.0237125785809018,0.0,0.5
2004-04-01,1.018232355901689,0.0,0.5
2004-04-02,1.0229353717786496,0.0,0.5
2004-04-05,1.0278351405202262,0.0,0.5
2004-04-06,1.0234374642416735,0.0,0.5
2004-04-07,1.0257939599223738,0.0,0.5
2004-04-08,1.0322576443412115,0.0,0.5
2004-04-09,1.0266070417438087,0.0,0.5
2004-04-12,1.0409794444528435,0.0,0.5
2004-04-13,1.0409557468411468,0.0,1.0
2004-04-14,1.036156585975831,0.00034199999999999996,1.0
2004-04-15,1.0156802334651762,0.0,1.0
2004-04-16,1.027530317986541,0.0,1.0
2004-04-19,1.0217144367705864,0.0,1.0
2004-04-20,1.0309138678868088,0.0,1.0
2004-04-21,1.0486323856111794,0.0,1.0
2004-04-22,1.03069707685074,0.0,1.0
2004-04-23,1.0307618548754673,0.0,1.0
2004-04-26,1.0243129188516893,0.0,1.0
2004-04-27,1.0265252673930005,0.0,1.0
2004-04-28,1.0286570629273961,0.0,1.0
2004-04-29,0.9904655768443468,0.0,1.0
2004-04-30,0.963960624717129,0.0,1.0
2004-05-03,0.9519689461881485,0.0,1.0
2004-05-04,0.9714179063316181,0.0,1.0
2004-05-05,0.9278335565637456,0.0,0.5
2004-05-06,0.9434604291376737,0.0015419999999999998,0.5
2004-05-07,0.950639154031277,0.0,0.5
2004-05-10,0.9381970508328061,0.0,0.5
2004-05-11,0.942148866165542,0.0002355,0.5
2004-05-12,0.9410054435554793,0.0,0.5
2004-05-13,0.9382588501940757,0.0,0.5
2004-05-14,0.9348526769220293,0.0,0.5
2004-05-17,0.9178607623886421,0.0,0.5
2004-05-18,0.9239467202364822,0.0,0.5
2004-05-19,0.9426336479610032,0.0,0.5
2004-05-20,0.9359642181263544,0.0,0.5
2004-05-21,0.9450675792705382,0.0,0.5
2004-05-24,0.9412253531549444,0.0,0.5
2004-05-25,0.9387145562737242,0.0,0.5
2004-05-26,0.9483934158171268,0.0,0.5
2004-05-27,0.9520603139049332,0.0,0.5
2004-05-28,0.9570981015022716,0.0,0.5
2004-05-31,0.9461433513967736,0.0,0.5
