window,strategy,n,ret,mdd,sharpe,vol
Train_2010_2018,D_FORMAL_ROUTER,2223,0.01377006349816412,-0.3901803687023444,0.09367766578443122,0.16903161347698056
Train_2010_2018,E45_PASSTHROUGH,2223,0.01377006349816412,-0.3901803687023444,0.09367766578443122,0.16903161347698056
Train_2010_2018,E45_E3_VOLTARGET_WINNER,2223,0.039419326220644146,-0.2886160356701304,0.09760928129424956,0.12494996403246234
Train_2010_2018,E45_E1_BINARY,2223,0.05667901749305537,-0.31982074161536245,0.11666856583141542,0.14970885626737598
Validation_2019_2022,D_FORMAL_ROUTER,977,0.1725177732860852,-0.24420344363544344,0.3477136641680139,0.15102756581571994
Validation_2019_2022,E45_PASSTHROUGH,977,0.1725177732860852,-0.24420344363544344,0.3477136641680139,0.15102756581571994
Validation_2019_2022,E45_E3_VOLTARGET_WINNER,977,0.12569944127415766,-0.20215011369699898,0.31239814063893506,0.12155648211083374
Validation_2019_2022,E45_E1_BINARY,977,0.1370094772908954,-0.23556478105543432,0.30853405778134707,0.13868691020038265
Blind_2023_2025,D_FORMAL_ROUTER,722,0.2939074755217663,-0.18511590007948386,0.6791725054741377,0.14915222978258988
Blind_2023_2025,E45_PASSTHROUGH,722,0.2939074755217663,-0.18511590007948386,0.6791725054741377,0.14915222978258988
Blind_2023_2025,E45_E3_VOLTARGET_WINNER,722,0.21721293591112034,-0.1736504752417709,0.5952904131270617,0.12967014886635708
Blind_2023_2025,E45_E1_BINARY,722,0.28374787522660494,-0.1473343025503211,0.7020707229032627,0.1381653832988323
Final_2026,D_FORMAL_ROUTER,157,0.23490275126748328,-0.07472370398278061,1.9112833438555574,0.1875432547824299
Final_2026,E45_PASSTHROUGH,157,0.23490275126748328,-0.07472370398278061,1.9112833438555574,0.1875432547824299
Final_2026,E45_E3_VOLTARGET_WINNER,157,0.17680629046105767,-0.06758883376372171,1.8240696665778082,0.1503903605073187
Final_2026,E45_E1_BINARY,157,0.2349027512674826,-0.0747237039827805,1.9112833438555559,0.18754325478242975
Crisis_2008_2009,D_FORMAL_ROUTER,498,0.07331498764483024,-0.6125073766138477,0.28922372462618035,0.39995800663118597
Crisis_2008_2009,E45_PASSTHROUGH,498,0.07331498764483024,-0.6125073766138477,0.28922372462618035,0.39995800663118597
Crisis_2008_2009,E45_E3_VOLTARGET_WINNER,498,0.08765709894609541,-0.39507836803120067,0.30321382290812265,0.22051885579110997
Crisis_2008_2009,E45_E1_BINARY,498,0.24428765627308202,-0.43676731525700685,0.5156327684329657,0.3047249013848976
Full,D_FORMAL_ROUTER,5318,0.8344925967547268,-0.6125073766138477,0.24401912643214374,0.19943986283575543
Full,E45_PASSTHROUGH,5318,0.8344925967547268,-0.6125073766138477,0.24401912643214374,0.19943986283575543
Full,E45_E3_VOLTARGET_WINNER,5318,0.6621291294105618,-0.39507836803120067,0.24296477143916645,0.1388886376019305
Full,E45_E1_BINARY,5318,1.0675810170818574,-0.43676731525700685,0.2869558103567159,0.1710586288442549
