book,year,event_tag,event_label,is_covid,mdd_improve_pp,ret_delta_pp
BLEND_E45_A05,2015,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,-0.0757229701511597,-0.32959528861519205
BLEND_E45_A05,2018,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.062216719367691464,-0.6876705440417963
BLEND_E45_A05,2020,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.7024106199616797,0.8716645808913737
BLEND_E45_A05,2022,RATE_INFLATION_2022,2022 rate / inflation stress,False,-1.4865418444504508,-2.1695898988744133
BLEND_E45_A10,2015,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,-0.11880917736085683,-0.4722233843991841
BLEND_E45_A10,2018,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.2241912886051911,-1.0373211400305227
BLEND_E45_A10,2020,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.7995563710543108,0.9790335907797987
BLEND_E45_A10,2022,RATE_INFLATION_2022,2022 rate / inflation stress,False,-1.7007307967325191,-2.933346125102654
FIN_ONLY_A05,2015,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,-0.07701356247791225,-0.2974288186224805
FIN_ONLY_A05,2018,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,-0.013117738124635014,-0.5632521008021918
FIN_ONLY_A05,2020,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.6421180471372079,0.865585834946192
FIN_ONLY_A05,2022,RATE_INFLATION_2022,2022 rate / inflation stress,False,-1.3323500348710327,-1.8595530212123013
FIN_ONLY_A08,2015,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,-0.05146950398930983,-0.38989214830518204
FIN_ONLY_A08,2018,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.08666358127122908,-0.7746023611766351
FIN_ONLY_A08,2020,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.7612498742001983,1.0087251795074081
FIN_ONLY_A08,2022,RATE_INFLATION_2022,2022 rate / inflation stress,False,-1.7017623554977934,-2.489615730497663
FIN_ONLY_A10,2015,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,-0.06311787655726153,-0.44427337948460544
FIN_ONLY_A10,2018,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.17105472034134594,-0.9424863058403732
FIN_ONLY_A10,2020,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.9119746801036444,1.1007477123893605
FIN_ONLY_A10,2022,RATE_INFLATION_2022,2022 rate / inflation stress,False,-1.6680524154453091,-2.619078945979325
FIN_ONLY_A12,2015,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,-0.07486303758790225,-0.4592560949066016
FIN_ONLY_A12,2018,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.21947771968912066,-1.0169345238465466
FIN_ONLY_A12,2020,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.8264674948487483,1.0043298528210398
FIN_ONLY_A12,2022,RATE_INFLATION_2022,2022 rate / inflation stress,False,-1.629263808515935,-2.7948025958829836
FIN_ONLY_A15,2015,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,-0.07945947659563357,-0.5031687467978774
FIN_ONLY_A15,2018,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.28773418982609433,-1.1282734446852904
FIN_ONLY_A15,2020,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.7423469403666116,1.1029660400710073
FIN_ONLY_A15,2022,RATE_INFLATION_2022,2022 rate / inflation stress,False,-1.675639611141444,-3.1290877744891477
