fill_date,signal_date,code,side,quantity,fill_price,gross,fees_tax
2012-12-05,2012-12-04,2880,BUY,6994,16.358175,114409.07595,97.81975993725
2012-12-05,2012-12-04,2886,BUY,5022,22.71135,114056.3997,97.51822174349999
2012-12-05,2012-12-04,2892,BUY,6459,17.658824999999997,114058.35067499998,97.51988982712498
2012-12-05,2012-12-04,5880,BUY,7148,15.957974999999998,114067.60529999998,97.52780253149999
2012-12-05,2012-12-04,2412,BUY,200,93.14654999999999,18629.309999999998,15.928060049999997
2012-12-05,2012-12-04,3045,BUY,180,104.55225,18819.405,16.090591274999998
2012-12-05,2012-12-04,4904,BUY,262,71.0355,18611.301,15.912662354999998
2012-12-05,2012-12-04,0050,BUY,1639,53.326649999999994,87402.37934999999,74.72903434424998
2012-12-06,2012-12-05,2880,BUY,7062,16.50825,116581.26150000001,99.6769785825
2012-12-06,2012-12-05,2886,BUY,5100,22.861425,116593.2675,99.68724371249999
2012-12-06,2012-12-05,2892,BUY,6510,17.908949999999997,116587.26449999998,99.68211114749998
2012-12-06,2012-12-05,5880,BUY,7215,16.158074999999997,116580.51112499998,99.67633701187498
2012-12-06,2012-12-05,2412,BUY,157,93.94695,14749.67115,12.61096883325
2012-12-06,2012-12-05,3045,BUY,138,107.0535,14773.383,12.631242465
2012-12-06,2012-12-05,4904,BUY,205,72.036,14767.380000000001,12.626109900000001
2012-12-06,2012-12-05,0050,BUY,1686,53.776875,90667.81125,77.52097861875
2012-12-07,2012-12-06,2880,BUY,7302,16.50825,120543.2415,103.0644714825
2012-12-07,2012-12-06,2886,BUY,5261,22.91145,120537.13845,103.05925337475
2012-12-07,2012-12-06,2892,BUY,6731,17.908949999999997,120545.14244999998,103.06609679474998
2012-12-07,2012-12-06,5880,BUY,7461,16.158074999999997,120555.39757499998,103.07486492662498
2012-12-07,2012-12-06,2412,BUY,114,94.047,10721.358,9.16676109
2012-12-07,2012-12-06,3045,BUY,100,107.0535,10705.35,9.15307425
2012-12-07,2012-12-06,4904,BUY,150,71.53575,10730.3625,9.174459937499998
2012-12-07,2012-12-06,0050,BUY,1617,53.676824999999994,86795.426025,74.210089251375
2012-12-10,2012-12-07,2880,BUY,7661,16.50825,126469.70325,108.13159627875
2012-12-10,2012-12-07,2886,BUY,5503,22.91145,126081.70934999999,107.79986149424998
2012-12-10,2012-12-07,2892,BUY,7020,17.958975,126072.0045,107.79156384749999
2012-12-10,2012-12-07,5880,BUY,7803,16.158074999999997,126081.45922499997,107.79964763737497
2012-12-10,2012-12-07,2412,BUY,65,94.2471,6126.0615,5.2377825824999995
2012-12-10,2012-12-07,3045,BUY,57,107.0535,6102.0495,5.2172523225
2012-12-10,2012-12-07,4904,BUY,85,72.2361,6140.068499999999,5.249758567499999
2012-12-10,2012-12-07,0050,BUY,1456,53.92695,78517.63919999999,67.13258151599999
2012-12-11,2012-12-10,2880,BUY,4978,16.458225,81929.04405,70.04933266274999
2012-12-11,2012-12-10,2886,BUY,3617,22.51125,81423.19125,69.61682851875
2012-12-11,2012-12-10,2892,BUY,4585,17.708849999999998,81195.07724999999,69.42179104874998
2012-12-11,2012-12-10,5880,BUY,5071,16.058025,81430.244775,69.622859282625
2012-12-11,2012-12-10,2412,BUY,188,94.54724999999999,17774.882999999998,15.197524964999998
2012-12-11,2012-12-10,3045,BUY,165,108.05399999999999,17828.909999999996,15.243718049999996
2012-12-11,2012-12-10,4904,BUY,242,73.6368,17820.1056,15.236190287999998
2012-12-11,2012-12-10,0050,BUY,511,53.676824999999994,27428.857574999998,23.451673226624997
2012-12-12,2012-12-11,2880,BUY,1221,16.558275,20217.653775,17.286093977624997
2012-12-12,2012-12-11,2886,BUY,907,22.51125,20417.70375,17.45713670625
2012-12-12,2012-12-11,2892,BUY,1129,18.009,20332.161,17.383997654999998
2012-12-12,2012-12-11,5880,BUY,1247,16.208099999999998,20211.500699999997,17.280833098499997
2012-12-12,2012-12-11,2412,BUY,45,95.0475,4277.1375,3.6569525625
2012-12-12,2012-12-11,3045,BUY,40,108.05399999999999,4322.16,3.6954467999999996
2012-12-12,2012-12-11,4904,BUY,57,75.0375,4277.1375,3.6569525625
2012-12-12,2012-12-11,0050,BUY,140,53.826899999999995,7535.766,6.44307993
2012-12-18,2012-12-17,2880,BUY,741,16.70835,12380.887349999999,10.58565868425
2012-12-18,2012-12-17,2886,BUY,545,22.661324999999998,12350.422125,10.559610916874998
2012-12-18,2012-12-17,2892,BUY,690,17.958975,12391.692749999998,10.594897301249999
