date,nav_base_e16_e18_e22_v2s,nav_const_a05,nav_const_a25,nav_const_a100_full,nav_gate_09_a25,nav_gate_09_a50,nav_gate_09_a100,nav_gate_085_a25,nav_gate_085_a50,nav_gate_085_a100,nav_gate_08_a25,nav_gate_08_a50,nav_gate_08_a100,nav_e1bin_a25,nav_e1bin_a50,nav_e1bin_a100
2012-12-04,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
2012-12-05,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936
2012-12-06,3004638.320241335,3004638.320241335,3004638.3150076643,3004638.7440443626,3004638.320241335,3004638.320241335,3004638.320241335,3004638.320241335,3004638.320241335,3004638.320241335,3004638.320241335,3004638.320241335,3004638.320241335,3004638.320241335,3004638.320241335,3004638.320241335
2012-12-07,3005127.0548355477,3005128.105386321,3005127.479436557,3005127.8896480873,3005127.0548355477,3005127.0548355477,3005127.0548355477,3005127.0548355477,3005127.0548355477,3005127.0548355477,3005127.0548355477,3005127.0548355477,3005127.0548355477,3005127.0548355477,3005127.0548355477,3005127.0548355477
2012-12-10,2984956.965624803,2984954.9730357607,2984939.124367311,2984874.0110096773,2984956.965624803,2984956.965624803,2984956.965624803,2984956.965624803,2984956.965624803,2984956.965624803,2984956.965624803,2984956.965624803,2984956.965624803,2984956.965624803,2984956.965624803,2984956.965624803
2012-12-11,2989130.304668315,2989130.9533439325,2989122.170949268,2989081.2408079267,2989130.304668315,2989130.304668315,2989130.304668315,2989130.304668315,2989130.304668315,2989130.304668315,2989130.304668315,2989130.304668315,2989130.304668315,2989130.304668315,2989130.304668315,2989130.304668315
2012-12-12,3021220.8971615816,3021128.509748583,3020742.840230976,3019293.654341418,3021220.8971615816,3021220.8971615816,3021220.8971615816,3021220.8971615816,3021220.8971615816,3021220.8971615816,3021220.8971615816,3021220.8971615816,3021220.8971615816,3021220.8971615816,3021220.8971615816,3021220.8971615816
2012-12-13,3032283.9471615814,3032155.409748583,3031623.790230976,3029629.3043414177,3032283.9471615814,3032283.9471615814,3032283.9471615814,3032283.9471615814,3032283.9471615814,3032283.9471615814,3032283.9471615814,3032283.9471615814,3032283.9471615814,3032283.9471615814,3032283.9471615814,3032283.9471615814
2012-12-14,3028701.7971615815,3028586.059748583,3028101.690230976,3026287.354341418,3028701.7971615815,3028701.7971615815,3028701.7971615815,3028701.7971615815,3028701.7971615815,3028701.7971615815,3028701.7971615815,3028701.7971615815,3028701.7971615815,3028701.7971615815,3028701.7971615815,3028701.7971615815
2012-12-17,3010951.5971615813,3010893.0097485827,3010644.140230976,3009708.854341418,3010951.5971615813,3010951.5971615813,3010951.5971615813,3010951.5971615813,3010951.5971615813,3010951.5971615813,3010951.5971615813,3010951.5971615813,3010951.5971615813,3010951.5971615813,3010951.5971615813,3010951.5971615813
