book,window,cagr,mdd,vol,utility,n_days,exact_t1,live_wire
BASE_E16_E18_E22_v2s,full,0.1378248622325564,-0.2263873534222821,0.1332226477864947,0.024631185521415355,3351,True,False
BASE_E16_E18_E22_v2s,oof_2011_2018,0.08846337485294886,-0.17413755783374418,0.106794758343359,0.0013945959360767701,1495,True,False
BASE_E16_E18_E22_v2s,validation_2019_2022,0.12329654723233241,-0.2263873534222821,0.13561132871173825,0.010102870521191354,977,True,False
BASE_E16_E18_E22_v2s,sealed_2023_plus,0.2492563398696781,-0.144572796391655,0.16654549266359756,0.1769699416738506,879,True,False
BASE_E16_E18_E22_v2s,heldout_2019_plus,0.18234637927240827,-0.2263873534222821,0.15103031392817587,0.06915270256126721,1856,True,False
CHAL_E45_E3,full,0.1079429047523961,-0.2075836624984907,0.10785160901336184,0.004151073503150748,3351,True,False
CHAL_E45_E3,oof_2011_2018,0.08906131377792659,-0.15572113682777777,0.09426898216756224,0.0112007453640377,1495,True,False
CHAL_E45_E3,validation_2019_2022,0.09971953722588722,-0.2075836624984907,0.11498865798471124,-0.004072294023358125,977,True,False
CHAL_E45_E3,sealed_2023_plus,0.15521554345330602,-0.09560663642652889,0.12043492738500963,0.10741222524004157,879,True,False
CHAL_E45_E3,heldout_2019_plus,0.12587757186262594,-0.2075836624984907,0.11754730382141573,0.02208574061338059,1856,True,False
