date,nav_base,nav_chal_e45_e3,rel_chal_vs_base
2012-12-04,3000000.0,3000000.0,1.0
2012-12-05,3004346.074002625,3004346.074002625,1.0
2012-12-06,3003888.23254025,3003888.23254025,1.0
2012-12-07,3004130.255535125,3004130.255535125,1.0
2012-12-10,2985921.5330448747,2985921.5330448747,1.0
2012-12-11,2988964.858970625,2988886.613582,0.9999738219108231
2012-12-12,3017725.2938323747,3017143.16352825,0.9998070963234081
2012-12-13,3028825.1955115,3027898.637734875,0.9996940867442605
2012-12-14,3027051.18917,3026498.637734875,0.9998174621436525
2012-12-17,3009451.18917,3010548.637734875,1.000364667341615
2012-12-18,3013082.19791025,3013829.646475125,1.0002480677644285
2012-12-19,3023082.19791025,3023229.646475125,1.000048774249333
2012-12-20,2991282.19791025,2993929.646475125,1.0008850547657204
2012-12-21,2956432.19791025,2961629.646475125,1.001758013787209
2012-12-22,2962132.19791025,2966929.646475125,1.001619592997321
2012-12-24,2965532.19791025,2970129.646475125,1.0015502946041572
2012-12-25,2997232.19791025,2999179.646475125,1.000649748980487
2012-12-26,2984182.19791025,2987079.646475125,1.0009709355437157
2012-12-27,2990032.19791025,2992729.646475125,1.0009021469958619
2012-12-28,3007563.545507375,3008730.158096625,1.000387892914513
2013-01-02,3037463.545507375,3036480.158096625,0.9996762471726764
2013-01-03,3049413.545507375,3047580.158096625,0.9993987737696478
2013-01-04,3021313.545507375,3021380.158096625,1.0000220475591979
2013-01-07,3008313.545507375,3009130.158096625,1.0002714519536933
2013-01-08,3007113.545507375,3008430.158096625,1.0004378326821801
2013-01-09,3004363.545507375,3005830.158096625,1.0004881608257572
2013-01-10,3045363.545507375,3044230.158096625,0.9996278318191527
2013-01-11,3047363.545507375,3046130.158096625,0.9995952608238788
2013-01-14,3046063.545507375,3045080.158096625,0.9996771612292198
2013-01-15,3033963.545507375,3033930.158096625,0.9999889954476218
2013-01-16,3013963.545507375,3015230.158096625,1.0004202481450506
2013-01-17,2994663.545507375,2997180.158096625,1.0008403657208922
2013-01-18,3020013.545507375,3020780.158096625,1.0002538440896698
2013-01-21,3016563.545507375,3017430.158096625,1.00028728471195
