window,start,end,n_days,base_cagr,base_mdd,chal_e45_e3_cagr,chal_e45_e3_mdd,mdd_improve_pp,cagr_giveback_pp,rel_nav_end,sleeve,blend_e45_a25_cagr,blend_e45_a25_mdd,blend_e45_a05_cagr,blend_e45_a05_mdd
mtd,2026-09-01,2026-09-04,4,20.255413303827453,0.0,10.127346941807716,0.0,0.0,1012.8066362019736,0.9923247747022346,CHAL_E45_E3,,,,
ytd,2026-01-01,2026-09-04,162,0.6826979970195655,-0.1445727963916548,0.4504172286575469,-0.0722915084002203,7.228128799143452,23.22807683620185,0.9094591893197634,CHAL_E45_E3,,,,
trailing_1y,2025-09-04,2026-09-04,242,0.5436980484500511,-0.1445727963916547,0.3387636788312032,-0.0722915084002203,7.228128799143441,20.493436961884797,0.8726533010873595,CHAL_E45_E3,,,,
sealed_2023_plus,2023-01-01,2026-09-04,879,0.2492563398696781,-0.1445727963916548,0.155215543453306,-0.095606636426529,4.896615996512588,9.404079641637209,0.7613416976087176,CHAL_E45_E3,,,,
heldout_2019_plus,2019-01-01,2026-09-04,1856,0.1823463792724082,-0.2263873534222821,0.1258775718626259,-0.2075836624984907,1.8803690923791416,5.646880740978233,0.6975096148065542,CHAL_E45_E3,,,,
full,2012-12-04,2026-09-04,3351,0.1378248622325564,-0.2263873534222821,0.1079429047523961,-0.2075836624984908,1.8803690923791303,2.9881957480160315,0.7020232115167765,CHAL_E45_E3,,,,
mtd,2026-09-01,2026-09-04,4,20.255413303827453,0.0,,,0.0,728.792599845714,0.995013908776033,BLEND_E45_A25,12.967487305370312,0.0,,
ytd,2026-01-01,2026-09-04,162,0.6826979970195655,-0.1445727963916548,,,5.941594773596382,11.5541113601636,0.9555696691204636,BLEND_E45_A25,0.5671568834179295,-0.085156848655691,,
trailing_1y,2025-09-04,2026-09-04,242,0.5436980484500511,-0.1445727963916547,,,5.941594773596359,11.68514135660148,0.9274855351781895,BLEND_E45_A25,0.4268466348840363,-0.0851568486556911,,
sealed_2023_plus,2023-01-01,2026-09-04,879,0.2492563398696781,-0.1445727963916548,,,5.125020932908542,4.361121602977414,0.8835532222196493,BLEND_E45_A25,0.2056451238399039,-0.0933225870625694,,
heldout_2019_plus,2019-01-01,2026-09-04,1856,0.1823463792724082,-0.2263873534222821,,,0.6305583183869867,2.82777121521105,0.8367815233356293,BLEND_E45_A25,0.1540686671202977,-0.2200817702384122,,
full,2012-12-04,2026-09-04,3351,0.1378248622325564,-0.2263873534222821,,,0.6305583183869867,1.3786769522701414,0.8503901689447174,BLEND_E45_A25,0.124038092709855,-0.2200817702384122,,
mtd,2026-09-01,2026-09-04,4,19.92200000766477,0.0,,,0.0,391.32107741420833,0.9975379048321736,BLEND_E45_A05,,,16.00878923352269,0.0
ytd,2026-01-01,2026-09-04,162,0.6837253898932076,-0.1408714812501015,,,2.7784750941673986,4.871078217702829,0.9814188767765794,BLEND_E45_A05,,,0.6350146077161793,-0.1130867303084275
trailing_1y,2025-09-04,2026-09-04,242,0.5416538629101519,-0.1408714812501015,,,2.7784750941673875,5.171819858408888,0.9678933750527648,BLEND_E45_A05,,,0.489935664326063,-0.1130867303084276
sealed_2023_plus,2023-01-01,2026-09-04,879,0.2488922261012192,-0.1408714812501016,,,2.7784750941673986,1.4195835045774483,0.9609528156549988,BLEND_E45_A05,,,0.2346963910554447,-0.1130867303084276
heldout_2019_plus,2019-01-01,2026-09-04,1856,0.182035222294727,-0.2254334443782552,,,0.702410619961702,0.9603207511210908,0.941719213827332,BLEND_E45_A05,,,0.1724320147835161,-0.2184093381786381
full,2012-12-04,2026-09-04,3351,0.1378939567293853,-0.225433444378255,,,0.7024106199616909,0.4234223792751956,0.9516486798812616,BLEND_E45_A05,,,0.1336597329366333,-0.2184093381786381
