date,nav,cash,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_telecom,pre_0050,tgt_financial,tgt_telecom,tgt_0050
2012-12-04,3000000.0,3000000.0,0.0,0.0,Bull,0.9941468028514007,0.0,0.0,0.0,0.0,0.0,0.0,0.7559038746371392,0.09281946428412623,0.14542346393013533
2012-12-05,3005661.9052330507,2399380.1052330504,606281.8,0.20171323958440715,Bull,0.9941468028514007,0.0,0.0,0.0,0.15350139654653752,0.018848094624803597,0.029363748413066024,0.7682276131182042,0.07680819804072692,0.1491109916924697
2012-12-06,3004637.498381731,1797716.9983817313,1206920.5,0.40168589410537403,Bull,0.9941468028514007,0.0,0.0,0.0,0.30891190717679,0.03333413766350969,0.0594398492650743,0.7841770096549795,0.0647906869690644,0.14517910622735697
2012-12-07,3005130.615928107,1196071.9159281068,1809058.7,0.6019900401038937,Bull,0.9944394627088305,0.0,0.0,0.0,0.46923041964500567,0.0439047139251389,0.08885490653374915,0.7981323651851772,0.055949523145430745,0.14035757437822263
2012-12-10,2984924.3467996363,593882.5967996364,2391041.75,0.801039313630718,Bull,0.9944394627088305,0.0,0.0,0.0,0.6345907399733334,0.05100414024336389,0.11544443341402076,0.789651148526318,0.07562981556577297,0.12915849861673967
2012-12-11,2989094.3239429016,160168.0739429015,2828926.25,0.9464158515641539,Bull,0.9944394627088305,0.0,0.0,0.0,0.7513010988016242,0.06969007245151733,0.12542468031101234,0.789651148526318,0.07562981556577297,0.12915849861673967
2012-12-12,3021055.2683291896,51859.56832918929,2969195.7,0.9828339557793424,Bull,0.9944394627088305,0.0,0.0,0.0,0.781770636492258,0.07313106857597748,0.12793225071110684,0.789651148526318,0.07562981556577297,0.12915849861673967
2012-12-13,3032079.6683291895,51859.56832918929,2980220.1,0.9828963701478971,Bull,0.9944394627088305,0.0,0.0,0.0,0.781550869112164,0.07246471862036356,0.12888078241536952,0.7940357970995637,0.06411519434512408,0.13628847126414287
2012-12-14,3028523.0183291896,51859.56832918929,2976663.45,0.9828762839128758,Bull,0.994717489573389,0.0,0.0,0.0,0.7830569342373167,0.07196666450309586,0.12785268517246326,0.7942577948091211,0.06413311976655273,0.1363265749977154
2012-12-17,3010849.2183291893,51859.56832918929,2958989.65,0.9827757670448978,Bull,0.994717489573389,0.0,0.0,0.0,0.7833512005987571,0.07248230787229665,0.12694225857384397,0.8055406380649911,0.06314671248928433,0.12603013901911378
2012-12-18,3015607.918272676,24621.61827267605,2990986.3,0.9918352720446565,Bull,0.994717489573389,0.0,0.0,0.0,0.7998652229901381,0.06578444724128164,0.12618560181323685,0.8055406380649911,0.06314671248928433,0.12603013901911378
2012-12-19,3025552.718272676,24621.61827267605,3000931.1,0.9918621089878966,Bull,0.994717489573389,0.0,0.0,0.0,0.800314463329663,0.06542450865407802,0.12612313700415556,0.8055406380649911,0.06314671248928433,0.12603013901911378
2012-12-20,2990891.368272676,24621.61827267605,2966269.75,0.9917677992140197,Bull,0.994717489573389,0.0,0.0,0.0,0.8003460691995834,0.06538127799437084,0.1260404520200654,0.8055406380649911,0.06314671248928433,0.12603013901911378
2012-12-21,2953080.818272676,24621.61827267605,2928459.1999999997,0.9916623960575932,Bull,0.9949816150947196,0.0,0.0,0.0,0.7992383701102173,0.06537135685738446,0.12705266908999163,0.803956110813443,0.05457506798072908,0.13645043630054768
2012-12-22,2959519.9182726764,24621.61827267605,2934898.3000000003,0.9916805363867777,Bull,0.9949816150947196,0.0,0.0,0.0,0.7992080693210847,0.06533606981528833,0.12713639725040463,0.803956110813443,0.05457506798072908,0.13645043630054768
2012-12-24,2962830.668272676,24621.61827267605,2938209.05,0.9916898327885102,Bull,0.9949816150947196,0.0,0.0,0.0,0.7999987901373579,0.06529630669470148,0.12639473595645095,0.803956110813443,0.05457506798072908,0.13645043630054768
2012-12-25,2997171.018272676,24621.61827267605,2972549.4,0.9917850472587093,Bull,0.9949816150947196,0.0,0.0,0.0,0.7994370976471296,0.06526758026398449,0.1270803693475953,0.803956110813443,0.05457506798072908,0.13645043630054768
2012-12-26,2984102.668272676,24621.61827267605,2959481.05,0.9917490713257101,Bull,0.9949816150947196,0.0,0.0,0.0,0.7988028278463325,0.06554747666011831,0.12739876681925927,0.803956110813443,0.05457506798072908,0.13645043630054768
2012-12-27,2990194.668272676,24621.61827267605,2965573.05,0.9917658811535173,Bull,0.9952325343399836,0.0,0.0,0.0,0.7992151398559291,0.06553034893650993,0.12702039236107843,0.8236751168658667,0.04817761231518195,0.12337980515893493
2012-12-28,3010681.3353351145,46963.7353351143,2963717.6,0.9844009610768432,Bull,0.9952325343399836,0.0,0.0,0.0,0.8069735815230579,0.053161421676062186,0.12426595787772293,0.8236751168658667,0.04817761231518195,0.12337980515893493
2013-01-02,3039364.872218189,22096.322218189052,3017268.55,0.9927299540702849,Bull,0.9952325343399836,0.0,0.0,0.0,0.8203410432194437,0.04858515058517109,0.12380376026567019,0.8236751168658667,0.04817761231518195,0.12337980515893493
2013-01-03,3049515.122218189,22096.322218189052,3027418.8,0.9927541522725369,Bull,0.9952325343399836,0.0,0.0,0.0,0.8206280833851685,0.04771368370659597,0.12441238518077256,0.8236751168658667,0.04817761231518195,0.12337980515893493
2013-01-04,3022333.272218189,22096.322218189052,3000236.95,0.9926889855525524,Bull,0.9952325343399836,0.0,0.0,0.0,0.8194128929343346,0.04854580444476139,0.12473028817345634,0.8182699924438437,0.04304663953324145,0.13391590236289844
2013-01-07,3009720.072218189,22096.322218189052,2987623.75,0.9926583463950175,Bull,0.9954709076229844,0.0,0.0,0.0,0.8189249634048091,0.04905492752061387,0.12467845546959443,0.8184659805147213,0.043056949856139504,0.13394797725212362
