book,kind,cut,sleeves,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_mdd_improve_pp,covid_ex_cagr_giveback_pp,covid_ex_score,help_2015_pp,help_2018_pp,help_2020_pp,help_2022_pp,years_helped,n_years_helped,turnover_per_year,fees_tax_sum
BASE_E16_E18_E22_v2s,ref,0.0,,0,heldout_2019_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.195322522131772,0.0
BASE_E16_E18_E22_v2s,ref,0.0,,0,sealed_2023_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.195322522131772,0.0
BASE_E16_E18_E22_v2s,ref,0.0,,0,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.195322522131772,0.0
BLEND_E45_A05,ref_e45,,,0,heldout_2019_plus,0.6946269483974254,0.9406448486156904,0.22430452408958024,-1.5068573074256353,1.1118823860165605,-2.0627985004339155,-0.07745851740771359,0.08090951274830616,0.6946269483974254,-1.5068573074256464,2020,1,2.233820089797587,0.0
BLEND_E45_A05,ref_e45,,,0,sealed_2023_plus,2.6753237652790585,1.375903651763366,1.9873719393973754,-1.5068573074256353,1.1118823860165605,-2.0627985004339155,-0.07745851740771359,0.08090951274830616,0.6946269483974254,-1.5068573074256464,2020,1,2.233820089797587,0.0
BLEND_E45_A05,ref_e45,,,0,full,0.6946269483974143,0.40998511390410997,0.48963439144535936,-1.5068573074256353,1.1118823860165605,-2.0627985004339155,-0.07745851740771359,0.08090951274830616,0.6946269483974254,-1.5068573074256464,2020,1,2.233820089797587,0.0
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,0,heldout_2019_plus,0.8632778683128839,1.2317836160515183,0.24738606028712473,-1.5920454925506644,1.455747740226787,-2.319919362664058,-0.054495021768841134,0.19938480420561566,0.8632778683128728,-1.5920454925506866,2020,1,2.273504523631205,0.0
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,0,sealed_2023_plus,3.291285035951741,1.772694072049097,2.4049379999271925,-1.5920454925506644,1.455747740226787,-2.319919362664058,-0.054495021768841134,0.19938480420561566,0.8632778683128728,-1.5920454925506866,2020,1,2.273504523631205,0.0
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,0,full,0.8632778683128728,0.5436178342310694,0.5914689511973381,-1.5920454925506644,1.455747740226787,-2.319919362664058,-0.054495021768841134,0.19938480420561566,0.8632778683128728,-1.5920454925506866,2020,1,2.273504523631205,0.0
M1_EQW_C25,m1,0.25,,0,heldout_2019_plus,2.742842525211786,4.066222426713195,0.7097313118551885,1.3517918349208125,4.796703400116886,-1.0465598651376307,1.0981460464503878,0.9424453869558702,2.742842525211786,1.3517918349208013,"2015,2018,2020,2022",4,2.70687592853082,0.0
M1_EQW_C25,m1,0.25,,0,sealed_2023_plus,5.053226442887205,8.006807578415408,1.0498226536795006,1.3517918349208125,4.796703400116886,-1.0465598651376307,1.0981460464503878,0.9424453869558702,2.742842525211786,1.3517918349208013,"2015,2018,2020,2022",4,2.70687592853082,0.0
M1_EQW_C25,m1,0.25,,0,full,2.742842525211786,2.2225897463835853,1.6315476520199934,1.3517918349208125,4.796703400116886,-1.0465598651376307,1.0981460464503878,0.9424453869558702,2.742842525211786,1.3517918349208013,"2015,2018,2020,2022",4,2.70687592853082,0.0
M1_EQW_C50,m1,0.5,,0,heldout_2019_plus,5.416323041311877,5.4689697907528645,2.6818381459354446,3.087308578702408,6.445501203631143,-0.13544202311316367,2.4145469365986383,1.4850364226653423,5.4163230413118875,3.087308578702408,"2015,2018,2020,2022",4,3.667908127248578,0.0
M1_EQW_C50,m1,0.5,,0,sealed_2023_plus,6.074915965417582,9.951367842214509,1.0992320443103276,3.087308578702408,6.445501203631143,-0.13544202311316367,2.4145469365986383,1.4850364226653423,5.4163230413118875,3.087308578702408,"2015,2018,2020,2022",4,3.667908127248578,0.0
M1_EQW_C50,m1,0.5,,0,full,5.416323041311877,3.322669839657033,3.7549881214833603,3.087308578702408,6.445501203631143,-0.13544202311316367,2.4145469365986383,1.4850364226653423,5.4163230413118875,3.087308578702408,"2015,2018,2020,2022",4,3.667908127248578,0.0
M1_EQW_C75,m1,0.75,,0,heldout_2019_plus,8.205736227121285,6.854056723731672,4.778707865255449,4.794753483619097,8.070496244790547,0.7595053612238232,3.57739777306173,1.9464542363727966,8.205736227121307,4.794753483619085,"2015,2018,2020,2022",4,4.786912756436542,0.0
M1_EQW_C75,m1,0.75,,0,sealed_2023_plus,7.081475279174143,11.812388511997662,1.1752810231753115,4.794753483619097,8.070496244790547,0.7595053612238232,3.57739777306173,1.9464542363727966,8.205736227121307,4.794753483619085,"2015,2018,2020,2022",4,4.786912756436542,0.0
M1_EQW_C75,m1,0.75,,0,full,8.205736227121296,4.444537745732058,5.983467354255267,4.794753483619097,8.070496244790547,0.7595053612238232,3.57739777306173,1.9464542363727966,8.205736227121307,4.794753483619085,"2015,2018,2020,2022",4,4.786912756436542,0.0
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,0,heldout_2019_plus,5.070899359084747,4.896201276248924,2.6227987209602848,2.190407101505931,5.772638600249835,-0.6959121986189865,2.0752513812270723,1.3873132671237798,5.070899359084757,2.190407101505931,"2015,2018,2020,2022",4,3.765969179127671,0.0
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,0,sealed_2023_plus,5.743520552791848,9.077727253629586,1.204656925977055,2.190407101505931,5.772638600249835,-0.6959121986189865,2.0752513812270723,1.3873132671237798,5.070899359084757,2.190407101505931,"2015,2018,2020,2022",4,3.765969179127671,0.0
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,0,full,5.070899359084768,2.826981806109563,3.6574084560299864,2.190407101505931,5.772638600249835,-0.6959121986189865,2.0752513812270723,1.3873132671237798,5.070899359084757,2.190407101505931,"2015,2018,2020,2022",4,3.765969179127671,0.0
BASE_E16_E18_E22_v2s,ref,0.0,,1,heldout_2019_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.18569227557563,391684.7088881098
BASE_E16_E18_E22_v2s,ref,0.0,,1,sealed_2023_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.18569227557563,391684.7088881098
BASE_E16_E18_E22_v2s,ref,0.0,,1,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.18569227557563,391684.7088881098
BLEND_E45_A05,ref_e45,,,1,heldout_2019_plus,0.702410619961702,0.9603207511210909,0.22225024440115648,-1.4865418444504397,1.1342731286939856,-2.0536784087974325,-0.0757229701511486,0.062216719367702567,0.7024106199616909,-1.4865418444504397,2020,1,2.233277734222544,400183.75862767885
BLEND_E45_A05,ref_e45,,,1,sealed_2023_plus,2.7784750941674097,1.4195835045774485,2.0686833418786854,-1.4865418444504397,1.1342731286939856,-2.0536784087974325,-0.0757229701511486,0.062216719367702567,0.7024106199616909,-1.4865418444504397,2020,1,2.233277734222544,400183.75862767885
BLEND_E45_A05,ref_e45,,,1,full,0.7024106199616909,0.42342237927519566,0.490699430324093,-1.4865418444504397,1.1342731286939856,-2.0536784087974325,-0.0757229701511486,0.062216719367702567,0.7024106199616909,-1.4865418444504397,2020,1,2.233277734222544,400183.75862767885
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,1,heldout_2019_plus,0.9119746801036444,1.253015844704719,0.2854667577512848,-1.6680524154453091,1.4797064761568945,-2.4079056535237564,-0.06311787655725043,0.17105472034134594,0.9119746801036666,-1.668052415445298,2020,1,2.265940532357012,405612.14461244736
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,1,sealed_2023_plus,3.4184805927018114,1.8016299024675497,2.5176656414680365,-1.6680524154453091,1.4797064761568945,-2.4079056535237564,-0.06311787655725043,0.17105472034134594,0.9119746801036666,-1.668052415445298,2020,1,2.265940532357012,405612.14461244736
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,Financial,1,full,0.9119746801036444,0.5604244367688915,0.6317624617191986,-1.6680524154453091,1.4797064761568945,-2.4079056535237564,-0.06311787655725043,0.17105472034134594,0.9119746801036666,-1.668052415445298,2020,1,2.265940532357012,405612.14461244736
M1_EQW_C25,m1,0.25,,1,heldout_2019_plus,2.7222522779820735,4.276622470953395,0.5839410425053759,1.2065279960921216,5.040362223366124,-1.3136531155909403,1.0677077194708784,0.8935174820958847,2.7222522779820735,1.2065279960921216,"2015,2018,2020,2022",4,2.699368283240135,464551.92480437143
M1_EQW_C25,m1,0.25,,1,sealed_2023_plus,5.319592723449739,8.287642717226774,1.1757713648363524,1.2065279960921216,5.040362223366124,-1.3136531155909403,1.0677077194708784,0.8935174820958847,2.7222522779820735,1.2065279960921216,"2015,2018,2020,2022",4,2.699368283240135,464551.92480437143
M1_EQW_C25,m1,0.25,,1,full,2.7222522779820624,2.391057906522276,1.5267233247209244,1.2065279960921216,5.040362223366124,-1.3136531155909403,1.0677077194708784,0.8935174820958847,2.7222522779820735,1.2065279960921216,"2015,2018,2020,2022",4,2.699368283240135,464551.92480437143
M1_EQW_C50,m1,0.5,,1,heldout_2019_plus,5.354807914755244,6.002039703485207,2.3537880630126407,2.831788936594859,7.065834538839333,-0.7011283328248075,2.2800183806319763,1.3671429597266749,5.3548079147552325,2.831788936594859,"2015,2018,2020,2022",4,3.652030667183624,590274.6200734263
M1_EQW_C50,m1,0.5,,1,sealed_2023_plus,6.229576048022977,10.647198997371898,0.9059765493370282,2.831788936594859,7.065834538839333,-0.7011283328248075,2.2800183806319763,1.3671429597266749,5.3548079147552325,2.831788936594859,"2015,2018,2020,2022",4,3.652030667183624,590274.6200734263
M1_EQW_C50,m1,0.5,,1,full,5.354807914755222,3.7804836215713067,3.4645661039695685,2.831788936594859,7.065834538839333,-0.7011283328248075,2.2800183806319763,1.3671429597266749,5.3548079147552325,2.831788936594859,"2015,2018,2020,2022",4,3.652030667183624,590274.6200734263
