book,kind,mode,cut,def_code,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_score,years_helped,n_years_helped
BASE_E16_E18_E22_v2s,ref,,,,1,heldout_2019_plus,0.0,0.0,0.0,0.0,,0
BASE_E16_E18_E22_v2s,ref,,,,1,sealed_2023_plus,0.0,0.0,0.0,,,0
BASE_E16_E18_E22_v2s,ref,,,,1,full,0.0,0.0,0.0,,,0
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,1,heldout_2019_plus,2.9585299388856345,3.431416298385259,1.242821789693005,3.203054952707518,"2015,2018,2020,2022",4
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,1,sealed_2023_plus,2.652963145586207,4.755390094477008,0.27526809834770294,,"2015,2018,2020,2022",4
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,1,full,2.9585299388856234,2.460065535531619,1.7284971711198138,,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,1,heldout_2019_plus,2.7286188564851654,3.5495450008723894,0.9538463560489707,1.8072360281884192,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,1,sealed_2023_plus,2.3774983985302756,5.279195465764119,-0.2620993343517841,,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,1,full,2.7286188564851543,2.5507202151728636,1.4532587488987225,,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,1,heldout_2019_plus,2.697018122391537,3.7979321061403226,0.7980520693213755,1.5602127132186228,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,1,sealed_2023_plus,2.29496922651532,5.606654876547701,-0.5083582117585306,,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,1,full,2.6970181223915257,2.784313511364278,1.3048613667093867,,"2015,2018,2020,2022",4
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,1,heldout_2019_plus,-1.4666216653457798,4.313807304404249,-3.6235253175479043,-0.5668944834404277,"2015,2018,2022",3
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,1,sealed_2023_plus,1.7337059242415687,6.407130707546482,-1.4698594295316725,,"2015,2018,2022",3
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,1,full,-1.4666216653457798,3.1376359248677543,-3.035439627779657,,"2015,2018,2022",3
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,1,heldout_2019_plus,-0.9389822244351254,4.151385437234545,-3.014674943052398,-0.14225136094901947,"2015,2018,2022",3
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,1,sealed_2023_plus,1.750300574473529,6.040157484532371,-1.2697781677926567,,"2015,2018,2022",3
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,1,full,-0.9389822244351365,2.9880378856615097,-2.4330011672658913,,"2015,2018,2022",3
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,1,heldout_2019_plus,-0.4590622532956945,6.393239762736513,-3.655682134663951,-1.5352334673743195,"2015,2018,2022",3
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,1,sealed_2023_plus,3.237095033774573,9.028374166052732,-1.277092049251793,,"2015,2018,2022",3
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,1,full,-0.4590622532957056,4.674917302546211,-2.796520904568811,,"2015,2018,2022",3
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,1,heldout_2019_plus,-0.5234436477329019,4.568822064238232,-2.8078546798520176,-0.5988408940659551,"2015,2018,2022",3
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,1,sealed_2023_plus,1.747882006746504,6.40247931101765,-1.4533576487623212,,"2015,2018,2022",3
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,1,full,-0.5234436477329019,3.202175122817885,-2.1245312091418445,,"2015,2018,2022",3
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,1,heldout_2019_plus,0.10699247212863083,7.014997623926278,-3.400506339834508,-2.3031145427199973,"2015,2018,2022",3
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,1,sealed_2023_plus,3.220264937595463,9.546861334966405,-1.5531657298877395,,"2015,2018,2022",3
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,1,full,0.10699247212861973,4.9968537837993265,-2.3914344197710435,,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,1,heldout_2019_plus,-0.7486350290857202,4.364384041570579,-2.93082704987101,-0.37696275150538305,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,1,sealed_2023_plus,1.7365510379248716,6.19586091058304,-1.3613794173666482,,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,1,full,-0.7486350290857313,3.109060037802114,-2.3031650479867882,,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,1,heldout_2019_plus,-0.1956714951736993,6.712633573928617,-3.5519882821380078,-1.9453189443019547,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,1,sealed_2023_plus,3.237765202075693,9.304269103599982,-1.4143693497242977,,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,1,full,-0.1956714951737215,4.858329153959806,-2.6248360721536246,,"2015,2018,2022",3
BASE_E16_E18_E22_v2s,ref,,,,2,heldout_2019_plus,0.0,0.0,0.0,0.0,,0
BASE_E16_E18_E22_v2s,ref,,,,2,sealed_2023_plus,0.0,0.0,0.0,,,0
BASE_E16_E18_E22_v2s,ref,,,,2,full,0.0,0.0,0.0,,,0
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,2,heldout_2019_plus,2.942201881471851,4.189986455002881,0.8472086539704105,2.5101298589727534,"2015,2018,2020,2022",4
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,2,sealed_2023_plus,2.545503350166678,5.746006968434747,-0.32750013405069556,,"2015,2018,2020,2022",4
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,2,full,2.942201881471862,3.156446802827806,1.363978480057959,,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,2,heldout_2019_plus,2.7186726753545054,4.313509172549579,0.561918089079716,1.095239118935376,"2015,2018,2020,2022",4
