book,kind,mode,cut,def_code,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,exact_t1_ok
BASE_E16_E18_E22_v2s,ref,,,,1,heldout_2019_plus,0.18203522229472702,-0.2254334443782552,0.06931850010559942,0.15058731210766724,1856,6104,391684.7088881098,2.18569227557563,True
BASE_E16_E18_E22_v2s,ref,,,,1,sealed_2023_plus,0.2488922261012192,-0.14087148125010163,0.17845648547616838,0.16567513128978922,879,6104,391684.7088881098,2.18569227557563,True
BASE_E16_E18_E22_v2s,ref,,,,1,full,0.13789395672938531,-0.22543344437825508,0.025177234540257776,0.13297638346349747,3351,6104,391684.7088881098,2.18569227557563,True
BASE_E16_E18_E22_v2s,ref,,,,2,heldout_2019_plus,0.17628281683062874,-0.226955650132887,0.06280499176418525,0.15098447177832908,1856,6121,746243.4866161725,2.1781887970938945,True
BASE_E16_E18_E22_v2s,ref,,,,2,sealed_2023_plus,0.24200513903064214,-0.14445484782247153,0.16977771511940637,0.1662921628489395,879,6121,746243.4866161725,2.1781887970938945,True
BASE_E16_E18_E22_v2s,ref,,,,2,full,0.13174310802986677,-0.2269556501328871,0.018265282963423224,0.13324998592043238,3351,6121,746243.4866161725,2.1781887970938945,True
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,1,heldout_2019_plus,0.14772105931087443,-0.19584814498939884,0.049796986816175004,0.1258664276029641,1856,13045,715563.4225736388,5.113906434835917,True
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,1,sealed_2023_plus,0.20133832515644912,-0.11434184979423956,0.14416740025932934,0.13791125710614938,879,13045,715563.4225736388,5.113906434835917,True
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,1,full,0.11329330137406912,-0.19584814498939884,0.0153692288793697,0.11209750169531757,3351,13045,715563.4225736388,5.113906434835917,True
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,2,heldout_2019_plus,0.13438295228059993,-0.19753363131816848,0.03561613662151569,0.12601563280249786,1856,13046,1298367.211544486,5.076650590536082,True
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,2,sealed_2023_plus,0.18454506934629467,-0.11899981432080475,0.1250451621858923,0.13809792592781084,879,13046,1298367.211544486,5.076650590536082,True
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,2,full,0.10017864000158871,-0.19753363131816848,0.0014118243425044752,0.11219177900932328,3351,13046,1298367.211544486,5.076650590536082,True
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,1,heldout_2019_plus,0.14653977228600312,-0.19814725581340353,0.047466144379301356,0.12728803331886912,1856,13073,715362.1596486438,5.113036057289026,True
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,1,sealed_2023_plus,0.196100271443578,-0.11709649726479887,0.13755202281117856,0.1390247171709919,879,13073,715362.1596486438,5.113036057289026,True
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,1,full,0.11238675457765668,-0.19814725581340353,0.013313126670954911,0.11352252723771936,3351,13073,715362.1596486438,5.113036057289026,True
