date,nav_base,nav_sleeve_fin_only_a10,rel_sleeve_vs_base
2012-12-04,15000000.0,15000000.0,1.0
2012-12-05,15026155.563759875,15026155.563759875,1.0
2012-12-06,15021393.100334002,15021393.100334002,1.0
2012-12-07,15023086.449971627,15023086.449971627,1.0
2012-12-10,14937450.266564503,14938652.404699001,1.0000804781346915
2012-12-11,14957101.425185002,14959417.751414003,1.0001548646467757
2012-12-12,15102572.544046877,15104980.405526377,1.0001594338628388
2012-12-13,15152327.919932626,15153158.281508626,1.0000548009243455
2012-12-14,15127777.618297627,15129408.281508626,1.0001077926482094
2012-12-17,15045227.618297627,15046108.281508626,1.000058534389332
2012-12-18,15072656.209215501,15072014.236787252,0.9999574081423116
2012-12-19,15117179.508054502,15117109.629094502,0.9999953775133805
2012-12-20,14942929.508054502,14945809.629094502,1.0001927413924054
2012-12-21,14754479.508054502,14759459.629094502,1.000337532817561
2012-12-22,14786729.508054502,14790409.629094502,1.0002488799864768
2012-12-24,14801979.508054502,14805909.629094502,1.0002655132063831
2012-12-25,14973129.508054502,14976059.629094502,1.0001956919586132
2012-12-26,14911879.508054502,14914059.629094502,1.000146200285405
2012-12-27,14942829.508054502,14943959.629094502,1.000075629654972
2012-12-28,15057679.508054502,15057759.629094502,1.0000053209420454
2013-01-02,15181429.508054502,15182890.403971128,1.000096229140731
2013-01-03,15212729.508054502,15214790.403971128,1.000135471804421
2013-01-04,15096229.508054502,15098740.403971128,1.0001663260296412
2013-01-07,15045579.508054502,15046040.403971128,1.0000306333110254
2013-01-08,15053029.508054502,15052840.403971128,0.9999874374734153
2013-01-09,15023029.508054502,15023140.403971128,1.0000073817279376
2013-01-10,15224779.508054502,15225490.403971128,1.0000466933472665
2013-01-11,15224829.508054502,15226790.403971128,1.0001287959195595
2013-01-14,15223379.508054502,15225040.403971128,1.0001091016561563
2013-01-15,15159429.508054502,15161590.403971128,1.0001425446726395
2013-01-16,15062529.508054502,15063540.403971128,1.000067113290373
2013-01-17,14969029.508054502,14969590.403971128,1.0000374704262773
2013-01-18,15110329.508054502,15110890.403971128,1.0000371200321163
2013-01-21,15095079.508054502,15094290.403971128,0.9999477244168901
2013-01-22,15166051.675966501,15164840.403971128,0.9999201326738658
2013-01-23,15156351.675966501,15155340.403971128,0.9999332773468844
2013-01-24,15061401.675966501,15060490.403971128,0.9999394962026126
2013-01-25,15010401.675966501,15010640.403971128,1.0000159041716392
2013-01-28,15150701.675966501,15151940.403971128,1.000081760437973
2013-01-29,15258401.675966501,15256690.403971128,0.9998878472312033
2013-01-30,15270701.675966501,15269140.403971128,0.9998977602975618
2013-01-31,15379151.675966501,15378540.403971128,0.9999602532045816
2013-02-01,15411301.675966501,15410190.403971128,0.9999278923987903
2013-02-04,15823051.675966501,15817440.403971128,0.9996453735909935
2013-02-05,15740751.675966501,15737040.403971128,0.9997642252370298
2013-02-06,15819901.675966501,15816690.403971128,0.9997970106223699
2013-02-18,15815751.675966501,15810490.403971128,0.9996673397443785
2013-02-19,15752701.675966501,15748090.403971128,0.9997072710389476
2013-02-20,15961351.675966501,15955440.403971128,0.999629650914573
2013-02-21,15760151.675966501,15756440.403971128,0.9997645154645921
2013-02-22,15748801.675966501,15745290.403971128,0.9997770451322191
2013-02-23,15874401.675966501,15869240.403971128,0.9996748682501094
2013-02-25,15741001.675966501,15736790.403971128,0.9997324648023002
2013-02-26,15681801.675966501,15676940.403971128,0.9996900055174895
2013-02-27,15657501.675966501,15653990.403971128,0.9997757450666116
2013-03-01,15755251.675966501,15751190.403971128,0.9997422274122368
2013-03-04,15526501.675966501,15522740.403971128,0.999757751483633
2013-03-05,15656701.675966501,15652040.403971128,0.9997022826332236
2013-03-06,15644101.675966501,15639690.403971128,0.9997180233108462
2013-03-07,15674201.675966501,15668790.403971128,0.9996547657030808
2013-03-08,15904351.675966501,15898240.403971128,0.9996157484366617
2013-03-11,15879951.675966501,15873690.403971128,0.9996057121505697
2013-03-12,15756701.675966501,15752440.403971128,0.9997295581218071
2013-03-13,15757901.675966501,15752890.403971128,0.9996819835471485
2013-03-14,15725801.675966501,15722040.403971128,0.9997608216056088
2013-03-15,15707951.675966501,15703990.403971128,0.9997478174062991
2013-03-18,15469801.675966501,15468090.403971128,0.9998893798361984
2013-03-19,15451951.675966501,15451340.403971128,0.9999604404667972
2013-03-20,15366201.675966501,15366690.403971128,1.0000318053878852
2013-03-21,15357051.675966501,15358190.403971128,1.0000741501707915
2013-03-22,15291051.675966501,15292690.403971128,1.0001071690842038
2013-03-25,15495701.675966501,15495440.403971128,0.9999831390665078
2013-03-26,15449101.675966501,15448240.403971128,0.9999442509983145
2013-03-27,15558051.675966501,15557290.403971128,0.9999510689377289
2013-03-28,15518301.675966501,15517890.403971128,0.9999734976156566
2013-03-29,15594351.675966501,15593740.403971128,0.9999608017051254
2013-04-01,15541801.675966501,15540340.403971128,0.9999059779537894
2013-04-02,15508501.675966501,15506440.403971128,0.999867087611786
2013-04-03,15555851.675966501,15555340.403971128,0.999967133140247
2013-04-08,15181101.675966501,15182840.403971128,1.000114532399673
2013-04-09,15190951.675966501,15193490.403971128,1.0001671210638268
2013-04-10,15177251.675966501,15181540.403971128,1.0002825760616079
2013-04-11,15243451.675966501,15246940.403971128,1.0002288673247233
2013-04-12,15215751.675966501,15219090.403971128,1.0002194257684884
2013-04-15,15152701.675966501,15155040.403971128,1.000154343961535
2013-04-16,15134951.675966501,15136890.403971128,1.0001280960815822
2013-04-17,14995851.675966501,14998840.403971128,1.0001993036520505
2013-04-18,14996601.675966501,15000190.403971128,1.0002393027488607
2013-04-19,15223101.675966501,15223990.403971128,1.0000583802186667
2013-04-22,15248851.675966501,15249690.403971128,1.0000550026993802
2013-04-23,15270651.675966501,15270890.403971128,1.0000156331248786
2013-04-24,15334151.675966501,15334440.403971128,1.0000188290823468
2013-04-25,15307201.675966501,15307690.403971128,1.00003192797841
2013-04-26,15281051.675966501,15282140.403971128,1.000071246929054
2013-04-29,15292001.675966501,15291090.403971128,0.9999404085864831
2013-04-30,15383051.675966501,15379890.403971128,0.9997944964326999
2013-05-02,15461751.675966501,15458390.403971128,0.9997826072966495
2013-05-03,15523201.675966501,15518190.403971128,0.9996771753598273
2013-05-06,15521651.675966501,15516990.403971128,0.9996996922690521
2013-05-07,15523501.675966501,15520340.403971128,0.9997963557410331
2013-05-08,15613051.675966501,15608640.403971128,0.9997174625379507
2013-05-09,15661501.675966501,15656690.403971128,0.9996927962531998
2013-05-10,15633901.675966501,15629240.403971128,0.9997018484513985
2013-05-13,15557051.675966501,15552840.403971128,0.9997293014072918
2013-05-14,15562051.675966501,15557840.403971128,0.9997293883812327
2013-05-15,15736751.675966501,15725440.403971128,0.9992812193883286
2013-05-16,15974901.675966501,15962840.403971128,0.9992449861514003
2013-05-17,15931201.675966501,15920740.403971128,0.9993433469610046
2013-05-20,15921951.675966501,15912440.403971128,0.999402631524769
2013-05-21,15904251.675966501,15895890.403971128,0.999474274416318
2013-05-22,15926351.675966501,15918390.403971128,0.9995001195404101
2013-05-23,15652001.675966501,15645140.403971128,0.9995616361320796
2013-05-24,15559701.675966501,15552890.403971128,0.9995622491910694
2013-05-27,15710101.675966501,15701840.403971128,0.999474142678019
2013-05-28,15715251.675966501,15705890.403971128,0.9994043193078677
2013-05-29,15811001.675966501,15800690.403971128,0.9993478419516553
2013-05-30,15580801.675966501,15576140.403971128,0.9997008323389057
2013-05-31,15729501.675966501,15723490.403971128,0.9996178345557788
2013-06-03,15509401.675966501,15504440.403971128,0.9996801119669845
