date,nav,cash,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_telecom,pre_0050,tgt_financial,tgt_telecom,tgt_0050
2012-12-04,3000000.0,3000000.0,0.0,0.0,Bull,0.9268350356425072,0.0,0.0,0.0,0.0,0.0,0.0,0.7047230777005714,0.09336595361761713,0.14627966766380315
2012-12-05,3005668.392439536,2399407.5924395355,606260.8,0.2017058174231694,Bull,0.9268350356425072,0.0,0.0,0.0,0.15065111678287343,0.01997425935309919,0.03108044128719674,0.7162123995608702,0.07726041850200242,0.14998890633132977
2012-12-06,3004593.1424331255,1797749.5424331252,1206843.6,0.4016662299317823,Bull,0.9268350356425072,0.0,0.0,0.0,0.30340633715943793,0.03528697396751108,0.06297291880483324,0.7310818931459623,0.06517215242581124,0.1460338712662515
2012-12-07,3005170.174513125,1196189.0745131248,1808981.0999999999,0.60195629363754,Bull,0.9304932838603819,0.0,0.0,0.0,0.4614919686618708,0.0462657326959947,0.09419859227967446,0.7468094673288898,0.05626237216393798,0.14114240196772943
2012-12-10,2985240.3579599666,594001.6579599666,2391238.7,0.8010204919091033,Bull,0.9304932838603819,0.0,0.0,0.0,0.6259356956023902,0.05310476912764756,0.12198002717906552,0.7388736246396461,0.0760527094930033,0.1298807051209682
2012-12-11,2989407.91263114,271456.1126311405,2717951.8,0.9091940208346418,Bull,0.9304932838603819,0.0,0.0,0.0,0.7110275887806783,0.07056541166853757,0.12760102038542603,0.7388736246396461,0.0760527094930033,0.1298807051209682
2012-12-12,3019745.473000828,191158.97300082815,2828586.5,0.9366969916140426,Bull,0.9304932838603819,0.0,0.0,0.0,0.7339058274330897,0.07371058322303145,0.12908058095792138,0.7388736246396461,0.0760527094930033,0.1298807051209682
2012-12-13,3030308.273000828,191158.97300082815,2839149.3,0.9369176480478902,Bull,0.9304932838603819,0.0,0.0,0.0,0.7338100284424074,0.07305038961623148,0.13005722998925143,0.7429763239013786,0.064473702773697,0.13705054593559288
2012-12-14,3026597.1730008284,191158.97300082815,2835438.2,0.9368402988326006,Bull,0.9339686196673628,0.0,0.0,0.0,0.7352622013433008,0.07255167683325524,0.1290264206560445,0.7457512952708452,0.064473702773697,0.13705054593559288
2012-12-17,3009685.273000828,191158.97300082815,2818526.3,0.9364853944312151,Bull,0.9339686196673628,0.0,0.0,0.0,0.7353559257022656,0.07305378471709043,0.12807568401185912,0.7563450785832583,0.06348205711791241,0.1266994300795547
2012-12-18,3014239.8921019896,168343.2921019894,2845896.6,0.9441506654652511,Bull,0.9339686196673628,0.0,0.0,0.0,0.751025608788341,0.06615379237813267,0.1269712642987774,0.7563450785832583,0.06348205711791241,0.1266994300795547
2012-12-19,3023616.2921019895,168343.2921019894,2855273.0,0.9443238573155859,Bull,0.9339686196673628,0.0,0.0,0.0,0.7515880589531319,0.06580372004202996,0.12693207832042408,0.7563450785832583,0.06348205711791241,0.1266994300795547
2012-12-20,2990616.4421019894,168343.2921019894,2822273.15,0.9437095009135751,Bull,0.9339686196673628,0.0,0.0,0.0,0.7512058612307279,0.06572430928716763,0.12677933039567962,0.7563450785832583,0.06348205711791241,0.1266994300795547
2012-12-21,2954844.4421019894,168343.2921019894,2786501.15,0.9430280356883237,Bull,0.9372701886839946,0.0,0.0,0.0,0.7496490909769333,0.06566948067897728,0.12770946403241318,0.7573246422287236,0.05485032803900972,0.13713865083583274
2012-12-22,2960981.1421019896,168343.2921019894,2792637.85,0.9431461113654769,Bull,0.9372701886839946,0.0,0.0,0.0,0.7496981552621919,0.06564111376340043,0.12780684233988446,0.7573246422287236,0.05485032803900972,0.13713865083583274
2012-12-24,2963974.2921019895,168343.2921019894,2795631.0,0.9432035248920448,Bull,0.9372701886839946,0.0,0.0,0.0,0.7505208482838807,0.06560772153731916,0.12707495507084504,0.7573246422287236,0.05485032803900972,0.13713865083583274
2012-12-25,2996775.7921019895,168343.2921019894,2828432.5,0.9438251962173284,Bull,0.9372701886839946,0.0,0.0,0.0,0.7503820959601067,0.06561264960769152,0.12783045064953016,0.7573246422287236,0.05485032803900972,0.13713865083583274
2012-12-26,2984458.3921019896,168343.2921019894,2816115.1,0.9435933526339353,Bull,0.9372701886839946,0.0,0.0,0.0,0.749597985993148,0.06587681051955549,0.1281185561212318,0.7573246422287236,0.05485032803900972,0.13713865083583274
