fill_date,signal_date,code,side,quantity,fill_price,gross,fees_tax
2012-12-05,2012-12-04,2880,BUY,6984,16.358175,114245.4942,97.679897541
2012-12-05,2012-12-04,2886,BUY,5015,22.71135,113897.42025,97.38229431375
2012-12-05,2012-12-04,2892,BUY,6450,17.658824999999997,113899.42124999998,97.38400516874998
2012-12-05,2012-12-04,5880,BUY,7138,15.957974999999998,113908.02554999998,97.39136184524997
2012-12-05,2012-12-04,2412,BUY,202,93.14654999999999,18815.603099999997,16.087340650499996
2012-12-05,2012-12-04,3045,BUY,182,104.55225,19028.5095,16.2693756225
2012-12-05,2012-12-04,4904,BUY,265,71.0355,18824.4075,16.094868412500002
2012-12-05,2012-12-04,0050,BUY,1639,53.326649999999994,87402.37934999999,74.72903434424998
2012-12-06,2012-12-05,2880,BUY,7056,16.50825,116482.212,99.59229126
2012-12-06,2012-12-05,2886,BUY,5095,22.861425,116478.96037500001,99.589511120625
2012-12-06,2012-12-05,2892,BUY,6504,17.908949999999997,116479.81079999998,99.59023823399998
2012-12-06,2012-12-05,5880,BUY,7209,16.158074999999997,116483.56267499998,99.59344608712497
2012-12-06,2012-12-05,2412,BUY,158,93.94695,14843.6181,12.691293475499998
2012-12-06,2012-12-05,3045,BUY,139,107.0535,14880.4365,12.7227732075
2012-12-06,2012-12-05,4904,BUY,206,72.036,14839.416000000001,12.68770068
2012-12-06,2012-12-05,0050,BUY,1687,53.776875,90721.588125,77.566957846875
2012-12-07,2012-12-06,2880,BUY,7298,16.50825,120477.20850000001,103.0080132675
2012-12-07,2012-12-06,2886,BUY,5258,22.91145,120468.40409999999,103.00048550549998
2012-12-07,2012-12-06,2892,BUY,6727,17.908949999999997,120473.50664999998,103.00484818574998
2012-12-07,2012-12-06,5880,BUY,7456,16.158074999999997,120474.60719999997,103.00578915599996
2012-12-07,2012-12-06,2412,BUY,114,94.047,10721.358,9.16676109
2012-12-07,2012-12-06,3045,BUY,100,107.0535,10705.35,9.15307425
2012-12-07,2012-12-06,4904,BUY,150,71.53575,10730.3625,9.174459937499998
2012-12-07,2012-12-06,0050,BUY,1620,53.676824999999994,86956.45649999999,74.34777030749999
2012-12-10,2012-12-07,2880,BUY,7658,16.50825,126420.17850000001,108.08925261750001
2012-12-10,2012-12-07,2886,BUY,5501,22.91145,126035.88644999999,107.76068291474999
2012-12-10,2012-12-07,2892,BUY,7018,17.958975,126036.08654999999,107.76085400024999
2012-12-10,2012-12-07,5880,BUY,7800,16.158074999999997,126032.98499999997,107.75820217499997
2012-12-10,2012-12-07,2412,BUY,65,94.2471,6126.0615,5.2377825824999995
2012-12-10,2012-12-07,3045,BUY,57,107.0535,6102.0495,5.2172523225
2012-12-10,2012-12-07,4904,BUY,85,72.2361,6140.068499999999,5.249758567499999
2012-12-10,2012-12-07,0050,BUY,1460,53.92695,78733.347,67.317011685
2012-12-11,2012-12-10,2880,BUY,5004,16.458225,82356.9579,70.4151990045
2012-12-11,2012-12-10,2886,BUY,3636,22.51125,81850.905,69.98252377499999
2012-12-11,2012-12-10,2892,BUY,4609,17.708849999999998,81620.08965,69.78517665074999
2012-12-11,2012-12-10,5880,BUY,5098,16.058025,81863.81145000001,69.99355878975001
2012-12-11,2012-12-10,2412,BUY,192,94.54724999999999,18153.072,15.52087656
2012-12-11,2012-12-10,3045,BUY,169,108.05399999999999,18261.125999999997,15.613262729999997
2012-12-11,2012-12-10,4904,BUY,247,73.6368,18188.2896,15.550987608
