book,scope,alpha,sleeves,window,mdd_improve_pp,cagr_giveback_pp,score,book_cagr,base_cagr,book_mdd,base_mdd
BASE_E16_E18_E22_v2s,,0.0,,heldout_2019_plus,0.0,0.0,0.0,0.18203522229472702,0.18203522229472702,-0.2254334443782552,-0.2254334443782552
BASE_E16_E18_E22_v2s,,0.0,,sealed_2023_plus,0.0,0.0,0.0,0.2488922261012192,0.2488922261012192,-0.14087148125010163,-0.14087148125010163
BASE_E16_E18_E22_v2s,,0.0,,full,0.0,0.0,0.0,0.13789395672938531,0.13789395672938531,-0.22543344437825508,-0.22543344437825508
BLEND_E45_A05,ALL,0.05,,heldout_2019_plus,0.702410619961702,0.9603207511210909,0.22225024440115648,0.1724320147835161,0.18203522229472702,-0.21840933817863817,-0.2254334443782552
BLEND_E45_A05,ALL,0.05,,sealed_2023_plus,2.7784750941674097,1.4195835045774485,2.0686833418786854,0.2346963910554447,0.2488922261012192,-0.11308673030842753,-0.14087148125010163
BLEND_E45_A05,ALL,0.05,,full,0.7024106199616909,0.42342237927519566,0.490699430324093,0.13365973293663336,0.13789395672938531,-0.21840933817863817,-0.22543344437825508
BLEND_E45_A25,ALL,0.25,,heldout_2019_plus,0.45190621351619553,2.7191223715498314,-0.9076549722587202,0.1548439985792287,0.18203522229472702,-0.22091438224309323,-0.2254334443782552
BLEND_E45_A25,ALL,0.25,,sealed_2023_plus,4.7541009991113885,4.318587910622718,2.5948070438000297,0.20570634699499202,0.2488922261012192,-0.09333047125898775,-0.14087148125010163
BLEND_E45_A25,ALL,0.25,,full,0.45190621351618443,1.3289479376655589,-0.212567755316595,0.12460447735272973,0.13789395672938531,-0.22091438224309323,-0.22543344437825508
CHAL_E45_E3,ALL,1.0,,heldout_2019_plus,1.7098029519699187,5.411064986379199,-0.9957295412196809,0.12792457243093502,0.18203522229472702,-0.208335414858556,-0.2254334443782552
CHAL_E45_E3,ALL,1.0,,sealed_2023_plus,4.5421428079298725,9.033832891226368,0.025226362316688622,0.15855389718895552,0.2488922261012192,-0.0954500531708029,-0.14087148125010163
CHAL_E45_E3,ALL,1.0,,full,1.7098029519699187,2.8752291324421364,0.2721883857488505,0.10914166540496395,0.13789395672938531,-0.2083354148585559,-0.22543344437825508
FIN_ONLY_A05,FIN_ONLY,0.05,['Financial'],heldout_2019_plus,0.6421180471372079,0.7617617615311323,0.26123716637164174,0.1744176046794157,0.18203522229472702,-0.2190122639068831,-0.2254334443782552
FIN_ONLY_A05,FIN_ONLY,0.05,['Financial'],sealed_2023_plus,2.3595688541433346,1.1396887202211659,1.7897244940327517,0.23749533889900754,0.2488922261012192,-0.11727579270866828,-0.14087148125010163
FIN_ONLY_A05,FIN_ONLY,0.05,['Financial'],full,0.6421180471372079,0.33598221150605845,0.47412694138417866,0.13453413461432473,0.13789395672938531,-0.219012263906883,-0.22543344437825508
FIN_ONLY_A25,FIN_ONLY,0.25,['Financial'],heldout_2019_plus,0.4547034012875373,2.456892518751186,-0.7737428580880557,0.15746629710721516,0.18203522229472702,-0.22088641036537981,-0.2254334443782552
FIN_ONLY_A25,FIN_ONLY,0.25,['Financial'],sealed_2023_plus,4.774310931567872,3.8437726527315252,2.852424605202109,0.21045449957390394,0.2488922261012192,-0.09312837193442292,-0.14087148125010163
FIN_ONLY_A25,FIN_ONLY,0.25,['Financial'],full,0.4547034012875151,1.2050962256583642,-0.147844711541667,0.12584299447280167,0.13789395672938531,-0.22088641036537993,-0.22543344437825508
FIN_ONLY_FULL,FIN_ONLY,1.0,['Financial'],heldout_2019_plus,1.6661455467869013,5.141858022958834,-0.9047834646925157,0.13061664206513868,0.18203522229472702,-0.20877198891038617,-0.2254334443782552
FIN_ONLY_FULL,FIN_ONLY,1.0,['Financial'],sealed_2023_plus,4.668803173624225,8.957439064027351,0.19008364161054914,0.1593178354609457,0.2488922261012192,-0.09418344951385937,-0.14087148125010163
FIN_ONLY_FULL,FIN_ONLY,1.0,['Financial'],full,1.6661455467869013,2.6789602444547977,0.3266654245595024,0.11110435428483734,0.13789395672938531,-0.20877198891038606,-0.22543344437825508
FIN_0050_A05,FIN_0050,0.05,"['Financial', '0050']",heldout_2019_plus,0.6596669796110177,0.8521528111249177,0.23359057404855887,0.17351369418347784,0.18203522229472702,-0.218836774582145,-0.2254334443782552
FIN_0050_A05,FIN_0050,0.05,"['Financial', '0050']",sealed_2023_plus,2.581359990388288,1.2725197539510846,1.9451001134127455,0.23616702856170835,0.2488922261012192,-0.11505788134621875,-0.14087148125010163
