feature_set,ridge_lambda,fold,fit_cutoff,validation_rows,daily_ic_observations,mean_rank_ic,positive_ic_rate
TECH2,0.1,2011_2012,2010-12-02,74550,497,0.04700692095735307,0.6378269617706237
TECH2,0.1,2013_2014,2012-11-30,74100,494,0.05307045082135261,0.5708502024291497
TECH2,0.1,2015_2016,2014-12-03,73200,488,0.05586823969140827,0.5942622950819673
TECH2,0.1,2017_2018,2016-12-01,73950,493,0.08556888304837867,0.6551724137931034
TECH2,0.1,MEAN,,295800,,0.06037862362962316,
TECH2,1.0,2011_2012,2010-12-02,74550,497,0.04700682437376485,0.6378269617706237
TECH2,1.0,2013_2014,2012-11-30,74100,494,0.05307035091840403,0.5708502024291497
TECH2,1.0,2015_2016,2014-12-03,73200,488,0.05586823969140827,0.5942622950819673
TECH2,1.0,2017_2018,2016-12-01,73950,493,0.08556825830586469,0.6551724137931034
TECH2,1.0,MEAN,,295800,,0.06037841832236046,
TECH2,10.0,2011_2012,2010-12-02,74550,497,0.04700838071207176,0.6378269617706237
TECH2,10.0,2013_2014,2012-11-30,74100,494,0.053074377406765946,0.5708502024291497
TECH2,10.0,2015_2016,2014-12-03,73200,488,0.05587477831831115,0.5942622950819673
TECH2,10.0,2017_2018,2016-12-01,73950,493,0.08557013776619049,0.6551724137931034
TECH2,10.0,MEAN,,295800,,0.060381918550834836,
FAMILY3,0.1,2011_2012,2010-12-02,74550,497,-0.005540828868431494,0.45875251509054327
FAMILY3,0.1,2013_2014,2012-11-30,74100,494,0.04388739248537759,0.6356275303643725
FAMILY3,0.1,2015_2016,2014-12-03,73200,488,0.013871249566582186,0.5594262295081968
FAMILY3,0.1,2017_2018,2016-12-01,73950,493,0.003679058508634272,0.563894523326572
FAMILY3,0.1,MEAN,,295800,,0.01397421792304064,
FAMILY3,1.0,2011_2012,2010-12-02,74550,497,-0.005539568150526444,0.45875251509054327
FAMILY3,1.0,2013_2014,2012-11-30,74100,494,0.04388947174471453,0.6356275303643725
FAMILY3,1.0,2015_2016,2014-12-03,73200,488,0.013871719079596315,0.5594262295081968
FAMILY3,1.0,2017_2018,2016-12-01,73950,493,0.0036772219432177834,0.563894523326572
FAMILY3,1.0,MEAN,,295800,,0.013974711154250547,
FAMILY3,10.0,2011_2012,2010-12-02,74550,497,-0.005543221986256088,0.45875251509054327
FAMILY3,10.0,2013_2014,2012-11-30,74100,494,0.04389552869736606,0.6356275303643725
FAMILY3,10.0,2015_2016,2014-12-03,73200,488,0.013869955215187345,0.5594262295081968
FAMILY3,10.0,2017_2018,2016-12-01,73950,493,0.003675011255999118,0.563894523326572
FAMILY3,10.0,MEAN,,295800,,0.013974318295574106,
FAMILY4,0.1,2011_2012,2010-12-02,74550,497,0.02317664130400325,0.6317907444668008
FAMILY4,0.1,2013_2014,2012-11-30,74100,494,0.07273142037049445,0.6214574898785425
FAMILY4,0.1,2015_2016,2014-12-03,73200,488,0.050873763983016816,0.6229508196721312
FAMILY4,0.1,2017_2018,2016-12-01,73950,493,0.07932427568163422,0.6754563894523327
FAMILY4,0.1,MEAN,,295800,,0.056526525334787185,
FAMILY4,1.0,2011_2012,2010-12-02,74550,497,0.02317548059994676,0.6317907444668008
FAMILY4,1.0,2013_2014,2012-11-30,74100,494,0.0727286526483719,0.6214574898785425
FAMILY4,1.0,2015_2016,2014-12-03,73200,488,0.05086981716232956,0.6229508196721312
FAMILY4,1.0,2017_2018,2016-12-01,73950,493,0.07932592323834069,0.6754563894523327
FAMILY4,1.0,MEAN,,295800,,0.05652496841224723,
FAMILY4,10.0,2011_2012,2010-12-02,74550,497,0.02318716303996432,0.6317907444668008
FAMILY4,10.0,2013_2014,2012-11-30,74100,494,0.0727326243716975,0.6214574898785425
FAMILY4,10.0,2015_2016,2014-12-03,73200,488,0.05088558031499414,0.6209016393442623
FAMILY4,10.0,2017_2018,2016-12-01,73950,493,0.07932281250548309,0.6754563894523327
FAMILY4,10.0,MEAN,,295800,,0.05653204505803477,
