feature_set,mode,ridge_lambda,fold,fit_cutoff,mean_rank_ic,positive_ic_rate,validation_rows
TECH2,GLOBAL,1.0,2011_2012,2010-12-02,0.04700682437376485,0.6378269617706237,74550
TECH2,GLOBAL,1.0,2013_2014,2012-11-30,0.053069466390799756,0.5708502024291497,74100
TECH2,GLOBAL,1.0,2015_2016,2014-12-03,0.055867976306618036,0.5942622950819673,73200
TECH2,GLOBAL,1.0,2017_2018,2016-12-01,0.0855684897901615,0.6551724137931034,73950
TECH2,GLOBAL,1.0,MEAN,,0.06037818921533604,,295800
TECH2,GLOBAL,10.0,2011_2012,2010-12-02,0.04700838071207176,0.6378269617706237,74550
TECH2,GLOBAL,10.0,2013_2014,2012-11-30,0.05307421215853835,0.5708502024291497,74100
TECH2,GLOBAL,10.0,2015_2016,2014-12-03,0.055875041703101376,0.5942622950819673,73200
TECH2,GLOBAL,10.0,2017_2018,2016-12-01,0.08556965911202791,0.6551724137931034,73950
TECH2,GLOBAL,10.0,MEAN,,0.060381823421434846,,295800
TECH2,BREADTH_REGIME,1.0,2011_2012,2010-12-02,0.1404506870798051,0.744466800804829,74550
TECH2,BREADTH_REGIME,1.0,2013_2014,2012-11-30,0.06918608011952514,0.6781376518218624,74100
TECH2,BREADTH_REGIME,1.0,2015_2016,2014-12-03,0.130625744063364,0.7663934426229508,73200
TECH2,BREADTH_REGIME,1.0,2017_2018,2016-12-01,0.11864254677480066,0.7200811359026369,73950
TECH2,BREADTH_REGIME,1.0,MEAN,,0.11472626450937373,,295800
TECH2,BREADTH_REGIME,10.0,2011_2012,2010-12-02,0.1404090575359214,0.744466800804829,74550
TECH2,BREADTH_REGIME,10.0,2013_2014,2012-11-30,0.06918546447240162,0.6781376518218624,74100
TECH2,BREADTH_REGIME,10.0,2015_2016,2014-12-03,0.1306305207584384,0.7663934426229508,73200
TECH2,BREADTH_REGIME,10.0,2017_2018,2016-12-01,0.11864422236831966,0.7200811359026369,73950
TECH2,BREADTH_REGIME,10.0,MEAN,,0.11471731628377027,,295800
PRICE8,GLOBAL,1.0,2011_2012,2010-12-02,0.03782648612972276,0.5754527162977867,74550
PRICE8,GLOBAL,1.0,2013_2014,2012-11-30,0.05517323774869131,0.6153846153846154,74100
PRICE8,GLOBAL,1.0,2015_2016,2014-12-03,0.059801256803964975,0.6352459016393442,73200
PRICE8,GLOBAL,1.0,2017_2018,2016-12-01,0.10655421214105203,0.7119675456389453,73950
PRICE8,GLOBAL,1.0,MEAN,,0.06483879820585776,,295800
PRICE8,GLOBAL,10.0,2011_2012,2010-12-02,0.03784770988877143,0.5754527162977867,74550
PRICE8,GLOBAL,10.0,2013_2014,2012-11-30,0.05519176012590768,0.6153846153846154,74100
PRICE8,GLOBAL,10.0,2015_2016,2014-12-03,0.059780488242757446,0.6352459016393442,73200
PRICE8,GLOBAL,10.0,2017_2018,2016-12-01,0.10655055405427899,0.7119675456389453,73950
PRICE8,GLOBAL,10.0,MEAN,,0.06484262807792888,,295800
PRICE8,BREADTH_REGIME,1.0,2011_2012,2010-12-02,0.11093023645533762,0.7565392354124748,74550
PRICE8,BREADTH_REGIME,1.0,2013_2014,2012-11-30,0.0703967857082729,0.6781376518218624,74100
PRICE8,BREADTH_REGIME,1.0,2015_2016,2014-12-03,0.13166127638127867,0.7909836065573771,73200
PRICE8,BREADTH_REGIME,1.0,2017_2018,2016-12-01,0.13450595896147827,0.7565922920892495,73950
PRICE8,BREADTH_REGIME,1.0,MEAN,,0.11187356437659186,,295800
PRICE8,BREADTH_REGIME,10.0,2011_2012,2010-12-02,0.11106354931317852,0.7565392354124748,74550
PRICE8,BREADTH_REGIME,10.0,2013_2014,2012-11-30,0.07038439617428338,0.6781376518218624,74100
PRICE8,BREADTH_REGIME,10.0,2015_2016,2014-12-03,0.13159453877577307,0.7909836065573771,73200
PRICE8,BREADTH_REGIME,10.0,2017_2018,2016-12-01,0.13450580129675804,0.7565922920892495,73950
PRICE8,BREADTH_REGIME,10.0,MEAN,,0.11188707138999826,,295800
