family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,is_c1_reference,feature_set,mode,ridge_lambda
C2_exit_minhold,20,42,2.5,NONE,5,0,20000000.0,0,0.09910628889565354,-0.3109218161027131,0.020085462971119534,0.18096177301535452,1343,2.094059541670361,-0.056354619155703,0.7554,0.00009700446608370132,0.6083915923422799,true,true,0.8435894447870205,47,329,80,0,0,0.4467702621882822,0.44456521739130433,20.0,50,true,false,TECH2,BREADTH_REGIME,1.0
C2_exit_minhold,20,42,2.5,NONE,5,2,20000000.0,0,0.09910628889565354,-0.3109218161027131,0.020085462971119534,0.18096177301535452,1343,2.094059541670361,-0.056354619155703,0.7554,0.00009700446608370132,0.6083915923422799,true,true,0.8435894447870205,47,329,80,0,0,0.4467702621882822,0.44456521739130433,20.0,50,true,false,TECH2,BREADTH_REGIME,1.0
C2_exit_minhold,20,42,2.5,NONE,5,1,20000000.0,0,0.09910628889565354,-0.3109218161027131,0.020085462971119534,0.18096177301535452,1343,2.094059541670361,-0.056354619155703,0.7554,0.00009700446608370132,0.6083915923422799,true,true,0.8435894447870205,47,329,80,0,0,0.4467702621882822,0.44456521739130433,20.0,50,true,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,49,2.5,NONE,5,0,20000000.0,0,0.0909174108113715,-0.3102211051237299,0.020784016759199365,0.17633509784638635,1232,1.9750879332500237,-0.06419314175049345,0.7062,0.00007512597096104529,0.4964659956449664,true,true,1.018416821200769,41,321,96,0,0,0.37184703871569263,0.52125,20.0,50,true,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,49,2.5,NONE,5,1,20000000.0,0,0.0909174108113715,-0.3102211051237299,0.020784016759199365,0.17633509784638635,1232,1.9750879332500237,-0.06419314175049345,0.7062,0.00007512597096104529,0.4964659956449664,true,true,1.018416821200769,41,321,96,0,0,0.37184703871569263,0.52125,20.0,50,true,false,TECH2,BREADTH_REGIME,1.0
C2_exit_minhold,20,42,2.25,NONE,5,2,20000000.0,0,0.10364218697635486,-0.30299110177653377,0.02100341788973133,0.19523552978194555,1363,2.162611138854763,-0.04785336391191203,0.7874,0.00011431231025990242,0.702565314729851,true,true,0.8821435513687159,47,345,84,0,0,0.4240636065729093,0.46630434782608704,20.0,45,true,false,TECH2,BREADTH_REGIME,1.0
C2_exit_minhold,20,42,2.25,NONE,5,1,20000000.0,0,0.10364218697635486,-0.30299110177653377,0.02100341788973133,0.19523552978194555,1363,2.162611138854763,-0.04785336391191203,0.7874,0.00011431231025990242,0.702565314729851,true,true,0.8821435513687159,47,345,84,0,0,0.4240636065729093,0.46630434782608704,20.0,45,true,false,TECH2,BREADTH_REGIME,1.0
C2_exit_minhold,20,42,2.25,NONE,5,0,20000000.0,0,0.10364218697635486,-0.30299110177653377,0.02100341788973133,0.19523552978194555,1363,2.162611138854763,-0.04785336391191203,0.7874,0.00011431231025990242,0.702565314729851,true,true,0.8821435513687159,47,345,84,0,0,0.4240636065729093,0.46630434782608704,20.0,45,true,false,TECH2,BREADTH_REGIME,1.0
C2_book_size,25,42,2.0,NONE,5,1,20000000.0,5,0.10476155065790338,-0.3032512496185613,0.02100803215814858,0.19353151407440108,1699,2.179826262663097,-0.04686407415137728,0.803,0.00011639683819548637,0.7800237933438295,true,true,0.8823373506422404,47,413,119,0,31,0.42120316734862245,0.46086956521739114,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0
C2_book_size,25,42,2.0,NONE,5,0,20000000.0,5,0.10476155065790338,-0.3032512496185613,0.02100803215814858,0.19353151407440108,1699,2.179826262663097,-0.04686407415137728,0.803,0.00011639683819548637,0.7800237933438295,true,true,0.8823373506422404,47,413,119,0,31,0.42120316734862245,0.46086956521739114,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0
C2_book_size,25,42,2.0,NONE,5,0,20000000.0,0,0.10596748680933166,-0.3032512496185613,0.021064638557885196,0.19433481853464155,1701,2.1985064423916767,-0.045658137999949,0.8078,0.0001208166744373755,0.8096609821164429,true,true,0.8847148194311782,47,413,119,0,0,0.420259219001476,0.4626086956521738,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0
C2_book_size,25,42,2.0,NONE,5,1,20000000.0,0,0.10596748680933166,-0.3032512496185613,0.021064638557885196,0.19433481853464155,1701,2.1985064423916767,-0.045658137999949,0.8078,0.0001208166744373755,0.8096609821164429,true,true,0.8847148194311782,47,413,119,0,0,0.420259219001476,0.4626086956521738,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0
C2_exit_minhold,20,42,2.0,NONE,5,1,20000000.0,0,0.10038792073507619,-0.3007120488380899,0.02195110039323891,0.20090324349277677,1385,2.113234146378882,-0.049968103683968756,0.7672,0.00010267525858099235,0.6362629315127005,true,true,0.9219462165160343,47,364,87,0,0,0.3976675857714596,0.49021739130434777,20.0,40,true,false,TECH2,BREADTH_REGIME,1.0
C2_exit_minhold,20,42,2.0,NONE,5,2,20000000.0,0,0.10038792073507619,-0.3007120488380899,0.02195110039323891,0.20090324349277677,1385,2.113234146378882,-0.049968103683968756,0.7672,0.00010267525858099235,0.6362629315127005,true,true,0.9219462165160343,47,364,87,0,0,0.3976675857714596,0.49021739130434777,20.0,40,true,false,TECH2,BREADTH_REGIME,1.0
