challenger,cagr,max_drawdown,utility,average_daily_turnover,block_bootstrap_positive_probability,mean_gross_exposure,turnover_gate_pass,bootstrap_gate_pass,s_n_days,s_n_crisis_days,s_crisis_day_share,s_crisis_mean_excess,s_crisis_hit_rate,s_crisis_sum_excess,s_crisis_strategy_compound,s_other_mean_excess,s_all_mean_excess,both_gates_pass,detector,is_baseline,controller,feature_set,stress_day_share,round
BASE::r1,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00003618134362870352,0.47619047619047616,0.008357890378230513,0.024205838101660104,0.00013175980951952393,0.00012055807150796657,true,COMBO_VOL70_VAL03,true,BASE_FULL,TECH2,0.11713995943204868,r1
SLEEVE::QUAL4::r1,0.10262592627789613,-0.3023731520676275,-0.04856064975591762,0.02259237313312977,0.7826,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00016657761789767473,0.47186147186147187,0.038479429734362865,0.054737472947031574,0.00010396974357886177,0.00011130734833159932,true,COMBO_VOL70_VAL03,false,SLEEVE,QUAL4,0.11713995943204868,r1
SLEEVE_FREEZE::QUAL4::r1,0.10436926740564134,-0.3023731520676275,-0.046817308628172405,0.01927072563991813,0.7846,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.0001583560537857341,0.47619047619047616,0.03658024842450458,0.05524780797426687,0.00010918161950363972,0.00011494483326272839,true,COMBO_VOL70_VAL03,false,SLEEVE_FREEZE,QUAL4,0.11713995943204868,r1
SLEEVE::VALUE3::r1,0.11051870405771558,-0.3023731520676275,-0.04066787197609817,0.022362152596774477,0.8322,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00022076473822663293,0.49783549783549785,0.05099665453035221,0.06903483434520452,0.00012725394249476308,0.0001382133508225469,true,COMBO_VOL70_VAL03,false,SLEEVE,VALUE3,0.11713995943204868,r1
SLEEVE_FREEZE::VALUE3::r1,0.10436926740564134,-0.3023731520676275,-0.046817308628172405,0.01927072563991813,0.7846,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.0001583560537857341,0.47619047619047616,0.03658024842450458,0.05524780797426687,0.00010918161950363972,0.00011494483326272839,true,COMBO_VOL70_VAL03,false,SLEEVE_FREEZE,VALUE3,0.11713995943204868,r1
SLEEVE::REV3::r1,0.0801175475330198,-0.3023731520676275,-0.07106902850079394,0.024762360504881585,0.6156,0.9994929006085193,true,false,1971,231,0.1171993911719939,-0.000019732950908974185,0.4935064935064935,-0.004558311659973037,0.006611304858342715,0.00004239725965864243,0.00003511563680672995,false,COMBO_VOL70_VAL03,false,SLEEVE,REV3,0.11713995943204868,r1
SLEEVE_FREEZE::REV3::r1,0.10436926740564134,-0.3023731520676275,-0.046817308628172405,0.01927072563991813,0.7846,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.0001583560537857341,0.47619047619047616,0.03658024842450458,0.05524780797426687,0.00010918161950363972,0.00011494483326272839,true,COMBO_VOL70_VAL03,false,SLEEVE_FREEZE,REV3,0.11713995943204868,r1
SLEEVE::DEF3::r1,0.10413525726342288,-0.3023731520676275,-0.04705131877039087,0.021410210544798802,0.7878,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.000057521993498343076,0.4675324675324675,0.01328758049811725,0.029709143047498943,0.00012214219857556064,0.00011456874988310138,true,COMBO_VOL70_VAL03,false,SLEEVE,DEF3,0.11713995943204868,r1
SLEEVE_FREEZE::DEF3::r1,0.10436926740564134,-0.3023731520676275,-0.046817308628172405,0.01927072563991813,0.7846,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.0001583560537857341,0.47619047619047616,0.03658024842450458,0.05524780797426687,0.00010918161950363972,0.00011494483326272839,true,COMBO_VOL70_VAL03,false,SLEEVE_FREEZE,DEF3,0.11713995943204868,r1
SLEEVE::QUAL_VALUE::r1,0.10578455912574514,-0.3023731520676275,-0.04540201690806861,0.023027408195028166,0.8058,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.0002515871537282038,0.48484848484848486,0.05811663251121508,0.07599970122328759,0.00010516824988716767,0.0001223284562734078,true,COMBO_VOL70_VAL03,false,SLEEVE,QUAL_VALUE,0.11713995943204868,r1
