challenger,cagr,max_drawdown,utility,average_daily_turnover,block_bootstrap_positive_probability,mean_gross_exposure,turnover_gate_pass,bootstrap_gate_pass,s_n_days,s_n_crisis_days,s_crisis_day_share,s_crisis_mean_excess,s_crisis_hit_rate,s_crisis_sum_excess,s_crisis_strategy_compound,s_other_mean_excess,s_all_mean_excess,both_gates_pass,track,controller,feature_set
BASE_C4,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00003618134362870352,0.47619047619047616,0.008357890378230513,0.024205838101660104,0.00013175980951952393,0.00012055807150796657,true,BASE,BASE_FULL,
A_EXIT_ONLY,0.09825160052520965,-0.3023731520676275,-0.0529349755086041,0.018558995122234103,0.7042,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00016285491705460297,0.5021645021645021,0.03761948583961329,0.05606194731109171,0.00007944502585887129,0.00008922061432473324,true,A,EXIT_ONLY,TECH2
A_SOFT_GAP,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00003618134362870352,0.47619047619047616,0.008357890378230513,0.024205838101660104,0.00013175980951952393,0.00012055807150796657,true,A,SOFT_GAP,TECH2
A_HALF_ADD,0.10589574776582156,-0.3023731520676275,-0.04529082826799219,0.01978836916531585,0.8026,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00006045662604395122,0.48917748917748916,0.013965480616152732,0.030877494380626036,0.00012844716322147321,0.00012047871365881074,true,A,HALF_ADD,TECH2
A_FULL_FREEZE,0.09651866843544532,-0.3023731520676275,-0.054667907598368426,0.018386679306707922,0.6902,0.9994929006085193,true,false,1971,231,0.1171993911719939,0.0001664097547619005,0.47619047619047616,0.038440653349999014,0.05718924724928853,0.00007147657231891141,0.00008260268350324953,false,A,FULL_FREEZE,TECH2
DUAL_85_15_CASH,0.0911065361873411,-0.2607449580081609,-0.03926594281673934,0.017135629668285492,0.6508,1.0,true,false,1971,231,0.1171993911719939,-6.84939327883703e-6,0.4329004329004329,-0.001582209847411354,0.018863876488066866,0.00005507341532118562,0.00004781609985360309,false,B,DUAL_85_15_CASH,DUAL
DUAL_90_10_CASH,0.09589009462738196,-0.2747770568775627,-0.04149843381139939,0.018158143436647428,0.7094,1.0,true,true,1971,231,0.1171993911719939,3.223962057515943e-7,0.44155844155844154,0.00007447352352861827,0.019871093674792784,0.00008063554672063188,0.00007122289437718314,true,B,DUAL_90_10_CASH,DUAL
DUAL_85_15_DEF,0.08999808160924672,-0.31909449095008435,-0.06954916386579546,0.017135629668285492,0.7004,1.0,true,true,1971,231,0.1171993911719939,-0.000010451301766410461,0.4675324675324675,-0.0024142507080408167,0.012011091861243939,0.00007655033927409283,0.00006635379991318145,true,B,DUAL_85_15_DEF,DUAL
DUAL_80_20_SLEEVE,0.10346331206615389,-0.3023731520676274,-0.0477232639676598,0.016360220293790965,0.7918,1.0,true,true,1971,231,0.1171993911719939,0.00004082979928353025,0.47619047619047616,0.009431683634495487,0.025486453391545982,0.00012242174330363235,0.00011285921713993692,true,B,DUAL_80_20_SLEEVE,DUAL
C_SW2_C4,0.08419005242813515,-0.3023731520676275,-0.06699652360567859,0.020069082736290673,0.6314,0.9994929006085193,true,false,1971,231,0.1171993911719939,6.936178200071192e-6,0.4675324675324675,0.0016022571642164453,0.01741526622596523,0.000046312610537610296,0.000041697716641125454,false,C,SW2_C4,TECH2_STRESSW
C_SW2_EXIT,0.08892484621240682,-0.3023731520676275,-0.06226172982140693,0.01900093435950797,0.6678,0.9994929006085193,true,false,1971,231,0.1171993911719939,0.00015594233154373643,0.5064935064935064,0.036022678586603116,0.05448008198941112,0.00004491822117705298,0.00005793017931744049,false,C,SW2_EXIT_ONLY,TECH2_STRESSW
C_SW3_C4,0.08032278822854,-0.3023731520676275,-0.07086378780527375,0.01956116597159791,0.5882,0.9994929006085193,true,false,1971,231,0.1171993911719939,0.00005482031644477568,0.47186147186147187,0.012663493098743182,0.028995610996323418,0.00002043309405075491,0.000024463255579430052,false,C,SW3_C4,TECH2_STRESSW
C_SW3_EXIT,0.0859733215737366,-0.3023731520676275,-0.06521325446007714,0.018574296950501064,0.6318,0.9994929006085193,true,false,1971,231,0.1171993911719939,0.00019759232741018882,0.5021645021645021,0.04564382763175362,0.06478777636362221,0.000023637154556206925,0.00004402459490591248,false,C,SW3_EXIT_ONLY,TECH2_STRESSW
C_SW5_C4,0.08263536434465468,-0.3023731520676275,-0.06855121168915906,0.018478347459375613,0.6024,0.9994929006085193,true,false,1971,231,0.1171993911719939,0.00016637826534843497,0.4805194805194805,0.03843337929548848,0.05564495938052283,0.00001320342283890893,0.000031155421123891403,false,C,SW5_C4,TECH2_STRESSW
C_SW5_EXIT,0.09007556458010924,-0.3023731520676275,-0.06111101145370451,0.017490364996432754,0.6684,0.9994929006085193,true,false,1971,231,0.1171993911719939,0.0003039653384688233,0.5021645021645021,0.07021599318629818,0.09111909625969083,0.000024674132602887354,0.000057406891890067,false,C,SW5_EXIT_ONLY,TECH2_STRESSW
D_LIQ_VEL_FULL,0.0043350659782406264,-0.3692236312297008,-0.18027674963660978,0.02765218549290579,0.0304,0.9994929006085193,false,false,1971,231,0.1171993911719939,-0.00040439811376985165,0.47619047619047616,-0.09341596428083573,-0.08411207582967462,-0.00022352211678476546,-0.0002447206735090449,false,D,FULL,LIQ_VEL
D_LIQ_VEL_SLEEVE,0.08574347453731512,-0.3023731520676275,-0.06544310149649862,0.023728402239711784,0.6532,0.9994929006085193,true,false,1971,231,0.1171993911719939,0.0000856181789063565,0.47186147186147187,0.019777799327368353,0.0336592461994647,0.00004737534901269344,0.000051857385392924884,false,D,SLEEVE,LIQ_VEL
D_LIQ_VEL_RESID,0.08703300126832714,-0.3023731520676275,-0.06415357476548661,0.023397911976369732,0.662,0.9994929006085193,true,false,1971,231,0.1171993911719939,0.00010697400443287138,0.48917748917748916,0.02471099502399329,0.03901264941779403,0.000049329459687922935,0.00005608536523641767,false,D,RESID_SLEEVE,LIQ_VEL
D_REV_IND_FULL,0.029121565496800672,-0.3682567516749211,-0.15500681034065988,0.02235571240924166,0.2652,0.9994929006085193,true,false,1971,231,0.1171993911719939,-0.000512347922752057,0.46320346320346323,-0.11835237015572515,-0.1155381020521572,-0.00005783263694244778,-0.0001111015517176988,false,D,FULL,REV_IND
D_REV_IND_SLEEVE,0.09190947439251396,-0.3023731520676275,-0.05927710164129979,0.024181491851919493,0.7154,0.9994929006085193,true,true,1971,231,0.1171993911719939,-0.000028057443385857637,0.48917748917748916,-0.0064812694221331145,0.003343337491486187,0.00009308497720626626,0.00007888715926776767,true,D,SLEEVE,REV_IND
D_REV_IND_RESID,0.08382466450814374,-0.3023731520676275,-0.06736191152567,0.024983124696345154,0.6516,0.9994929006085193,true,false,1971,231,0.1171993911719939,-0.000018548725734616675,0.48917748917748916,-0.004284755644696452,0.004637631095019357,0.00006215969737410081,0.000052700719323307455,false,D,RESID_SLEEVE,REV_IND
D_MICRO_FULL,0.03119376218523895,-0.43534438520489915,-0.18647843041721063,0.02218947459747521,0.213,0.9994929006085193,true,false,1971,231,0.1171993911719939,-0.0001730191097015073,0.47186147186147187,-0.03996741434104818,-0.029595891068079916,-0.00013178917482647076,-0.00013662129809188607,false,D,FULL,MICRO
