i,utility,s_crisis_mean_excess,boot
0,0.05197334118846936,0.00027163967398034864,0.453
1,0.04836222571482035,-0.00036884437123681143,0.4208
2,0.06189717361854996,-0.0007178701327575778,0.5012
3,0.037282191374536366,-0.0008602662927316359,0.3766
4,0.04354800581572538,-0.0006238442316770565,0.403
5,0.0336498434625947,-0.0008321591902877062,0.4106
6,0.026733291112902458,-0.0016009783251816428,0.3864
7,0.041424512938116,0.0018853237782221232,0.4364
8,0.04249507123212992,-0.0005311673761132447,0.4022
9,0.031116721524006574,-0.002295627466072689,0.3572
10,0.04169553571305318,-0.0010683341650327574,0.4426
11,0.04599620659566789,-0.0004077082375057344,0.4356
12,0.04836222571482035,0.0011885231255074008,0.4208
13,0.04919455974168935,-0.0007792625599467431,0.4386
14,0.050960291252381995,0.00003471854548422668,0.461
