feature_set,base_feature_set,mode,ridge_lambda,is_baseline,n_features,features,n_days,mean_rank_ic,p50_rank_ic,average_daily_turnover,block_bootstrap_positive_probability,cagr,max_drawdown,utility,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,both_gates_pass
TECH2,TECH2,BREADTH_REGIME,1.0,true,2,"momentum_family_score,defensive_family_score",1972,0.1147150373836749,0.11652350462114441,0.020450275367238705,0.8066,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.00012055807150796657,0.7734100331411837,true,true,true
TECH2_VALUE,TECH2_VALUE,BREADTH_REGIME,1.0,false,4,"momentum_family_score,defensive_family_score,pct_book_to_price_proxy,pct_earnings_yield_proxy",1972,0.11339251528663369,0.1180962797595999,0.019231242737169498,0.7078,0.09417370470574982,-0.3023731520676275,-0.05701287132806393,0.00007764304426990301,0.5091645012568559,true,true,true
DEF3,DEF3,BREADTH_REGIME,1.0,false,3,"pct_vol_60d,pct_downside_vol_60d,pct_drawdown_63d",1972,0.10838722724696545,0.11058060434235883,0.0187007043388942,0.684,0.09227935428990741,-0.28501312351802066,-0.05022720746910292,0.00005942321301177654,0.4376119111345267,true,false,false
TECH2_QUAL,TECH2_QUAL,BREADTH_REGIME,1.0,false,4,"momentum_family_score,defensive_family_score,pct_roa_ttm,pct_cfo_to_assets",1972,0.1048339764704715,0.10422298480395095,0.018917011287800375,0.5368,0.07474541698468018,-0.3023731520676275,-0.07644115904913357,5.422303370218063e-6,0.03532247739188913,true,false,false
TECH2_REV,TECH2_REV,BREADTH_REGIME,1.0,false,4,"momentum_family_score,defensive_family_score,pct_monthly_revenue_yoy,pct_revenue_yoy_acceleration",1972,0.11392716091124616,0.10871238721720966,0.02247893162640238,0.5044,0.06803673326509196,-0.30776258015456137,-0.08584455681218872,-7.583438955750874e-6,-0.05168699188979217,true,false,false
TECH2_GLOBAL,TECH2,GLOBAL,1.0,false,2,"momentum_family_score,defensive_family_score",1972,0.0603587961536488,0.05452686786079382,0.006007404744462465,0.146,0.03649052156940691,-0.2656404483354009,-0.09632970259829354,-0.0001661701777379527,-1.0166318091374364,true,false,false
QUAL4,QUAL4,BREADTH_REGIME,1.0,false,4,"pct_roa_ttm,pct_roe_ttm,pct_cfo_to_assets,pct_accruals_to_assets",981,0.03561742245602197,0.0320919607455523,0.011702618449634336,0.0304,-0.007571953501221196,-0.3513859689986578,-0.1832649380005501,-0.00029271207589924055,-1.99216175643225,true,false,false
MOM_REV,MOM_REV,BREADTH_REGIME,1.0,false,4,"pct_mom_12_1,pct_mom_63d,pct_monthly_revenue_yoy,pct_revenue_yoy_acceleration",1972,0.04881618065016136,0.0428998300459965,0.024001241816119942,0.0134,-0.04182109607480189,-0.43012535085280534,-0.25688377150120456,-0.0004037922756858651,-2.279466935299973,true,false,false
QUAL_VALUE,QUAL_VALUE,BREADTH_REGIME,1.0,false,4,"pct_roa_ttm,pct_cfo_to_assets,pct_book_to_price_proxy,pct_earnings_yield_proxy",981,0.05066697122869745,0.050698395336856814,0.012961236199737693,0.011,-0.0244334645549098,-0.3513859689986578,-0.2001264490542387,-0.00036132197910018396,-2.4448206569787665,true,false,false
REV3,REV3,BREADTH_REGIME,1.0,false,3,"pct_monthly_revenue_yoy,pct_revenue_3m_yoy,pct_revenue_yoy_acceleration",1972,0.03163056112096297,0.03379555607876867,0.02316320035078932,0.0088,-0.04693217166414543,-0.43090373219076195,-0.2623840377595264,-0.00042166291043674076,-2.381158869207362,true,false,false
VALUE3,VALUE3,BREADTH_REGIME,1.0,false,3,"pct_book_to_price_proxy,pct_earnings_yield_proxy,pct_sales_yield_proxy",981,0.058010276426451415,0.05679895817099622,0.013590062190356874,0.0076,-0.019134619153741705,-0.3842638865330277,-0.21126656242025554,-0.0003432966775998287,-2.487332907037381,true,false,false
REV_QUAL,REV_QUAL,BREADTH_REGIME,1.0,false,4,"pct_monthly_revenue_yoy,pct_revenue_yoy_acceleration,pct_roa_ttm,pct_cfo_to_assets",1972,0.02784733646874921,0.030752136878694887,0.02213468552039134,0.0022,-0.05210778017708362,-0.45285625983304334,-0.2785359100936053,-0.0004514218648713186,-2.737578999270836,true,false,false
GROW3,GROW3,BREADTH_REGIME,1.0,false,3,"pct_revenue_growth_yoy,pct_net_income_growth_yoy,pct_asset_growth_yoy",1972,0.015943883075054188,0.01956030701264444,0.018125838565868232,0.002,-0.037148112398262656,-0.5048031863229234,-0.28954970555972437,-0.0003963791033069309,-2.7791250040141455,true,false,false
MOM_VALUE,MOM_VALUE,BREADTH_REGIME,1.0,false,4,"pct_mom_12_1,pct_mom_63d,pct_book_to_price_proxy,pct_earnings_yield_proxy",1972,0.03207931723633297,0.04392376926211576,0.017987749885075486,0.0018,-0.07302512808270967,-0.6105060334155783,-0.3782781447904988,-0.0005319169855832646,-2.9307350216198187,true,false,false
MOM3,MOM3,BREADTH_REGIME,1.0,false,3,"pct_mom_12_1,pct_mom_63d,pct_mom_126d",1972,0.01913021254457978,0.01620160896039824,0.024354996065901045,0.0016,-0.08578112309903141,-0.5638476329734246,-0.3677049395857437,-0.0005714597058140798,-3.2015896994885886,true,false,false
MOM_QUAL,MOM_QUAL,BREADTH_REGIME,1.0,false,4,"pct_mom_12_1,pct_mom_63d,pct_roa_ttm,pct_cfo_to_assets",1972,0.00484711586223946,0.010864302187408612,0.017794068181439762,0.0012,-0.09420725058816004,-0.6058503137038198,-0.39713240744006995,-0.0006085422348546987,-3.0092207778703512,true,false,false
