id,source,family,param,hold_thru,stress,label,tip_live_ytd,tip_live_1y,tip_live_clean,tip_bh_ytd,tip_bh_1y,tip_bh_clean,heldout_score_vs_live,heldout_score_vs_bh,mdd_improve_pp_vs_live,mdd_improve_pp_vs_bh,coexist_live,beat_live,beat_bh,full_cagr,full_mdd,heldout_cagr,heldout_mdd,sealed_cagr,sealed_mdd,n_fills,active_frac
LIVE_STACK,LIVE,LIVE_STACK,,0,False,BASELINE,PASS,PASS,True,PAUSE_REVIEW,PAUSE_REVIEW,False,0.0,50.21555317280115,0.0,54.73487817058648,False,False,False,0.13849076454881026,-0.21720270077643722,0.18068587296337357,-0.21720270077643733,0.24856495256732214,-0.12807794587413646,5751,0.0
BUY_HOLD_0050,BH,BUY_HOLD_0050,,0,False,BASELINE,PASS,PASS,True,PASS,PASS,True,-59.2542031683718,0.0,-54.73487817058648,0.0,False,False,False,0.08694512136333366,-0.7645514824823021,0.0902993730076671,-0.7645514824823021,0.028064042259970945,-0.7645514824823021,26,1.0
MONTH_PROXY_W10_CAL_OVER_BH,MONTH_PROXY,CAL_OVER_BH,10.0,0,False,NO_LIFT,PASS,PASS,True,PASS,PASS,True,-59.2542031683718,0.0,-54.73487817058648,0.0,False,False,False,0.08694512136333366,-0.7645514824823021,0.0902993730076671,-0.7645514824823021,0.028064042259970945,-0.7645514824823021,26,1.0
MONTH_PROXY_W15_CAL_OVER_BH,MONTH_PROXY,CAL_OVER_BH,15.0,0,False,NO_LIFT,PASS,PASS,True,PASS,PASS,True,-59.2542031683718,0.0,-54.73487817058648,0.0,False,False,False,0.08694512136333366,-0.7645514824823021,0.0902993730076671,-0.7645514824823021,0.028064042259970945,-0.7645514824823021,26,1.0
EXACT_EX_N10_CAL_OVER_BH,EXACT_EX,CAL_OVER_BH,10.0,0,False,NO_LIFT,PASS,PASS,True,PASS,PASS,True,-59.2542031683718,0.0,-54.73487817058648,0.0,False,False,False,0.08694512136333366,-0.7645514824823021,0.0902993730076671,-0.7645514824823021,0.028064042259970945,-0.7645514824823021,26,1.0
EXACT_EX_N20_CAL_OVER_BH,EXACT_EX,CAL_OVER_BH,20.0,0,False,NO_LIFT,PASS,PASS,True,PASS,PASS,True,-59.2542031683718,0.0,-54.73487817058648,0.0,False,False,False,0.08694512136333366,-0.7645514824823021,0.0902993730076671,-0.7645514824823021,0.028064042259970945,-0.7645514824823021,26,1.0
EXACT_EX_N40_CAL_OVER_BH,EXACT_EX,CAL_OVER_BH,40.0,0,False,NO_LIFT,PASS,PASS,True,PASS,PASS,True,-59.2542031683718,0.0,-54.73487817058648,0.0,False,False,False,0.08694512136333366,-0.7645514824823021,0.0902993730076671,-0.7645514824823021,0.028064042259970945,-0.7645514824823021,26,1.0
MONTH_PROXY_W10_CAL_LONG_0050,MONTH_PROXY,CAL_LONG_0050,10.0,0,False,NO_LIFT,PAUSE_REVIEW,PAUSE_REVIEW,False,PAUSE_REVIEW,PAUSE_REVIEW,False,6.028280347665216,65.28248351603702,13.258270505504377,67.99314867609085,False,False,False,0.027466844580877448,-0.08461999572139356,0.03608606980659035,-0.08461999572139356,0.031021974678120845,-0.08461999572139367,304,0.07208206265594677
EXACT_EX_N10_CAL_LONG_0050,EXACT_EX,CAL_LONG_0050,10.0,0,False,NO_LIFT,PAUSE_REVIEW,PAUSE_REVIEW,False,PAUSE_REVIEW,PAUSE_REVIEW,False,3.551996981261107,62.8062001496329,11.27653155532573,66.0114097259122,False,False,False,0.022383935356771634,-0.10443738522318013,0.02619518148208111,-0.10443738522318002,0.03297141699152961,-0.09939755019388108,291,0.06930967563071805
EXACT_EX_N20_CAL_LONG_0050,EXACT_EX,CAL_LONG_0050,20.0,0,False,NO_LIFT,PAUSE_REVIEW,PAUSE_REVIEW,False,PAUSE_REVIEW,PAUSE_REVIEW,False,2.7062348248782175,61.96043799325001,8.083069143793853,62.817947314380326,False,False,False,0.06091266207294699,-0.1363720093384988,0.07314918658506087,-0.1363720093384988,0.08342192239659685,-0.09174892899294917,289,0.1386193512614361
EXACT_EX_N20_HOLD_THRU_T5_CAL_LONG_0050,EXACT_EX,CAL_LONG_0050,20.0,5,True,NO_LIFT,PAUSE_REVIEW,PAUSE_REVIEW,False,PAUSE_REVIEW,PAUSE_REVIEW,False,1.8956126161873925,61.149815784559195,6.911817802829601,61.64669597341608,False,False,False,0.06522365255994966,-0.14808452274814132,0.0803617692305294,-0.14808452274814132,0.0721831255635621,-0.14808452274814143,314,0.18186858885500415
MONTH_PROXY_W15_CAL_LONG_0050,MONTH_PROXY,CAL_LONG_0050,15.0,0,False,NO_LIFT,PAUSE_REVIEW,PAUSE_REVIEW,False,PAUSE_REVIEW,PAUSE_REVIEW,False,1.3071896103424416,60.561392778714236,8.312376894130647,63.04725506471712,False,False,False,0.034822377666997806,-0.13407893183513087,0.04058212728760946,-0.13407893183513087,0.027898060126968716,-0.13407893183513098,319,0.10756861657887441
EXACT_EX_N40_CAL_LONG_0050,EXACT_EX,CAL_LONG_0050,40.0,0,False,NO_LIFT,PAUSE_REVIEW,PAUSE_REVIEW,False,PAUSE_REVIEW,PAUSE_REVIEW,False,-63.632101377299094,-4.377898208927294,-52.728504989276225,2.0063731813102503,False,False,False,0.0011121583676998448,-0.7444877506691996,-0.03738605479708379,-0.7444877506691996,-0.18230022916368682,-0.7444877506691996,290,0.2772387025228722
