bucket,horizon,train_n,train_med,test_n,test_med,all_med
01-H1,20,78,0.0266975458599209,69,0.010333863275039601,0.02055674518201278
01-H1,40,78,0.03839288602202218,69,0.013953488372093092,0.023954703832752555
01-H1,60,78,0.03325485200187728,69,0.016157205240174832,0.02076124567474058
01-H2,20,77,0.030769230769230882,55,0.016920473773265554,0.023131871911017732
01-H2,40,77,0.03840970350404316,55,0.04105310129406514,0.03962087640533429
01-H2,60,77,0.03988603988603989,55,0.03748326639892907,0.039859162500671896
02-H1,20,61,0.011118378024852715,54,0.0008321970204251405,0.00408997955010193
02-H1,40,61,0.02382573179033365,54,0.01087229763700348,0.013614703880190593
02-H1,60,61,0.04164037854889591,54,-0.002615602199339595,0.01620947630922709
02-H2,20,59,0.008547008547008517,54,0.007774787090119695,0.007986548970155383
02-H2,40,59,0.00745762711864395,54,0.0029522796668807194,0.005032021957914079
02-H2,60,59,0.03339755940912004,54,0.017317619387112848,0.028636021100226117
03-H1,20,86,0.01100178138189234,73,0.006052745352356226,0.009744779582366636
03-H1,40,86,0.018277077151335197,73,0.013235965312642373,0.015151515151515138
03-H1,60,86,0.04006802721088443,73,0.02859412231930092,0.037280701754385914
03-H2,20,90,0.007991346406934441,81,0.023466666666666525,0.010803511141121103
03-H2,40,90,0.02538534148593352,81,0.006865912762520132,0.01967213114754096
03-H2,60,90,0.03520792668004702,81,0.03386198028289744,0.03486924034869232
04-H1,20,70,0.013804409690430841,61,0.016604177825388255,0.01394422310756993
04-H1,40,70,0.03250278102426174,61,0.016413130504403517,0.0318268618714197
04-H1,60,70,0.04627462425356488,61,0.0627002288329519,0.0530152418820411
04-H2,20,86,0.020140530574618398,74,0.025434993560043195,0.021379585633764853
04-H2,40,86,0.027556200145032572,74,0.0512704279775158,0.039007771537065916
04-H2,60,86,0.0533630353549871,74,0.08929258630447101,0.07190412782956057
05-H1,20,79,0.00994694960212228,69,0.017746228926353025,0.016428982600783626
05-H1,40,79,0.026925148088314588,69,0.05049396267837536,0.03562730542153503
05-H1,60,79,0.04981549815498165,69,0.06193490054249562,0.053384845584404594
05-H2,20,91,0.00981675392670156,75,0.014949279231179835,0.013437034604341092
05-H2,40,91,0.04797843665768187,75,0.04420485175202149,0.04530786922075647
05-H2,60,91,-0.00913242009132409,75,0.001325673884224443,0.0006628369421121105
06-H1,20,82,0.012242166510885832,69,0.012942191544434767,0.012698412698412653
06-H1,40,82,0.0331950842503177,69,0.0337909186906018,0.033240997229917246
06-H1,60,82,-0.01825137261897669,68,-0.009628496616804483,-0.014812784539455337
06-H2,20,82,0.035844823948468774,69,0.03175257731958747,0.03245856353591159
06-H2,40,82,-0.008948085268125905,69,0.0005260389268806342,-0.00577427821522325
06-H2,60,82,-0.014664512645532313,59,-0.01327800829875514,-0.014165559982292963
07-H1,20,83,0.013586956521739246,75,0.02598457166057644,0.02154192604274885
07-H1,40,83,-0.04037685060565277,74,-0.027373566189847043,-0.03217158176943724
07-H1,60,83,-0.034337771548703655,65,-0.029843893480257067,-0.03144037164722141
07-H2,20,92,-0.058946488294314314,78,-0.04671567463473908,-0.05391432552412434
07-H2,40,92,-0.045644921713297926,66,-0.0416405073715479,-0.04488640755780776
07-H2,60,92,-0.049379093931211815,66,-0.06091808480662575,-0.0522156039150673
08-H1,20,85,-0.04191616766467077,70,-0.01707772810901942,-0.0326797385620915
08-H1,40,85,-0.03664596273291931,63,-0.04022754977651377,-0.036714502563467144
08-H1,60,85,-0.04764890282131662,63,-0.046691027202598545,-0.04716996501195758
08-H2,20,90,0.012675464653520208,68,0.0037273186529165336,0.00955007975461264
08-H2,40,90,-0.004748575907798647,68,-0.005023445656006931,-0.004748575907798647
08-H2,60,90,-0.0003019323671497598,68,0.00564072401624105,0.0024957664578949545
09-H1,20,83,0.0006570302233901426,64,-0.006307893168039591,-0.0016120365394951541
09-H1,40,83,-0.0026281208935609035,64,-0.0014917314828518657,-0.0025542784163473664
09-H1,60,83,0.0019815059445176253,64,0.01385681125357796,0.006854009595613331
09-H2,20,77,-0.005327650506126824,60,-0.016541102005615205,-0.011796733212341093
09-H2,40,77,-0.007885304659498216,60,0.004675333710380647,-0.0046179680940384715
09-H2,60,77,-0.005283018867924705,60,0.013116426512968293,0.005948446794447948
10-H1,20,75,-0.004415011037527505,52,0.001427569227510972,-0.001784121320249854
10-H1,40,75,-0.004095563139931757,52,0.03038558850892925,0.010376134889753752
10-H1,60,75,0.0013054830287206887,52,0.02957048604057555,0.01453957996768973
10-H2,20,94,0.004084188215614071,66,0.03683372472650226,0.01403227768541404
10-H2,40,94,-1.1102230246251565e-16,66,0.03935148328800575,0.024937561333091884
10-H2,60,94,0.03385422406382932,66,0.028815475412375946,0.029066426050874172
11-H1,20,86,0.0013106840937834319,64,0.02697319521883712,0.011761968898565844
11-H1,40,86,0.014594372674972766,64,0.030656101982340034,0.023660756725687793
11-H1,60,86,0.02712840648031245,64,0.024337972848704092,0.025916116322521887
11-H2,20,85,0.0026229508196720097,64,0.004989882638607779,0.0026229508196720097
11-H2,40,85,0.021527777777778034,64,0.0073927299469792596,0.019990480723464987
11-H2,60,85,0.029749478079331926,64,0.019255435727890347,0.028169014084507227
12-H1,20,95,0.007827788649706457,65,0.010043668122270866,0.007965211002773587
12-H1,40,95,0.03065395095367851,65,0.004880032533550072,0.02258093381182469
12-H1,60,95,0.035810810810810834,65,0.012105490704712452,0.026972490803504834
12-H2,20,103,0.011826544021024787,67,0.011093502377178988,0.011160223522190149
12-H2,40,103,0.033637000700770914,67,0.018742678641155752,0.02683060649942892
12-H2,60,103,0.044849334267694774,67,0.028490028490028463,0.03695204037150068
