metric,t,count,mean,median
fwd_5d,1,60,-0.005580841968901642,-0.0012195121951219523
fwd_5d,2,60,-0.005188289787520062,-0.00222850903315458
fwd_5d,3,60,-0.00384516151221229,0.0
fwd_5d,4,60,-0.001599421504904397,0.0
fwd_5d,5,60,-0.0007238305795115862,0.0
to_ex_minus_1,-40,60,0.047443856505263594,0.04682614580950206
to_ex_minus_1,-39,60,0.04751497700203265,0.050016166497911074
to_ex_minus_1,-38,60,0.048615943028799215,0.05247803854726629
to_ex_minus_1,-37,60,0.047094994242585446,0.0517904741595967
to_ex_minus_1,-36,60,0.045503936987670794,0.05069845408828466
to_ex_minus_1,-35,60,0.045897332247150646,0.052207402723901564
to_ex_minus_1,-34,60,0.04226799895768287,0.0442468828581124
to_ex_minus_1,-33,60,0.04290658290907823,0.04452881458798852
to_ex_minus_1,-32,60,0.041501962620039926,0.04413373860182368
to_ex_minus_1,-31,60,0.040553651903996825,0.04313971361540325
to_ex_minus_1,-30,60,0.04039969562537194,0.042533254507833296
to_ex_minus_1,-29,60,0.040230465372609325,0.04279410081518631
to_ex_minus_1,-28,60,0.037645928774785405,0.04136405762911788
to_ex_minus_1,-27,60,0.03614395655089078,0.0354412810414616
to_ex_minus_1,-26,60,0.03316985834520239,0.03286547967399034
to_ex_minus_1,-25,60,0.031604709613280865,0.032354752166072975
to_ex_minus_1,-24,60,0.029118810449854374,0.033561695871151764
to_ex_minus_1,-23,60,0.02795474884733024,0.02752925647950255
to_ex_minus_1,-22,60,0.026344452193648442,0.023496326456041605
to_ex_minus_1,-21,60,0.024791968144701033,0.027797394852479562
to_ex_minus_1,-20,60,0.02327616677325536,0.020467121858450343
to_ex_minus_1,-19,60,0.021741562904323587,0.016650877857774415
to_ex_minus_1,-18,60,0.020337096391575438,0.017261499803846614
to_ex_minus_1,-17,60,0.018118818178476433,0.017489040676929357
to_ex_minus_1,-16,60,0.01670436113127336,0.01605518722980903
to_ex_minus_1,-15,60,0.01477226192629586,0.014051320009869195
to_ex_minus_1,-14,60,0.013928269496480612,0.011055356139965333
to_ex_minus_1,-13,60,0.01342190230010783,0.01411011348899549
to_ex_minus_1,-12,60,0.01169684568772918,0.009797220323536138
to_ex_minus_1,-11,60,0.009281821524021861,0.005647526351581167
to_ex_minus_1,-10,60,0.005335461823595158,0.005755502923298628
to_ex_minus_1,-9,60,0.0027231285341615618,0.00267235252309872
to_ex_minus_1,-8,60,0.0017996035692186294,0.003577022664066898
to_ex_minus_1,-7,60,0.00029782712864501,0.0026392251815980927
to_ex_minus_1,-6,60,0.0006048051649776028,0.001210653753026647
to_ex_minus_1,-5,60,0.0006460167300235409,0.0024097078444905717
to_ex_minus_1,-4,60,-0.0008230951910688715,0.0
to_ex_minus_1,-3,60,0.00032949554868973624,0.0014978230927008562
to_ex_minus_1,-2,60,-0.0010215485403564225,0.0
to_ex_minus_1,-1,60,0.0,0.0
