thresh,month,train_n,train_med,test_n,test_med
20.0,1,8,0.16045796308954208,14,0.11067279070511793
20.0,2,6,0.09508429540040308,5,0.1138519924098671
20.0,3,16,0.027342346388789185,17,0.09633027522935778
20.0,4,14,0.06802536231884049,13,0.12742980561555095
20.0,5,15,0.0888888888888888,16,0.10008448800270364
20.0,6,17,0.04385964912280693,4,0.036166957400196154
20.0,8,25,0.11197916666666674,19,0.10473815461346625
20.0,9,13,0.12639405204460985,10,0.15731448896961453
20.0,10,26,0.13658008658008658,26,0.14175343139350927
20.0,11,16,0.13667449571704893,6,0.22871604544124302
20.0,12,24,0.11894787117903938,10,0.14045611759619547
25.0,1,13,0.07523510971786829,13,0.12439024390243913
25.0,2,11,0.10294117647058809,7,0.07010309278350513
25.0,3,22,0.03433623389136453,17,0.11538461538461542
25.0,4,20,0.0675213675213675,17,0.11538461538461542
25.0,5,18,0.055249019892551154,15,0.08703703703703702
25.0,6,20,0.04293822792274804,9,0.046925566343042124
25.0,7,7,0.032352941176470695,9,0.05832147937411114
25.0,8,31,0.11197916666666674,19,0.12145748987854255
25.0,9,20,0.12664113478363415,17,0.125
25.0,10,29,0.11764705882352944,26,0.14147812971342377
25.0,11,23,0.13373860182370811,9,0.19070904645476783
25.0,12,29,0.11488250652741527,18,0.10658076790038051
30.0,1,20,0.07454063178201109,16,0.10796807001514752
30.0,2,15,0.09768637532133684,13,0.09438202247191008
30.0,3,29,0.024324324324324298,17,0.11818181818181817
30.0,4,19,0.07716049382716039,20,0.11586405284466217
30.0,5,23,0.03499999999999992,17,0.08703703703703702
30.0,6,18,0.05161292562350728,17,0.048214285714285765
30.0,7,7,-0.008498583569405027,11,0.05681818181818188
30.0,8,30,0.10686289201577104,25,0.11748251748251759
30.0,9,22,0.10809640522875819,17,0.14108910891089121
30.0,10,32,0.11210762331838575,27,0.14392059553349879
30.0,11,32,0.13595492720629032,10,0.16417691857059158
30.0,12,29,0.11739130434782608,21,0.10551558752997603
