date,nav_base,nav_fin_pre_exdiv_kd,nav_fin_rs_soft_tilt_exdiv,nav_mix_l75
2012-12-04,500000000.0,500000000.0,500000000.0,500000000.0
2012-12-05,500942715.0370358,500942715.0370358,500875507.9210414,500925919.71326065
2012-12-06,500772595.2462571,500772595.2462571,500744936.7070639,500765644.5685434
2012-12-07,500854095.2752695,500854095.2752695,500771685.51619154,500833390.3957305
2012-12-10,497494063.6092255,497494063.6092255,497028894.02329814,497377686.22959
2012-12-11,498187923.6575915,498187923.6575915,496989472.5274253,497888608.0024039
2012-12-12,503535094.3925455,503535094.3925455,503234804.78351307,503459857.94682056
2012-12-13,505379144.3925455,505379144.3925455,505217304.78351307,505338157.94682056
2012-12-14,504783144.3925455,504783144.3925455,504685104.78351307,504758357.94682056
2012-12-17,501825344.3925455,501825344.3925455,501352554.78351307,501707307.94682056
2012-12-18,502620011.754856,502620011.754856,502197528.2899641,502514261.2793489
2012-12-19,504272311.754856,504272311.754856,503840528.2899641,504164061.2793489
2012-12-20,498497561.754856,498497561.754856,498216878.2899641,498427711.2793489
2012-12-21,492170061.754856,492170061.754856,491309028.2899641,491955211.2793489
2012-12-22,493255061.754856,493255061.754856,492914928.2899641,493170561.2793489
2012-12-24,493815711.754856,493815711.754856,493598878.2899641,493762011.2793489
2012-12-25,499542761.754856,499542761.754856,499324028.2899641,499488211.2793489
2012-12-26,497361461.754856,497361461.754856,497187078.2899641,497316811.2793489
2012-12-27,498368511.754856,498368511.754856,497715578.2899641,498205661.2793489
2012-12-28,501800361.2373936,501800361.2373936,501156933.0109581,501640685.4825547
2013-01-02,506584237.99979436,506584237.99979436,506164847.0788052,506480957.6555713
2013-01-03,508260037.99979436,508260037.99979436,507862297.0788052,508162957.6555713
2013-01-04,503716687.99979436,503716687.99979436,503304547.0788052,503616407.6555713
2013-01-07,501625937.99979436,501625937.99979436,501244747.0788052,501532507.6555713
2013-01-08,501718387.99979436,501718387.99979436,501828197.0788052,501746707.6555713
2013-01-09,501016387.99979436,501016387.99979436,501200647.0788052,501063657.6555713
2013-01-10,508110087.99979436,508110087.99979436,508359647.0788052,508172507.6555713
2013-01-11,508341037.99979436,508341037.99979436,508653897.0788052,508420407.6555713
2013-01-14,508242537.99979436,508242537.99979436,508890247.0788052,508405107.6555713
2013-01-15,506071137.99979436,506071137.99979436,506365997.0788052,506145757.6555713
2013-01-16,502634287.99979436,502634287.99979436,502981347.0788052,502722457.6555713
2013-01-17,499237537.99979436,499237537.99979436,498861847.0788052,499144957.6555713
2013-01-18,503930737.99979436,503930737.99979436,504401397.0788052,504048757.6555713
2013-01-21,503279187.99979436,503279187.99979436,503181747.0788052,503254307.6555713
2013-01-22,505638242.9595463,505638242.9595463,506043920.6325122,505740140.2049452
2013-01-23,505092157.08197284,505092157.08197284,505566553.0945292,505212555.7766151
2013-01-24,501684275.7836935,501684275.7836935,501533830.0054542,501643867.66397643
2013-01-25,499986325.7836935,499986325.7836935,500201430.0054542,500040117.66397643
2013-01-28,505743375.7836935,505743375.7836935,506598030.0054542,505960467.66397643
2013-01-29,509077425.7836935,509077425.7836935,509860280.0054542,509272817.66397643
2013-01-30,509660225.7836935,509660225.7836935,510376130.0054542,509840517.66397643
2013-01-31,513752375.7836935,513752375.7836935,515412930.0054542,514175217.66397643
2013-02-01,514878225.7836935,514878225.7836935,516094780.0054542,515189617.66397643
2013-02-04,529891775.7836935,529891775.7836935,532054380.0054542,530443567.66397643
2013-02-05,527293225.7836935,527293225.7836935,528630530.0054542,527635217.66397643
2013-02-06,530356425.7836935,530356425.7836935,531901430.0054542,530749467.66397643
2013-02-18,531071575.78369355,531071575.78369355,532177480.0054542,531348117.6639765
2013-02-19,529008425.7836935,529008425.7836935,529571180.0054542,529145667.66397643
2013-02-20,536615825.7836935,536615825.7836935,537330980.0054542,536794267.66397643
2013-02-21,529510125.7836935,529510125.7836935,529691430.0054542,529551917.66397643
2013-02-22,528969425.7836935,528969425.7836935,528643930.0054542,528880367.66397643
2013-02-23,533281025.7836935,533281025.7836935,533607130.0054542,533356617.66397643
2013-02-25,528537225.7836935,528537225.7836935,528321630.0054542,528473367.66397643
2013-02-26,526410225.7836935,526410225.7836935,526158330.0054542,526338917.66397643
2013-02-27,525726425.7836935,525726425.7836935,526000380.0054542,525789117.66397643
2013-03-01,529203525.7836935,529203525.7836935,529834580.0054542,529358617.66397643
2013-03-04,520928975.7836935,520928975.7836935,521713080.0054542,521126217.66397643
2013-03-05,525719675.7836935,525719675.7836935,527075980.0054542,526063567.66397643
2013-03-06,525037825.7836935,525037825.7836935,526081730.0054542,525303717.66397643
2013-03-07,525926475.7836935,525926475.7836935,526864280.0054542,526164817.66397643
2013-03-08,534291725.7836935,534291725.7836935,535719430.0054542,534653817.66397643
2013-03-11,533391625.7836935,533391625.7836935,534708830.0054542,533726167.66397643
2013-03-12,529011825.7836935,529011825.7836935,529823780.0054542,529214517.66397643
2013-03-13,528849275.7836935,528849275.7836935,529945330.0054542,529124017.66397643
2013-03-14,527879575.7836935,527879575.7836935,528842680.0054542,528123767.66397643
2013-03-15,527208275.7836935,527208275.7836935,529174330.0054542,527703967.66397643
2013-03-18,518848125.7836935,518848125.7836935,519647180.0054542,519049217.66397643
2013-03-19,518572925.7836935,518572925.7836935,519513730.0054542,518809317.66397643
2013-03-20,515809675.7836935,515809675.7836935,516245230.0054542,515917717.66397643
2013-03-21,515397275.7836935,515397275.7836935,515784180.0054542,515492417.66397643
2013-03-22,512987975.7836935,512987975.7836935,513431580.0054542,513097267.66397643
2013-03-25,520369675.7836935,520369675.7836935,520748180.0054542,520463417.66397643
2013-03-26,518465125.7836935,518465125.7836935,518189630.0054542,518391867.66397643
2013-03-27,522695275.7836935,522695275.7836935,522702230.0054542,522694567.66397643
2013-03-28,521252725.7836935,521252725.7836935,520864930.0054542,521150817.66397643
2013-03-29,523544925.7836935,523544925.7836935,523083480.0054542,523423767.66397643
2013-04-01,521478475.7836935,521478475.7836935,520922680.0054542,521330167.66397643
2013-04-02,520015525.7836935,520015525.7836935,519639830.0054542,519913767.66397643
2013-04-03,522212125.7836935,522212125.7836935,522120780.0054542,522184267.66397643
2013-04-08,508408775.7836935,508408775.7836935,507548680.0054542,508188317.66397643
2013-04-09,508983725.7836935,508983725.7836935,508569080.0054542,508878917.66397643
