code,ex,kind,dist,in_pre_ex
2880,2012-08-15,close,-4,True
2880,2012-08-15,high,-2,True
2880,2013-08-15,close,-53,False
2880,2013-08-15,high,-14,False
2880,2014-08-14,close,-11,False
2880,2014-08-14,high,-10,True
2880,2015-08-13,close,-60,False
2880,2015-08-13,high,-60,False
2880,2016-08-18,close,-6,True
2880,2016-08-18,high,-5,True
2880,2017-08-17,close,-8,True
2880,2017-08-17,high,-8,True
2880,2018-08-16,close,-4,True
2880,2018-08-16,high,-4,True
2880,2019-08-15,close,-10,True
2880,2019-08-15,high,-11,False
2880,2020-08-13,close,-28,False
2880,2020-08-13,high,-27,False
2880,2021-09-16,close,-2,True
2880,2021-09-16,high,-1,True
2880,2022-08-11,close,-1,True
2880,2022-08-11,high,-1,True
2880,2023-08-17,close,-60,False
2880,2023-08-17,high,-58,False
2880,2024-08-13,close,-8,True
2880,2024-08-13,high,-8,True
2880,2025-08-13,close,-5,True
2880,2025-08-13,high,-5,True
2886,2012-08-08,close,-5,True
2886,2012-08-08,high,-4,True
2886,2013-08-13,close,-6,True
2886,2013-08-13,high,-6,True
2886,2014-08-13,close,-12,False
2886,2014-08-13,high,-11,False
2886,2015-08-13,close,-35,False
2886,2015-08-13,high,-37,False
2886,2016-08-15,close,-2,True
2886,2016-08-15,high,-1,True
2886,2017-08-10,close,-3,True
2886,2017-08-10,high,-2,True
2886,2018-08-09,close,-6,True
2886,2018-08-09,high,-45,False
2886,2019-08-12,close,-10,True
2886,2019-08-12,high,-11,False
2886,2020-08-13,close,-16,False
2886,2020-08-13,high,-15,False
2886,2021-08-12,close,-54,False
2886,2021-08-12,high,-4,True
2886,2022-08-11,close,-51,False
2886,2022-08-11,high,-51,False
2886,2023-08-10,close,-6,True
2886,2023-08-10,high,-6,True
2886,2024-08-08,close,-8,True
2886,2024-08-08,high,-8,True
2886,2025-08-07,close,-1,True
2886,2025-08-07,high,-6,True
2892,2012-08-10,close,-1,True
2892,2012-08-10,high,-1,True
2892,2013-08-02,close,-5,True
2892,2013-08-02,high,-5,True
2892,2014-08-01,close,-4,True
2892,2014-08-01,high,-3,True
2892,2015-07-31,close,-60,False
2892,2015-07-31,high,-60,False
2892,2016-08-05,close,-4,True
2892,2016-08-05,high,-4,True
2892,2017-08-04,close,-2,True
2892,2017-08-04,high,-2,True
2892,2018-08-10,close,-1,True
2892,2018-08-10,high,-1,True
2892,2019-08-12,close,-7,True
2892,2019-08-12,high,-7,True
2892,2020-08-07,close,-1,True
2892,2020-08-07,high,-1,True
2892,2021-08-26,close,-7,True
2892,2021-08-26,high,-23,False
2892,2022-08-04,close,-46,False
2892,2022-08-04,high,-46,False
2892,2023-08-11,close,-7,True
2892,2023-08-11,high,-8,True
2892,2024-08-08,close,-8,True
2892,2024-08-08,high,-8,True
2892,2025-08-07,close,-1,True
2892,2025-08-07,high,-2,True
2892,2026-08-11,close,20,False
2892,2026-08-11,high,19,False
5880,2012-08-03,close,-1,True
5880,2012-08-03,high,-1,True
5880,2013-08-14,close,-59,False
5880,2013-08-14,high,-60,False
5880,2014-08-19,close,-16,False
5880,2014-08-19,high,-15,False
5880,2015-08-13,close,-60,False
5880,2015-08-13,high,-60,False
5880,2016-08-10,close,-1,True
5880,2016-08-10,high,-1,True
5880,2017-08-16,close,-7,True
5880,2017-08-16,high,-7,True
5880,2018-08-21,close,-7,True
5880,2018-08-21,high,-7,True
5880,2019-08-14,close,-13,False
5880,2019-08-14,high,-12,False
5880,2020-08-12,close,-2,True
5880,2020-08-12,high,-1,True
5880,2021-08-11,close,19,False
5880,2021-08-11,high,-3,True
5880,2022-08-10,close,-1,True
5880,2022-08-10,high,-1,True
5880,2023-08-09,close,-5,True
5880,2023-08-09,high,-6,True
5880,2024-08-14,close,-9,True
5880,2024-08-14,high,-9,True
5880,2025-08-13,close,-5,True
5880,2025-08-13,high,-5,True
5880,2026-08-11,close,-7,True
5880,2026-08-11,high,-7,True
