challenger,window,start,end,n_days,base_cagr,base_mdd,chal_cagr,chal_mdd,mdd_improve_pp,cagr_giveback_pp,rel_nav_end
FIN_RS_SOFT_TILT_EXDIV,mtd,2026-09-01,2026-09-09,7,5.682133978626353,-0.013498348489398238,5.266161372931215,-0.011359962930715728,0.21383855586825096,41.597260569513764,0.9984708501411425
FIN_RS_SOFT_TILT_EXDIV,ytd,2026-01-01,2026-09-09,165,0.6833691218010849,-0.13969427823982672,0.6383714505442462,-0.11375469814381312,2.5939580096013604,4.499767125683873,0.9825216317872796
FIN_RS_SOFT_TILT_EXDIV,trailing_1y,2025-09-09,2026-09-09,242,0.5316946179183777,-0.13969427823982683,0.4785943087068161,-0.113754698143813,2.5939580096013826,5.310030921156161,0.9668201914481586
FIN_RS_SOFT_TILT_EXDIV,sealed_2023_plus,2023-01-01,2026-09-09,882,0.2503023958208852,-0.13969427823982683,0.2364442521523875,-0.113754698143813,2.5939580096013826,1.385814366849769,0.9617836205434647
FIN_RS_SOFT_TILT_EXDIV,heldout_2019_plus,2019-01-01,2026-09-09,1859,0.1823895344212667,-0.22386722284139682,0.17259964925880977,-0.21494102775886292,0.8926195082533894,0.9789885162456935,0.9405402555293988
FIN_RS_SOFT_TILT_EXDIV,full,2012-12-04,2026-09-09,3354,0.13850709158384023,-0.22386722284139682,0.1327881813962173,-0.21494102775886292,0.8926195082533894,0.5718910187622939,0.9351910456982945
MIX_L75,mtd,2026-09-01,2026-09-09,7,5.682133978626353,-0.013498348489398238,5.487385192029944,-0.013076876187941622,0.042147230145661574,19.474878659640904,0.9992960135607065
MIX_L75,ytd,2026-01-01,2026-09-09,165,0.6833691218010849,-0.13969427823982672,0.6685378079007538,-0.13283192353185214,0.6862354707974583,1.48313139003311,0.9942573306191458
MIX_L75,trailing_1y,2025-09-09,2026-09-09,242,0.5316946179183777,-0.13969427823982683,0.5146250454526755,-0.13283192353185214,0.6862354707974694,1.7069572465702176,0.9893396125240151
MIX_L75,sealed_2023_plus,2023-01-01,2026-09-09,882,0.2503023958208852,-0.13969427823982683,0.24583821167559572,-0.13283192353185203,0.6862354707974805,0.4464184145289485,0.987572999521857
MIX_L75,heldout_2019_plus,2019-01-01,2026-09-09,1859,0.1823895344212667,-0.22386722284139682,0.1796789117257911,-0.22162682731696737,0.22403955244294504,0.27106226954756174,0.9832203630015132
MIX_L75,full,2012-12-04,2026-09-09,3354,0.13850709158384023,-0.22386722284139682,0.13690349260496792,-0.22162682731696726,0.22403955244295615,0.16035989788723004,0.9814205431323718
KD_OPT,mtd,2026-09-01,2026-09-09,7,5.682133978626353,-0.013498348489398238,5.647115512977097,-0.012596068388510462,0.09022801008877757,3.5018465649256036,0.9998749032707196
KD_OPT,ytd,2026-01-01,2026-09-09,165,0.6833691218010849,-0.13969427823982672,0.6777419220251182,-0.12807794587413646,1.1616332365690263,0.5627199775966707,0.9978232423704162
KD_OPT,trailing_1y,2025-09-09,2026-09-09,242,0.5316946179183777,-0.13969427823982683,0.5208349242199344,-0.12807794587413668,1.1616332365690152,1.0859693698443307,0.9932184455036026
KD_OPT,sealed_2023_plus,2023-01-01,2026-09-09,882,0.2503023958208852,-0.13969427823982683,0.24683237950041015,-0.12807794587413646,1.1616332365690374,0.34700163204750556,0.9903308778667548
KD_OPT,heldout_2019_plus,2019-01-01,2026-09-09,1859,0.1823895344212667,-0.22386722284139682,0.1798732274429462,-0.21720270077643733,0.6664522064959488,0.2516306978320504,0.9844150884280828
KD_OPT,full,2012-12-04,2026-09-09,3354,0.13850709158384023,-0.22386722284139682,0.138044127365347,-0.21720270077643722,0.6664522064959599,0.046296421849323366,0.9946029255209056
