date,nav_base,nav_fin_rs_soft_tilt_exdiv,nav_fin_mix_l75,nav_fin_kd_opt,rel_fin_rs_soft_tilt_exdiv_vs_base,rel_fin_mix_l75_vs_base,rel_fin_kd_opt_vs_base
2012-12-04,500000000.0,500000000.0,500000000.0,500000000.0,1.0,1.0,1.0
2012-12-05,500940511.21989167,500873078.02719265,500923707.28915185,500940511.21989167,0.9998653868250048,0.9999664552369724,1.0
2012-12-06,500770541.429113,500742656.81321514,500763607.8822823,500770541.429113,0.9999443165809669,0.9999861542437962,1.0
2012-12-07,500852741.45812535,500770055.62234277,500832153.70946944,500852741.45812535,0.9998349098868026,0.9999588946072333,1.0
2012-12-10,497491009.79208136,497026367.5332929,497374904.91254234,497491009.79208136,0.9990660288334001,0.9997666191403387,1.0
2012-12-11,498186597.36229795,496987593.2435189,497887510.1558131,498186597.36229795,0.9975932629959792,0.9993996482280567,1.0
2012-12-12,503535191.01925147,503233675.49960667,503460510.1002297,503535191.01925147,0.9994012026864806,0.9998516867929913,1.0
2012-12-13,505377891.01925147,505215725.49960667,505338110.1002297,505377891.01925147,0.9996791202731133,0.9999212848054323,1.0
2012-12-14,504783741.01925147,504685575.49960667,504759660.1002297,504783741.01925147,0.999805529553217,0.9999522945826798,1.0
2012-12-17,501825091.01925147,501352625.49960667,501707010.1002297,501825091.01925147,0.9990585055867072,0.9997646970605197,1.0
2012-12-18,502618136.2531116,502197610.07310605,502512507.6885735,502618136.2531116,0.9991633286790237,0.9997898433086287,1.0
2012-12-19,504271786.2531116,503840610.07310605,504164007.6885735,504271786.2531116,0.9991449527977575,0.9997862688980897,1.0
2012-12-20,498496986.2531116,498214960.07310605,498427407.6885735,498496986.2531116,0.9994342469708285,0.9998604232995246,1.0
2012-12-21,492168086.2531116,491303260.07310605,491953407.6885735,492168086.2531116,0.9982428235309008,0.9995638104734249,1.0
2012-12-22,493251986.2531116,492908710.07310605,493167557.6885735,493251986.2531116,0.9993040551491477,0.9998288327936001,1.0
2012-12-24,493814186.2531116,493594560.07310605,493760757.6885735,493814186.2531116,0.9995552453005209,0.9998918043142027,1.0
2012-12-25,499542036.2531116,499321210.07310605,499487457.6885735,499542036.2531116,0.9995579427475976,0.9998907427992497,1.0
2012-12-26,497360986.2531116,497184010.07310605,497317857.6885735,497360986.2531116,0.9996441695571283,0.9999132851877607,1.0
2012-12-27,498365586.2531116,497711810.07310605,498202807.6885735,498365586.2531116,0.9986881594595629,0.9996733751907672,1.0
2012-12-28,501798780.39324886,501155514.0706422,501637873.41722983,501798780.39324886,0.9987180791429932,0.9996793396430877,1.0
2013-01-02,506586117.85294473,506164778.2634499,506481436.84472734,506586117.85294473,0.9991682764792675,0.999793359895725,1.0
2013-01-03,508263167.85294473,507862578.2634499,508164086.84472734,508263167.85294473,0.9992118461166741,0.9998050596335045,1.0
2013-01-04,503720867.85294473,503304778.2634499,503617936.84472734,503720867.85294473,0.999173967933335,0.9997956586379751,1.0
2013-01-07,501627767.85294473,501245728.2634499,501532536.84472734,501627767.85294473,0.9992384002362349,0.9998101560273965,1.0
2013-01-08,501717567.85294473,501825878.2634499,501745586.84472734,501717567.85294473,1.0002158792465026,1.0000558461444802,1.0
2013-01-09,501014867.85294473,501198428.2634499,501061636.84472734,501014867.85294473,1.0003663771721822,1.00009334851076,1.0
2013-01-10,508108767.85294473,508356878.2634499,508172836.84472734,508108767.85294473,1.0004883017696262,1.0001260930647848,1.0
2013-01-11,508340967.85294473,508650728.2634499,508420386.84472734,508340967.85294473,1.000609355590232,1.0001562317357935,1.0
2013-01-14,508241517.85294473,508885728.2634499,508405236.84472734,508241517.85294473,1.0012675281099164,1.000322128330787,1.0
2013-01-15,506069117.85294473,506360978.2634499,506144086.84472734,506069117.85294473,1.000576720452225,1.0001481398274226,1.0
2013-01-16,502632167.85294473,502976428.2634499,502719736.84472734,502632167.85294473,1.0006849151974808,1.0001742208266469,1.0
2013-01-17,499235417.85294473,498857978.2634499,499141736.84472734,499235417.85294473,0.9992439647188534,0.9998123510374719,1.0
2013-01-18,503928267.85294473,504396978.2634499,504047286.84472734,503928267.85294473,1.000930113352248,1.0002361824080432,1.0
2013-01-21,503275967.85294473,503178678.2634499,503252836.84472734,503275967.85294473,0.999806687392784,0.9999540391163201,1.0
2013-01-22,505634199.3943504,506039269.72407466,505736736.29305077,505634199.3943504,1.0008011133942472,1.000202788693532,1.0
2013-01-23,505088978.26788205,505561252.18609166,505209421.4693203,505088978.26788205,1.0009350311302163,1.000238459373735,1.0
2013-01-24,501682180.68919796,501530451.82013464,501642630.2611455,501682180.68919796,0.9996975597800686,0.9999211643754256,1.0
2013-01-25,499985380.68919796,500198001.82013464,500042530.2611455,499985380.68919796,1.0004252546957344,1.0001143024859422,1.0
2013-01-28,505741630.68919796,506591901.82013464,505959880.2611455,505741630.68919796,1.0016812361872958,1.0004315436157591,1.0
2013-01-29,509074430.68919796,509855651.82013464,509271930.2611455,509074430.68919796,1.001534591179288,1.0003879581452955,1.0
2013-01-30,509659080.68919796,510371401.82013464,509840430.2611455,509659080.68919796,1.0013976423808115,1.0003558252542117,1.0
2013-01-31,513751730.68919796,515405051.82013464,514172880.2611455,513751730.68919796,1.0032181324795126,1.000819753096272,1.0
2013-02-01,514878730.68919796,516087151.82013464,515189030.2611455,514878730.68919796,1.0023470014566713,1.0006026653529312,1.0
2013-02-04,529888730.68919796,532041751.82013464,530445930.2611455,529888730.68919796,1.0040631570483418,1.0010515407097313,1.0
2013-02-05,527291580.68919796,528619551.82013464,527637430.2611455,527291580.68919796,1.0025184758861518,1.0006558981493607,1.0
2013-02-06,530355430.68919796,531891151.82013464,530751280.2611455,530355430.68919796,1.002895645150538,1.00074638544086,1.0
2013-02-18,531066580.689198,532168601.82013464,531347980.26114553,531066580.689198,1.0020751091689981,1.0005298762569137,1.0
2013-02-19,529004130.68919796,529564451.82013464,529147430.2611455,529004130.68919796,1.001059199916278,1.00027088554443,1.0
2013-02-20,536610980.68919796,537321051.8201346,536793680.2611455,536610980.68919796,1.0013232512126842,1.0003404693130076,1.0
2013-02-21,529505580.68919796,529683951.82013464,529553630.2611455,529505580.68919796,1.000336863552419,1.0000907442219682,1.0
2013-02-22,528965630.68919796,528638151.82013464,528881280.2611455,528965630.68919796,0.999380907094783,0.9998405370346225,1.0
2013-02-23,533275580.68919796,533599601.82013464,533353330.2611455,533275580.68919796,1.0006076054157926,1.000145796235123,1.0
2013-02-25,528531730.68919796,528316451.82013464,528469680.2611455,528531730.68919796,0.999592685062101,0.9998825984809435,1.0
2013-02-26,526403980.68919796,526151901.82013464,526336230.2611455,526403980.68919796,0.9995211303897564,0.9998712957528099,1.0
2013-02-27,525721530.68919796,525994051.82013464,525785430.2611455,525721530.68919796,1.000518375442184,1.0001215464237574,1.0
2013-03-01,529199030.68919796,529826901.82013464,529358130.2611455,529199030.68919796,1.001186455557409,1.000300642221019,1.0
2013-03-04,520924030.68919796,521704801.82013464,521127930.2611455,520924030.68919796,1.0014988195685726,1.000391419016853,1.0
2013-03-05,525714130.68919796,527065701.82013464,526065630.2611455,525714130.68919796,1.0025709241050165,1.0006686135133684,1.0
2013-03-06,525033930.68919796,526072151.82013464,525306680.2611455,525033930.68919796,1.0019774362574507,1.0005194894196447,1.0
2013-03-07,525921780.68919796,526854551.82013464,526168080.2611455,525921780.68919796,1.0017735928900193,1.0004683197787032,1.0
2013-03-08,534286580.68919796,535707551.82013464,534652430.2611455,534286580.68919796,1.00265956732266,1.0006847440777487,1.0
2013-03-11,533387230.68919796,534697601.82013464,533726780.2611455,533387230.68919796,1.0024566976026845,1.000636591115068,1.0
2013-03-12,529007380.68919796,529815201.82013464,529213180.2611455,529007380.68919796,1.001527050775519,1.0003890296798494,1.0
2013-03-13,528843480.68919796,529935951.82013464,529120130.2611455,528843480.68919796,1.0020657740349053,1.0005231218348138,1.0
2013-03-14,527876330.68919796,528833201.82013464,528123330.2611455,527876330.68919796,1.0018126804997818,1.0004679118149227,1.0
2013-03-15,527201680.68919796,529164101.82013464,527703530.2611455,527201680.68919796,1.0037223347398498,1.0009519119349002,1.0
2013-03-18,518844230.68919796,519639251.82013464,519049130.2611455,518844230.68919796,1.001532292514616,1.000394915390454,1.0
2013-03-19,518568680.68919796,519505951.82013464,518808030.2611455,518568680.68919796,1.0018074194717872,1.0004615580941552,1.0
2013-03-20,515806180.68919796,516238551.82013464,515917730.2611455,515806180.68919796,1.0008382434083263,1.000216262573276,1.0
2013-03-21,515394980.68919796,515778401.82013464,515491580.2611455,515394980.68919796,1.0007439364861954,1.000187428235755,1.0
2013-03-22,512985580.68919796,513426201.82013464,513095980.2611455,512985580.68919796,1.0008589347294026,1.0002152098930328,1.0
2013-03-25,520366730.68919796,520740801.82013464,520461830.2611455,520366730.68919796,1.0007188605821153,1.0001827549040685,1.0
