date,nav_base,nav_fincap50,rel_fincap50_vs_base
2012-12-04,15000000.0,15000000.0,1.0
2012-12-05,15026155.563759875,15025815.427831125,0.9999773637423554
2012-12-06,15021393.100334002,15015764.575257499,0.9996252993954085
2012-12-07,15023086.449971627,15028662.653616622,1.0003711756344853
2012-12-10,14937450.266564503,14964707.275635624,1.0018247430843088
2012-12-11,14957101.425185002,14981459.203618374,1.001628509277363
2012-12-12,15102572.544046877,15109171.903554998,1.0004369692308297
2012-12-13,15152327.919932626,15175198.205520874,1.0015093578827687
2012-12-14,15127777.618297627,15116002.180154875,0.9992216015835327
2012-12-17,15045227.618297627,15007455.251813874,0.9974894120951806
2012-12-18,15072656.209215501,15033155.251813874,0.997379296863583
2012-12-19,15117179.508054502,15073455.251813874,0.9971076445697207
2012-12-20,14942929.508054502,14896555.251813874,0.9968965753190744
2012-12-21,14754479.508054502,14738155.251813874,0.9988936067699496
2012-12-22,14786729.508054502,14772323.108391874,0.9990257210254112
2012-12-24,14801979.508054502,14762350.586231625,0.9973227282336586
2012-12-25,14973129.508054502,14958350.586231625,0.9990129704137717
2012-12-26,14911879.508054502,14911050.586231625,0.9999444119822434
2012-12-27,14942829.508054502,14924600.586231625,0.9987800890177425
2012-12-28,15057679.508054502,15043400.586231625,0.9990517183065797
2013-01-02,15181429.508054502,15172000.586231625,0.9993789173926029
2013-01-03,15212729.508054502,15220000.586231625,1.0004779601302496
2013-01-04,15096229.508054502,15120450.586231625,1.0016044455447766
2013-01-07,15045579.508054502,15068200.586231625,1.0015035032824766
2013-01-08,15053029.508054502,15046950.586231625,0.9995961662189246
2013-01-09,15023029.508054502,15034000.586231625,1.000730284006381
2013-01-10,15224779.508054502,15205100.586231625,0.9987074412596605
2013-01-11,15224829.508054502,15199850.586231625,0.998359329947855
2013-01-14,15223379.508054502,15202400.586231625,0.9986219274234228
2013-01-15,15159429.508054502,15115600.586231625,0.9971088013701578
2013-01-16,15062529.508054502,15026000.586231625,0.9975748481154282
2013-01-17,14969029.508054502,14929900.586231625,0.9973860081041445
2013-01-18,15110329.508054502,15084700.586231625,0.9983038806791595
2013-01-21,15095079.508054502,15069900.586231625,0.9983319781913409
2013-01-22,15166051.675966501,15132950.586231625,0.9978174220659335
2013-01-23,15156351.675966501,15126850.586231625,0.9980535494051872
2013-01-24,15061401.675966501,15038150.586231625,0.9984562466206596
2013-01-25,15010401.675966501,14986442.810293874,0.9984038491314334
2013-01-28,15150701.675966501,15087406.707901124,0.9958223078099556
2013-01-29,15258401.675966501,15217706.677351624,0.9973329448602093
2013-01-30,15270701.675966501,15230861.194156624,0.9973910510037284
2013-01-31,15379151.675966501,15306311.194156624,0.9952636866229945
2013-02-01,15411301.675966501,15341282.426390875,0.9954566297482309
2013-02-04,15823051.675966501,15642153.30551425,0.9885674158084805
2013-02-05,15740751.675966501,15562421.781470874,0.9886708145731117
2013-02-06,15819901.675966501,15639621.781470874,0.9886042341989074
2013-02-18,15815751.675966501,15621196.102792125,0.9876986198847557
2013-02-19,15752701.675966501,15573937.63399075,0.9886518487017064
2013-02-20,15961351.675966501,15745663.68012725,0.9864868589942781
2013-02-21,15760151.675966501,15575863.9578665,0.9883067294091444
2013-02-22,15748801.675966501,15555763.9578665,0.987742704361146
2013-02-23,15874401.675966501,15668463.9578665,0.9870270563701442
2013-02-25,15741001.675966501,15568863.9578665,0.9890643733071433
2013-02-26,15681801.675966501,15482963.9578665,0.9873204799927591
2013-02-27,15657501.675966501,15472913.9578665,0.988210908616198
2013-03-01,15755251.675966501,15554413.9578665,0.9872526493241384
2013-03-04,15526501.675966501,15351313.9578665,0.9887168583267424
2013-03-05,15656701.675966501,15471063.9578665,0.9881432423033926
2013-03-06,15644101.675966501,15485713.9578665,0.9898755632390623
2013-03-07,15674201.675966501,15505063.9578665,0.9892091653790991
2013-03-08,15904351.675966501,15691363.9578665,0.9866082112342968
2013-03-11,15879951.675966501,15681863.9578665,0.9875259243767223
2013-03-12,15756701.675966501,15572163.9578665,0.9882883028507499
2013-03-13,15757901.675966501,15584963.9578665,0.9890253333434768
2013-03-14,15725801.675966501,15556263.9578665,0.9892191367032751
2013-03-15,15707951.675966501,15515513.9578665,0.9877490253299903
2013-03-18,15469801.675966501,15297913.9578665,0.9888888221258167
2013-03-19,15451951.675966501,15286963.9578665,0.9893225320943361
2013-03-20,15366201.675966501,15195763.9578665,0.9889082727342714
2013-03-21,15357051.675966501,15196163.9578665,0.9895235282465196
2013-03-22,15291051.675966501,15141513.9578665,0.9902205733608869
2013-03-25,15495701.675966501,15308213.9578665,0.9879006629050693
2013-03-26,15449101.675966501,15278613.9578665,0.9889645545950919
2013-03-27,15558051.675966501,15358099.8284325,0.987148014950813
2013-03-28,15518301.675966501,15320399.8284325,0.9872471967831058
2013-03-29,15594351.675966501,15420199.8284325,0.9888323765455157
2013-04-01,15541801.675966501,15378551.0922115,0.9894960322388202
2013-04-02,15508501.675966501,15350001.0922115,0.9897797616386997
2013-04-03,15555851.675966501,15385501.0922115,0.9890490995090813
