fill_date,signal_date,code,side,quantity,fill_price,gross,fees_tax
2012-12-05,2012-12-04,2880,BUY,4601,16.358175,75263.963175,64.35068851462499
2012-12-05,2012-12-04,2886,BUY,3303,22.71135,75015.58905,64.13832863774999
2012-12-05,2012-12-04,2892,BUY,4249,17.658824999999997,75032.34742499999,64.15265704837499
2012-12-05,2012-12-04,5880,BUY,4702,15.957974999999998,75034.39845,64.15441067475
2012-12-05,2012-12-04,2412,BUY,342,93.14654999999999,31856.120099999996,27.236982685499996
2012-12-05,2012-12-04,3045,BUY,308,104.55225,32202.093,27.532789515
2012-12-05,2012-12-04,4904,BUY,449,71.0355,31894.9395,27.2701732725
2012-12-05,2012-12-04,0050,BUY,3809,53.326649999999994,203121.20984999998,173.66863442174997
2012-12-06,2012-12-05,2880,BUY,4551,16.50825,75129.04575,64.23533411625
2012-12-06,2012-12-05,2886,BUY,3286,22.861425,75122.64255,64.22985938025
2012-12-06,2012-12-05,2892,BUY,4195,17.908949999999997,75128.04525,64.23447868874999
2012-12-06,2012-12-05,5880,BUY,4650,16.158074999999997,75135.04874999999,64.24046668124998
2012-12-06,2012-12-05,2412,BUY,285,93.94695,26774.88075,22.892523041249998
2012-12-06,2012-12-05,3045,BUY,251,107.0535,26870.428499999998,22.9742163675
2012-12-06,2012-12-05,4904,BUY,373,72.036,26869.428,22.97336094
2012-12-06,2012-12-05,0050,BUY,4094,53.776875,220162.52625,188.23895994375
2012-12-07,2012-12-06,2880,BUY,4543,16.50825,74996.97975,64.12241768625
2012-12-07,2012-12-06,2886,BUY,3273,22.91145,74989.17585,64.11574535175
2012-12-07,2012-12-06,2892,BUY,4188,17.908949999999997,75002.68259999999,64.12729362299999
2012-12-07,2012-12-06,5880,BUY,4641,16.158074999999997,74989.62607499998,64.11613029412499
2012-12-07,2012-12-06,2412,BUY,240,94.047,22571.28,19.298444399999998
2012-12-07,2012-12-06,3045,BUY,211,107.0535,22588.2885,19.3129866675
2012-12-07,2012-12-06,4904,BUY,316,71.53575,22605.297,19.327528934999997
2012-12-07,2012-12-06,0050,BUY,4345,53.676824999999994,233225.80462499996,199.40806295437497
2012-12-10,2012-12-07,2880,BUY,4574,16.50825,75508.7355,64.55996885249999
2012-12-10,2012-12-07,2886,BUY,3286,22.91145,75287.0247,64.37040611849999
2012-12-10,2012-12-07,2892,BUY,4192,17.958975,75284.0232,64.36783983599999
2012-12-10,2012-12-07,5880,BUY,4659,16.158074999999997,75280.47142499998,64.36480306837498
2012-12-10,2012-12-07,2412,BUY,241,94.2471,22713.5511,19.4200861905
2012-12-10,2012-12-07,3045,BUY,214,107.0535,22909.449,19.587578895
2012-12-10,2012-12-07,4904,BUY,316,72.2361,22826.6076,19.516749498
2012-12-10,2012-12-07,0050,BUY,4302,53.92695,231993.7389,198.35464675949999
2012-12-11,2012-12-10,2880,BUY,3486,16.458225,57373.37235,49.05423335925
2012-12-11,2012-12-10,2886,BUY,2533,22.51125,57020.996250000004,48.75295179375
2012-12-11,2012-12-10,2892,BUY,3211,17.708849999999998,56863.11734999999,48.617965334249995
2012-12-11,2012-12-10,5880,BUY,3552,16.058025,57038.1048,48.767579604
2012-12-11,2012-12-10,2412,BUY,492,94.54724999999999,46517.246999999996,39.77224618499999
2012-12-11,2012-12-10,3045,BUY,432,108.05399999999999,46679.327999999994,39.910825439999996
2012-12-11,2012-12-10,4904,BUY,633,73.6368,46612.094399999994,39.85334071199999
2012-12-11,2012-12-10,0050,BUY,1456,53.676824999999994,78153.45719999999,66.82120590599999
2012-12-12,2012-12-11,2880,BUY,851,16.558275,14091.092024999998,12.047883681374998
2012-12-12,2012-12-11,2886,BUY,632,22.51125,14227.11,12.16417905
2012-12-12,2012-12-11,2892,BUY,787,18.009,14173.083,12.117985965
2012-12-12,2012-12-11,5880,BUY,869,16.208099999999998,14084.838899999999,12.042537259499998
2012-12-12,2012-12-11,2412,BUY,118,95.0475,11215.605,9.589342275
2012-12-12,2012-12-11,3045,BUY,104,108.05399999999999,11237.615999999998,9.608161679999998
2012-12-12,2012-12-11,4904,BUY,150,75.0375,11255.625,9.623559375
2012-12-12,2012-12-11,0050,BUY,392,53.826899999999995,21100.1448,18.040623804
2012-12-14,2012-12-13,2880,BUY,157,16.70835,2623.2109499999997,2.2428453622499998
2012-12-14,2012-12-13,2886,BUY,114,22.8114,2600.4996,2.223427158
2012-12-14,2012-12-13,2892,BUY,146,17.958975,2622.01035,2.24181884925
2012-12-14,2012-12-13,5880,BUY,161,16.208099999999998,2609.5040999999997,2.2311260054999997
2012-12-14,2012-12-13,2412,SELL,121,93.953,11368.313,43.824846615
2012-12-14,2012-12-13,3045,SELL,108,105.44725000000001,11388.303000000002,43.90190806500001
2012-12-14,2012-12-13,4904,SELL,155,73.96300000000001,11464.265000000001,44.194741575
2012-12-14,2012-12-13,0050,BUY,937,54.6273,51185.780099999996,43.763841985499994
2012-12-17,2012-12-14,2880,SELL,42,16.741625000000003,703.1482500000001,2.7106365037500004
2012-12-17,2012-12-14,2886,SELL,30,22.88855,686.6564999999999,2.6470608074999995
2012-12-17,2012-12-14,2892,SELL,39,17.991,701.649,2.704856895
2012-12-17,2012-12-14,5880,SELL,43,16.1919,696.2517,2.6840503035
2012-12-17,2012-12-14,2412,SELL,149,93.3533,13909.6417,53.621668753499996
2012-12-17,2012-12-14,3045,SELL,133,104.44775,13891.55075,53.55192814125
2012-12-17,2012-12-14,4904,SELL,189,73.46325,13884.554250000001,53.52495663375
2012-12-17,2012-12-14,0050,BUY,949,54.2271,51461.5179,43.9995978045
2012-12-19,2012-12-18,2880,SELL,38,16.69165,634.2827,2.4451598084999997
2012-12-19,2012-12-18,2886,SELL,28,22.988500000000002,643.6780000000001,2.4813786900000006
2012-12-19,2012-12-18,2892,SELL,35,17.991,629.685,2.427435675
2012-12-19,2012-12-18,5880,SELL,39,16.29185,635.38215,2.44939818825
2012-12-19,2012-12-18,2412,BUY,44,93.74685,4124.8614,3.5267564969999996
2012-12-19,2012-12-18,0050,SELL,829,53.923025,44702.187725,82.922558229875
2012-12-20,2012-12-19,2880,SELL,29,16.69165,484.05785,1.8660430117499998
2012-12-20,2012-12-19,2886,SELL,21,22.788600000000002,478.5606,1.844851113
2012-12-20,2012-12-19,2892,SELL,27,17.7911,480.3597,1.8517866434999999
2012-12-20,2012-12-19,5880,SELL,30,16.29185,488.7555,1.8841524525
2012-12-20,2012-12-19,2412,BUY,166,93.74685,15561.9771,13.3054904205
2012-12-20,2012-12-19,3045,BUY,147,106.053,15589.791,13.329271304999999
