id,layer,buy_id,sell_id,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
LIVE_KD_OPT,anchor,KD_SEASON,EQUAL,0.5406368575799236,0.6664522064959488,0.2516306978320504,PASS,PASS,True,True,0.0,,0.138044127365347,-0.21720270077643722
SELL_HIGH_WILLR14_GT_N20,SELL_HIGH,,WILLR14_GT_N20,-0.6553966700832636,-0.498249300330067,0.3142947395063933,PASS,PASS,True,False,-1.1960335276631873,4815.0,0.13818800105989615,-0.2288497158446975
X__CCI20_LT_N100__MFI14_GT80,CROSS,CCI20_LT_N100,MFI14_GT80,-0.6766961813160277,-0.41770782197494416,0.5179767186821671,ALERT,ALERT,False,False,-1.2173330388959513,4197.0,0.1340168971668425,-0.22804430106114626
SELL_HIGH_RSI14_GT70,SELL_HIGH,,RSI14_GT70,-0.9581198570181693,-0.8689359067189706,-0.17836790059839736,PASS,PASS,True,False,-1.498756714598093,3602.0,0.1417222809024763,-0.23255658190858652
X__CCI20_LT_N100__D9_GT80,CROSS,CCI20_LT_N100,D9_GT80,-0.9767053737818499,-0.7230747621249534,0.507261223313793,ALERT,ALERT,False,False,-1.5173422313617735,4862.0,0.13467372735007066,-0.23109797046264624
X__MACD_HIST_NEG__MACD_HIST_POS,CROSS,MACD_HIST_NEG,MACD_HIST_POS,-1.088170118362486,-0.7537599058125677,0.6688204250998364,ALERT,PASS,False,False,-1.6288069759424095,4771.0,0.1371883020340161,-0.23140482189952238
SELL_HIGH_K9_GT80,SELL_HIGH,,K9_GT80,-1.1657908285080176,-0.830029798525056,0.6715220599659233,PASS,ALERT,False,False,-1.7064276860879413,4537.0,0.13707112322681958,-0.23216752082664738
SELL_MAJ3,AGG,,MAJ3,-1.2594976905683342,-1.2023073533016904,-0.1143806745332876,PASS,PASS,True,False,-1.8001345481482578,5026.0,0.14114355603827056,-0.23589029637441383
SELL_HIGH_D9_GT80,SELL_HIGH,,D9_GT80,-1.267985453062681,-0.9577582265783646,-0.6204544529686329,PASS,PASS,True,False,-1.8086223106426047,4245.0,0.1429228782610903,-0.23344480510718046
X__MACD_HIST_NEG__RSI6_GT80,CROSS,MACD_HIST_NEG,RSI6_GT80,-1.3000994868396565,-1.2188617710269578,0.16247543162539735,PASS,PASS,True,False,-1.8407363444195801,3660.0,0.14018217030754565,-0.2360558405516664
SELL_HIGH_MFI14_GT80,SELL_HIGH,,MFI14_GT80,-1.4105284134421359,-1.08822070433654,-0.6446154182111918,PASS,PASS,True,False,-1.9511652710220595,3651.0,0.14420441547723484,-0.23474942988476222
SELL_HIGH_RSI6_GT80,SELL_HIGH,,RSI6_GT80,-1.4611616522991255,-1.090505770058492,-0.7413117644812672,PASS,PASS,True,False,-2.001798509879049,3834.0,0.14312893546975713,-0.23477228054198163
X__MACD_HIST_NEG__D9_GT80,CROSS,MACD_HIST_NEG,D9_GT80,-1.5126354492956295,-1.221323263158547,0.5826243722741653,PASS,PASS,True,False,-2.053272306875553,3969.0,0.13784232932335327,-0.2360804554729823
SELL_HIGH_CCI20_GT100,SELL_HIGH,,CCI20_GT100,-1.6730129897772672,-1.666918745532353,0.01218848848982823,PASS,PASS,True,False,-2.213649847357191,4393.0,0.14019657328304302,-0.24053641029672035
X__MACD_HIST_NEG__MFI14_GT80,CROSS,MACD_HIST_NEG,MFI14_GT80,-1.6832575031787256,-1.4938482053533098,0.37881859565083165,PASS,PASS,True,False,-2.223894360758649,3509.0,0.13980788986764425,-0.2388057048949298
BUY_LOW_BELOW_MA60,BUY_LOW,BELOW_MA60,,-1.7306477937666154,-1.24456975589331,0.9721560757466108,ALERT,ALERT,False,False,-2.271284651346539,5879.0,0.134930838219665,-0.23631292040032992
X__MACD_HIST_NEG__ABOVE_MA20,CROSS,MACD_HIST_NEG,ABOVE_MA20,-1.7971563443969885,-1.2731215174877852,1.0480696538184064,ALERT,PASS,False,False,-2.337793201976912,4848.0,0.13551588663106706,-0.23659843801627467
SELL_HIGH_K9_GT70,SELL_HIGH,,K9_GT70,-1.8506820715586736,-1.7003675080308422,-0.3006291270556627,PASS,PASS,True,False,-2.3913189291385972,4935.0,0.14296859618843105,-0.24087089792170524
SELL_OR_ALL,AGG,,OR_ALL,-2.061478998931876,-2.0126060956416225,0.09774580658050702,PASS,PASS,True,False,-2.6021158565117997,5491.0,0.13996704891317502,-0.24399328379781304
