date,nav_base,nav_l4,rel_l4_vs_base
2012-12-04,15000000.0,15000000.0,1.0
2012-12-05,15026155.563759875,15026155.563759875,1.0
2012-12-06,15021393.100334002,15021393.100334002,1.0
2012-12-07,15023086.449971627,15023086.449971627,1.0
2012-12-10,14937450.266564503,14937450.266564503,1.0
2012-12-11,14957101.425185002,14957101.425185002,1.0
2012-12-12,15102572.544046877,15102572.544046877,1.0
2012-12-13,15152327.919932626,15152327.919932626,1.0
2012-12-14,15127777.618297627,15127777.618297627,1.0
2012-12-17,15045227.618297627,15045227.618297627,1.0
2012-12-18,15072656.209215501,15072656.209215501,1.0
2012-12-19,15117179.508054502,15117179.508054502,1.0
2012-12-20,14942929.508054502,14942929.508054502,1.0
2012-12-21,14754479.508054502,14754479.508054502,1.0
2012-12-22,14786729.508054502,14786729.508054502,1.0
2012-12-24,14801979.508054502,14801979.508054502,1.0
2012-12-25,14973129.508054502,14973129.508054502,1.0
2012-12-26,14911879.508054502,14911879.508054502,1.0
2012-12-27,14942829.508054502,14942829.508054502,1.0
2012-12-28,15057679.508054502,15057679.508054502,1.0
2013-01-02,15181429.508054502,15181429.508054502,1.0
2013-01-03,15212729.508054502,15212729.508054502,1.0
2013-01-04,15096229.508054502,15096229.508054502,1.0
2013-01-07,15045579.508054502,15045579.508054502,1.0
2013-01-08,15053029.508054502,15053029.508054502,1.0
2013-01-09,15023029.508054502,15023029.508054502,1.0
2013-01-10,15224779.508054502,15224779.508054502,1.0
2013-01-11,15224829.508054502,15224829.508054502,1.0
2013-01-14,15223379.508054502,15223379.508054502,1.0
2013-01-15,15159429.508054502,15159429.508054502,1.0
2013-01-16,15062529.508054502,15062529.508054502,1.0
2013-01-17,14969029.508054502,14969029.508054502,1.0
2013-01-18,15110329.508054502,15110329.508054502,1.0
2013-01-21,15095079.508054502,15095079.508054502,1.0
2013-01-22,15166051.675966501,15166051.675966501,1.0
2013-01-23,15156351.675966501,15156351.675966501,1.0
2013-01-24,15061401.675966501,15061401.675966501,1.0
2013-01-25,15010401.675966501,15010401.675966501,1.0
2013-01-28,15150701.675966501,15150701.675966501,1.0
2013-01-29,15258401.675966501,15258401.675966501,1.0
2013-01-30,15270701.675966501,15270701.675966501,1.0
2013-01-31,15379151.675966501,15379151.675966501,1.0
2013-02-01,15411301.675966501,15411301.675966501,1.0
2013-02-04,15823051.675966501,15823051.675966501,1.0
2013-02-05,15740751.675966501,15740751.675966501,1.0
2013-02-06,15819901.675966501,15819901.675966501,1.0
2013-02-18,15815751.675966501,15815751.675966501,1.0
2013-02-19,15752701.675966501,15752701.675966501,1.0
2013-02-20,15961351.675966501,15961351.675966501,1.0
2013-02-21,15760151.675966501,15760151.675966501,1.0
2013-02-22,15748801.675966501,15748801.675966501,1.0
2013-02-23,15874401.675966501,15874401.675966501,1.0
2013-02-25,15741001.675966501,15741001.675966501,1.0
2013-02-26,15681801.675966501,15681801.675966501,1.0
2013-02-27,15657501.675966501,15657501.675966501,1.0
2013-03-01,15755251.675966501,15755251.675966501,1.0
2013-03-04,15526501.675966501,15526501.675966501,1.0
2013-03-05,15656701.675966501,15656701.675966501,1.0
2013-03-06,15644101.675966501,15644101.675966501,1.0
2013-03-07,15674201.675966501,15674201.675966501,1.0
2013-03-08,15904351.675966501,15904351.675966501,1.0
2013-03-11,15879951.675966501,15879951.675966501,1.0
2013-03-12,15756701.675966501,15756701.675966501,1.0
2013-03-13,15757901.675966501,15757901.675966501,1.0
2013-03-14,15725801.675966501,15725801.675966501,1.0
2013-03-15,15707951.675966501,15707951.675966501,1.0
2013-03-18,15469801.675966501,15469801.675966501,1.0
2013-03-19,15451951.675966501,15451951.675966501,1.0
2013-03-20,15366201.675966501,15366201.675966501,1.0
2013-03-21,15357051.675966501,15357051.675966501,1.0
2013-03-22,15291051.675966501,15291051.675966501,1.0
2013-03-25,15495701.675966501,15495701.675966501,1.0
2013-03-26,15449101.675966501,15449101.675966501,1.0
2013-03-27,15558051.675966501,15558051.675966501,1.0
2013-03-28,15518301.675966501,15518301.675966501,1.0
2013-03-29,15594351.675966501,15594351.675966501,1.0
2013-04-01,15541801.675966501,15541801.675966501,1.0
2013-04-02,15508501.675966501,15508501.675966501,1.0
2013-04-03,15555851.675966501,15555851.675966501,1.0
2013-04-08,15181101.675966501,15181101.675966501,1.0
2013-04-09,15190951.675966501,15190951.675966501,1.0
2013-04-10,15177251.675966501,15177251.675966501,1.0
2013-04-11,15243451.675966501,15243451.675966501,1.0
2013-04-12,15215751.675966501,15215751.675966501,1.0
2013-04-15,15152701.675966501,15152701.675966501,1.0
2013-04-16,15134951.675966501,15134951.675966501,1.0
2013-04-17,14995851.675966501,14995851.675966501,1.0
2013-04-18,14996601.675966501,14996601.675966501,1.0
2013-04-19,15223101.675966501,15223101.675966501,1.0
2013-04-22,15248851.675966501,15248851.675966501,1.0
2013-04-23,15270651.675966501,15270651.675966501,1.0
2013-04-24,15334151.675966501,15334151.675966501,1.0
2013-04-25,15307201.675966501,15307201.675966501,1.0
2013-04-26,15281051.675966501,15281051.675966501,1.0
2013-04-29,15292001.675966501,15292001.675966501,1.0
2013-04-30,15383051.675966501,15383051.675966501,1.0
2013-05-02,15461751.675966501,15461751.675966501,1.0
2013-05-03,15523201.675966501,15523201.675966501,1.0
2013-05-06,15521651.675966501,15521651.675966501,1.0
2013-05-07,15523501.675966501,15523501.675966501,1.0
2013-05-08,15613051.675966501,15613051.675966501,1.0
2013-05-09,15661501.675966501,15661501.675966501,1.0
2013-05-10,15633901.675966501,15633901.675966501,1.0
2013-05-13,15557051.675966501,15557051.675966501,1.0
2013-05-14,15562051.675966501,15562051.675966501,1.0
2013-05-15,15736751.675966501,15736751.675966501,1.0
2013-05-16,15974901.675966501,15974901.675966501,1.0
2013-05-17,15931201.675966501,15931201.675966501,1.0
2013-05-20,15921951.675966501,15921951.675966501,1.0
2013-05-21,15904251.675966501,15904251.675966501,1.0
2013-05-22,15926351.675966501,15926351.675966501,1.0
2013-05-23,15652001.675966501,15652001.675966501,1.0
2013-05-24,15559701.675966501,15559701.675966501,1.0
2013-05-27,15710101.675966501,15710101.675966501,1.0
2013-05-28,15715251.675966501,15715251.675966501,1.0
2013-05-29,15811001.675966501,15811001.675966501,1.0
2013-05-30,15580801.675966501,15580801.675966501,1.0
2013-05-31,15729501.675966501,15729501.675966501,1.0
2013-06-03,15509401.675966501,15509401.675966501,1.0
2013-06-04,15461301.675966501,15461301.675966501,1.0
2013-06-05,15436551.675966501,15436551.675966501,1.0
2013-06-06,15298551.675966501,15298551.675966501,1.0
2013-06-07,15354851.675966501,15354851.675966501,1.0
2013-06-10,15448251.675966501,15448251.675966501,1.0
2013-06-11,15383551.675966501,15383551.675966501,1.0
2013-06-13,15104751.675966501,15104751.675966501,1.0
2013-06-14,15108951.675966501,15108951.675966501,1.0
2013-06-17,15157251.675966501,15157251.675966501,1.0
2013-06-18,15223651.675966501,15223651.675966501,1.0
2013-06-19,15165451.675966501,15165451.675966501,1.0
2013-06-20,15057651.675966501,15057651.675966501,1.0
2013-06-21,14930751.675966501,14930751.675966501,1.0
2013-06-24,14872601.675966501,14872601.675966501,1.0
2013-06-25,14782051.675966501,14782051.675966501,1.0
2013-06-26,14926433.894599002,14918693.416637503,0.9994814248322033
2013-06-27,14974395.429438626,14967480.840086628,0.9995382391640062
2013-06-28,15347495.429438626,15362001.692270627,1.00094518763004
2013-07-01,15270145.429438626,15264586.902832627,0.9996359873171029
2013-07-02,15274045.429438626,15269587.685539627,0.9997081491004075
2013-07-03,15221995.429438626,15218437.685539627,0.9997662761156715
