fill_id,signal_date,fill_date,code,sleeve,side,quantity,fill_price,fill_price_adj,ohlc_basis,t1_drag_vs_signal_ext_pct,dh_exposure,cool_exposure_cf,defense_dh,defense_cool_cf,e16_financial,e16_telecom,e16_0050,mechanisms,extremes
2026-08-24-0050-BUY,2026-08-24,2026-08-25,0050,0050,BUY,32000,102.95145,102.95145,adj_close_scaled,-0.8175,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 0.5385, 'low': 102.4, 'high': 108.7, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 12.1475, 'low': 91.8, 'high': 113.75, 'n_bars': 43}}"
2026-08-24-2412-BUY,2026-08-24,2026-08-25,2412,TEL,BUY,75000,136.56825,136.56825,adj_close_scaled,0.7884,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.1617, 'low': 135.0, 'high': 137.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.1617, 'low': 135.0, 'high': 145.5, 'n_bars': 43}}"
2026-08-24-2880-BUY,2026-08-24,2026-08-25,2880,FIN,BUY,419000,39.169575,39.169575,adj_close_scaled,0.05,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.4756, 'low': 38.6, 'high': 42.2, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.0778, 'low': 38.0, 'high': 48.3, 'n_bars': 43}}"
2026-08-24-2886-BUY,2026-08-24,2026-08-25,2886,FIN,BUY,351000,46.873425,46.873425,adj_close_scaled,1.0203,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.6777, 'low': 46.1, 'high': 49.05, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.279, 'low': 44.95, 'high': 52.9, 'n_bars': 43}}"
2026-08-24-2892-BUY,2026-08-24,2026-08-25,2892,FIN,BUY,490000,33.516749999999995,33.51675,adj_close_scaled,0.8023,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 0.9541, 'low': 33.2, 'high': 35.9, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.2874, 'low': 32.45, 'high': 40.95, 'n_bars': 43}}"
2026-08-24-3045-BUY,2026-08-24,2026-08-25,3045,TEL,BUY,89000,115.0575,115.0575,adj_close_scaled,0.9276,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.5977, 'low': 110.0, 'high': 116.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 7.0302, 'low': 107.5, 'high': 125.5, 'n_bars': 43}}"
2026-08-24-4904-BUY,2026-08-24,2026-08-25,4904,TEL,BUY,100000,101.55075,101.55075,adj_close_scaled,1.0455,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.7543, 'low': 99.8, 'high': 102.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.5176, 'low': 98.1, 'high': 108.5, 'n_bars': 43}}"
2026-08-24-5880-BUY,2026-08-24,2026-08-25,5880,FIN,BUY,658000,25.0125,25.0125,adj_close_scaled,0.6539,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 2.0918, 'low': 24.5, 'high': 25.7, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.8742, 'low': 23.85, 'high': 27.6, 'n_bars': 43}}"
2026-08-25-0050-BUY,2026-08-25,2026-08-26,0050,0050,BUY,32000,104.15205,104.15205,adj_close_scaled,1.711,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.711, 'low': 102.4, 'high': 108.7, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 13.4554, 'low': 91.8, 'high': 113.75, 'n_bars': 43}}"
2026-08-25-2412-BUY,2026-08-25,2026-08-26,2412,TEL,BUY,75000,136.56825,136.56825,adj_close_scaled,0.4178,,1.0,False,False,0.6586994606191088,0.3074378163576171,0.033862723023274,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.1617, 'low': 135.0, 'high': 137.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 1.1617, 'low': 135.0, 'high': 146.0, 'n_bars': 43}}"
