id,family,fin_lo,fin_hi,flag,scale,exact_t1_ok,same_bar_fills,oof_cagr,oof_mdd,oof_n_days,full_cagr,full_mdd,mean_e45_equity_scale,oof_flag_day_share,covid_flag_day_share_descriptive,n_fills,mdd_improve_pp,cagr_giveback_pp,pass_oof,is_baseline,base_oof_cagr,base_oof_mdd
BASE,BASE,0.5,0.95,NONE,1.0,True,0,0.08846959052336945,-0.17412900003864262,1495,0.137829469400496,-0.22639131293777315,1.0,0.0,0.0,6262,0.0,0.0,False,True,,
L1_CRISIS_EQ_70,L1-CRISIS-EQ,0.5,0.95,CRISIS,0.7,True,0,0.08881820376248517,-0.15016999573903733,1495,0.12785722291197876,-0.20619199929288012,0.9621307072515667,0.08896321070234113,0.1388888888888889,6623,2.395900429960529,-0.034861323911572484,False,False,0.08846959052336945,-0.17412900003864262
L1_CRISIS_EQ_50,L1-CRISIS-EQ,0.5,0.95,CRISIS,0.5,True,0,0.08933802220873943,-0.1312021941571777,1495,0.12259631759698886,-0.19712901559766616,0.9368845120859445,0.08896321070234113,0.1388888888888889,6733,4.292680588146491,-0.08684316853699858,True,False,0.08846959052336945,-0.17412900003864262
L1_CRISIS_EQ_30,L1-CRISIS-EQ,0.5,0.95,CRISIS,0.3,True,0,0.08916301256558068,-0.11711154993133965,1495,0.1158612494531861,-0.19212672108462048,0.9116383169203223,0.08896321070234113,0.1388888888888889,6796,5.701745010730297,-0.06934220422112336,True,False,0.08846959052336945,-0.17412900003864262
L1_STRESS_VOL80_50,L1-STRESS-DET,0.5,0.95,VOL80,0.5,True,0,0.08518269008125978,-0.15660143590086417,1495,0.11513369674417273,-0.1842575133758192,0.8752611160847508,0.23745819397993312,0.9722222222222222,6504,1.752756413777845,0.32869004421096637,False,False,0.08846959052336945,-0.17412900003864262
L1_STRESS_DD10_50,L1-STRESS-DET,0.5,0.95,DD10,0.5,True,0,0.08631278238504159,-0.116955977241186,1495,0.12323329333480393,-0.17426940486409204,0.9000298418382572,0.1879598662207358,0.19444444444444445,6652,5.717302279745661,0.21568081383278592,True,False,0.08846959052336945,-0.17412900003864262
L1_STRESS_COMBO_70,L1-STRESS-DET,0.5,0.95,COMBO,0.7,True,0,0.084038560731162,-0.13903581368290685,1495,0.12052065062498896,-0.16784860032987048,0.894717994628469,0.33177257525083614,0.9722222222222222,6551,3.5093186355735773,0.44310297922074415,True,False,0.08846959052336945,-0.17412900003864262
L1_STRESS_COMBO_50,L1-STRESS-DET,0.5,0.95,COMBO,0.5,True,0,0.07891797801374434,-0.11808347711829903,1495,0.11168021613378931,-0.13686917710378643,0.8245299910474485,0.33177257525083614,0.9722222222222222,6245,5.604552292034359,0.9551612509625107,True,False,0.08846959052336945,-0.17412900003864262
L1_STRESS_COMBO_30,L1-STRESS-DET,0.5,0.95,COMBO,0.3,True,0,0.07454687282079564,-0.09476933534429255,1495,0.10278148721839475,-0.10219404413976863,0.754341987466428,0.33177257525083614,0.9722222222222222,5716,7.935966469435007,1.3922717702573806,True,False,0.08846959052336945,-0.17412900003864262
L1_GROSS_FLOOR_60_COMBO,L1-GROSS-FLOOR,0.5,0.95,COMBO,0.6,True,0,0.08133998362242267,-0.12812606409690475,1495,0.11605908337127557,-0.15241716291335117,0.8596239928379588,0.33177257525083614,0.9722222222222222,6378,4.600293594173788,0.7129606900946772,True,False,0.08846959052336945,-0.17412900003864262
L1_FINCAP50_CRISIS_50,L1-FINCAP-STACK,0.35,0.5,CRISIS,0.5,True,0,0.08039910359093927,-0.09780929462351196,1495,0.11688503895707192,-0.1696620475943469,0.9368845120859445,0.08896321070234113,0.1388888888888889,8636,7.631970541513066,0.8070486932430176,True,False,0.08846959052336945,-0.17412900003864262
L1_FINCAP50_COMBO_50,L1-FINCAP-STACK,0.35,0.5,COMBO,0.5,True,0,0.07417304390399981,-0.0909553078683576,1495,0.110999095529976,-0.12659680576969645,0.8245299910474485,0.33177257525083614,0.9722222222222222,8150,8.317369217028503,1.4296546619369632,True,False,0.08846959052336945,-0.17412900003864262
