date,nav,cash,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_telecom,pre_0050,tgt_financial,tgt_telecom,tgt_0050
2012-12-04,3000000.0,3000000.0,0.0,0.0,Bull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301771893592899,0.12702204456020372,0.24280076608050644
2012-12-05,3005640.906830944,2399639.856830944,606001.05,0.20162124112123195,Bull,1.0,0.0,0.0,0.0,0.12722421335527423,0.02566574064941649,0.0487312871165412,0.636375337583334,0.10840247374563913,0.255222188671027
2012-12-06,3004102.2362592574,1797892.7362592574,1206209.5,0.4015207889535697,Bull,1.0,0.0,0.0,0.0,0.2550325320998432,0.04626823225999044,0.10022002459373597,0.6443969881539686,0.09599420897572133,0.25960880287030996
2012-12-07,3005629.2857259507,1196271.2357259507,1809358.05,0.6019897592137632,Bull,1.0,0.0,0.0,0.0,0.3849199418884977,0.06281000817251588,0.1542598091527495,0.6512976129341663,0.09153931884478472,0.25716306822104895
2012-12-10,2989048.7370491605,594060.0870491607,2394988.65,0.8012544661163248,Bull,1.0,0.0,0.0,0.0,0.5163113036167994,0.07860845394978769,0.20633470854973768,0.6470332926930142,0.12214088065362436,0.23082582665336138
2012-12-11,2992765.616626627,147714.31662662677,2845051.3,0.950642871661588,Bull,1.0,0.0,0.0,0.0,0.6147793665425361,0.11165598740627651,0.2242075177127755,0.6470332926930142,0.12214088065362436,0.23082582665336138
2012-12-12,3021538.972470854,36311.42247085403,2985227.55,0.9879824742286344,Bull,1.0,0.0,0.0,0.0,0.6410441393102647,0.11806149225614235,0.22887684266222746,0.6470332926930142,0.12214088065362436,0.23082582665336138
2012-12-13,3033771.922470854,36311.42247085403,2997460.5,0.9880309319886907,Bull,1.0,0.0,0.0,0.0,0.6406090008299467,0.11693983894183407,0.23048209221691013,0.6492378756453551,0.10519303117082926,0.2455690931838156
2012-12-14,3025785.8827186157,8958.582718615784,3016827.3,0.9970392542414248,Bull,1.0,0.0,0.0,0.0,0.6492632579258724,0.10756666618708909,0.2402093301284634,0.6492378756453551,0.0975504801382798,0.2532116442163651
2012-12-17,3006086.932718616,8958.582718615784,2997128.35,0.9970198524130791,Bull,1.0,0.0,0.0,0.0,0.649948086575474,0.10841100317257696,0.23866076266502814,0.6549092564012665,0.10494410121326637,0.24014664238546718
2012-12-18,3011252.732718616,8958.582718615784,3002294.15,0.9970249648522435,Bull,1.0,0.0,0.0,0.0,0.6497679615996664,0.10878299799972645,0.23847400525285062,0.6549092564012665,0.11091391862713934,0.2341768249715942
2012-12-19,3020100.082718616,8958.582718615784,3011141.5,0.9970336801850117,Bull,1.0,0.0,0.0,0.0,0.6503661952261873,0.10822604915323698,0.23844143580558738,0.6549092564012665,0.11091391862713934,0.2341768249715942
2012-12-20,2985000.832718616,8958.582718615784,2976042.25,0.9969988005964954,Bull,1.0,0.0,0.0,0.0,0.650500974310127,0.10817276714322381,0.23832505914314459,0.6549092564012665,0.10259650413510933,0.24249423946362422
2012-12-21,2950317.832718616,8958.582718615784,2941359.25,0.9969635194488993,Bull,1.0,0.0,0.0,0.0,0.6489281692867015,0.10804493552013932,0.2399904146420585,0.6540055105625788,0.08973389988449217,0.2562605895529291
2012-12-22,2957045.557103781,4454.157103780904,2952591.4,0.9984937137363066,Bull,1.0,0.0,0.0,0.0,0.6518680936008144,0.09430673103093241,0.25231888910455974,0.6540055105625788,0.0827702728901306,0.2632242165472906
2012-12-24,2957741.657103781,4454.157103780904,2953287.5,0.9984940682384875,Bull,1.0,0.0,0.0,0.0,0.6530934151603699,0.09433217378194099,0.2510684792961767,0.6540055105625788,0.0827702728901306,0.2632242165472906
2012-12-25,2994545.657103781,4454.157103780904,2990091.5,0.9985125766597631,Bull,1.0,0.0,0.0,0.0,0.6520837628131465,0.09421105312946065,0.25221776071715596,0.6540055105625788,0.0827702728901306,0.2632242165472906
2012-12-26,2983044.6071037813,4454.157103780904,2978590.45,0.9985068419382084,Bull,1.0,0.0,0.0,0.0,0.6512248074915947,0.09456422452692675,0.25271780991968673,0.6540055105625788,0.0827702728901306,0.2632242165472906
2012-12-27,2987808.907103781,4454.157103780904,2983354.75,0.998509222898027,Bull,1.0,0.0,0.0,0.0,0.651847511187686,0.09458268878177091,0.2520790229285701,0.663810385234296,0.07954930771503566,0.2566403070506683
2012-12-28,3009665.876199104,23359.32619910366,2986306.5500000003,0.9922385649570497,Bull,1.0,0.0,0.0,0.0,0.652700276643614,0.0842369918883408,0.25530129642509475,0.663810385234296,0.08805942688348942,0.24813018788221458
2013-01-02,3036880.5761991036,23359.32619910366,3013521.25,0.9923081182769657,Bull,1.0,0.0,0.0,0.0,0.6536909832933278,0.08278198424076516,0.2558351507428728,0.663810385234296,0.08805942688348942,0.24813018788221458
2013-01-03,3046924.8761991034,23359.32619910366,3023565.55,0.9923334748481744,Bull,1.0,0.0,0.0,0.0,0.6539321548634729,0.08130023222266437,0.2571010877620372,0.663810385234296,0.08221149177450225,0.25397812299120176
2013-01-04,3023305.4761991035,23359.32619910366,2999946.15,0.9922735805617396,Bull,1.0,0.0,0.0,0.0,0.6521963015391122,0.08262099280620291,0.2574562862164245,0.6610948769306977,0.07407886560548539,0.264826257463817
2013-01-07,3011935.876199104,23359.32619910366,2988576.5500000003,0.9922444145030798,Bull,1.0,0.0,0.0,0.0,0.6515489142738556,0.0834528058801821,0.25724269434904196,0.6610948769306977,0.07407886560548539,0.264826257463817
2013-01-08,3009926.876199104,23359.32619910366,2986567.5500000003,0.9922392379749101,Bull,1.0,0.0,0.0,0.0,0.6525130113726,0.08397257155933668,0.2557536550429733,0.6662989471811633,0.07224093844379413,0.2614601143750425
2013-01-09,3006944.026199104,23359.32619910366,2983584.7,0.9922315393982805,Bull,1.0,0.0,0.0,0.0,0.6521092121819771,0.08316503327669243,0.25695729393961086,0.6662989471811633,0.07224093844379413,0.2614601143750425
2013-01-10,3045045.4261991037,23359.32619910366,3021686.1,0.9923287429480941,Bull,1.0,0.0,0.0,0.0,0.6541128033305614,0.08259774972025474,0.2556181898972779,0.6662989471811633,0.07224093844379413,0.2614601143750425
2013-01-11,3045045.3261991036,23359.32619910366,3021686.0,0.9923287426961682,Bull,1.0,0.0,0.0,0.0,0.6547446052268182,0.08220045128603566,0.25538368618331436,0.6662989471811633,0.07224093844379413,0.2614601143750425
2013-01-14,3045094.0761991036,23359.32619910366,3021734.75,0.9923288655080696,Bull,1.0,0.0,0.0,0.0,0.6544426543588002,0.08227210514057672,0.2556141060086928,0.6662989471811633,0.07224093844379413,0.2614601143750425
2013-01-15,3029984.1761991037,23359.32619910366,3006624.85,0.9922906111581064,Bull,1.0,0.0,0.0,0.0,0.655346508274807,0.08241208055193204,0.25453202233136735,0.6662989471811633,0.07224093844379413,0.2614601143750425
2013-01-16,3010708.726199104,23359.32619910366,2987349.4000000004,0.9922412533647538,Bull,1.0,0.0,0.0,0.0,0.6547135174010998,0.08278924421714925,0.25473849174650465,0.6662989471811633,0.07224093844379413,0.2614601143750425
