date,nav,cash,receivables,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_fin_pub,pre_fin_priv,pre_telecom,pre_0050,pre_def,tgt_financial,tgt_fin_pub,tgt_fin_priv,tgt_telecom,tgt_0050,tgt_def
2012-12-04,500000000.0,500000000.0,0.0,0.0,0.0,Bull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7605374275467912,0.0,0.0,0.09358252930654479,0.14588004314666395,0.0
2012-12-05,500960597.8842055,400153047.8842055,0.0,100807550.0,0.20122850065605588,Bull,1.0,0.0,0.0,0.0,0.15347823825811532,0.0,0.0,0.018566330444515076,0.029183931953425484,0.0,0.7727559384322212,0.0,0.0,0.0776868969799086,0.14955716458787016,0.0
2012-12-06,500778853.35687506,299979253.35687506,0.0,200799600.0,0.4009745991748221,Bull,1.0,0.0,0.0,0.0,0.30871291581840826,0.0,0.0,0.03317931635615438,0.05908236700025945,0.0,0.7886613430317571,0.0,0.0,0.06576517273493146,0.1455734842333115,0.0
2012-12-07,500862952.8437164,199911852.8437164,0.0,300951100.0,0.6008651633971127,Bull,1.0,0.0,0.0,0.0,0.4687901124786608,0.0,0.0,0.043723736953715765,0.0883513139647361,0.0,0.8024373798334872,0.0,0.0,0.056823879551198594,0.14073874061531422,0.0
2012-12-10,497689604.0467893,99734904.04678932,0.0,397954700.0,0.7996042046371278,Bull,1.0,0.0,0.0,0.0,0.6337743393377093,0.0,0.0,0.05102577950897391,0.1148040857904446,0.0,0.7939482008598945,0.0,0.0,0.07647384003344876,0.1295779591066568,0.0
2012-12-11,498617178.4846339,24952028.48463393,0.0,473665150.0,0.9499575434595604,Bull,1.0,0.0,0.0,0.0,0.7543547760290242,0.0,0.0,0.07014399324606871,0.12545877418446746,0.0,0.7939482008598945,0.0,0.0,0.07647384003344876,0.1295779591066568,0.0
2012-12-12,503631597.25421804,6274897.254218057,0.0,497356700.0,0.9875406998122664,Bull,1.0,0.0,0.0,0.0,0.7855351057338501,0.0,0.0,0.0737463658008978,0.12825922827751848,0.0,0.7939482008598945,0.0,0.0,0.07647384003344876,0.1295779591066568,0.0
2012-12-13,505460997.25421804,6274897.254218057,0.0,499186100.0,0.9875857933880067,Bull,1.0,0.0,0.0,0.0,0.7852995624909961,0.0,0.0,0.07307388740307355,0.12921234349393707,0.0,0.7983540482230819,0.0,0.0,0.06485538002508656,0.13679057175183157,0.0
2012-12-14,504823547.25421804,6274897.254218057,0.0,498548650.0,0.9875701177404506,Bull,1.0,0.0,0.0,0.0,0.7867973912080253,0.0,0.0,0.0725798156589334,0.1281929108734919,0.0,0.7983540482230819,0.0,0.0,0.06485538002508656,0.13679057175183157,0.0
2012-12-17,501982397.25421804,6274897.254218057,0.0,495707500.0,0.9874997663492964,Bull,1.0,0.0,0.0,0.0,0.7871640562724527,0.0,0.0,0.07308224392063926,0.12725346615620442,0.0,0.8097272355018117,0.0,0.0,0.06376831505645458,0.1265044494417337,0.0
2012-12-18,502883791.4032612,1457791.403261182,0.0,501426000.0,0.9971011366280204,Bull,1.0,0.0,0.0,0.0,0.8039331489922787,0.0,0.0,0.06655633085052132,0.12661165678522024,0.0,0.8097272355018117,0.0,0.0,0.06376831505645458,0.1265044494417337,0.0
