date,nav,dividend_credit
2012-12-04,3000000.0,0.0
2012-12-05,3005661.9052330507,0.0
2012-12-06,3004637.5571767353,0.0
2012-12-07,3005129.4742792607,0.0
2012-12-10,2984929.697590946,0.0
2012-12-11,2989095.530843341,0.0
2012-12-12,3021203.9998724367,0.0
2012-12-13,3032286.6498724367,0.0
2012-12-14,3028709.6498724367,0.0
2012-12-17,3010944.3998724367,0.0
2012-12-18,3015709.229808702,0.0
2012-12-19,3025633.229808702,0.0
2012-12-20,2990994.0298087024,0.0
2012-12-21,2953048.229808702,0.0
2012-12-22,2959565.9798087026,0.0
2012-12-24,2962918.7798087024,0.0
2012-12-25,2997272.9298087023,0.0
2012-12-26,2984187.329808702,0.0
2012-12-27,2990231.329808702,0.0
2012-12-28,3010781.3176259096,0.0
2013-01-02,3039526.611818147,0.0
2013-01-03,3049647.661818147,0.0
2013-01-04,3022345.9118181467,0.0
2013-01-07,3009755.111818147,0.0
2013-01-08,3010306.411818147,0.0
2013-01-09,3006132.8118181466,0.0
2013-01-10,3048712.1618181467,0.0
2013-01-11,3050115.261818147,0.0
2013-01-14,3049536.6618181467,0.0
2013-01-15,3036499.911818147,0.0
2013-01-16,3015864.811818147,0.0
2013-01-17,2995458.611818147,0.0
2013-01-18,3023616.6618181467,0.0
2013-01-21,3019687.1618181467,0.0
2013-01-22,3033840.5910333255,0.0
2013-01-23,3030558.73620792,0.0
2013-01-24,3010209.33620792,0.0
2013-01-25,3000131.63620792,0.0
2013-01-28,3034479.864379573,0.0
2013-01-29,3054085.764379573,0.0
2013-01-30,3057530.2143795732,0.0
2013-01-31,3082275.0643795733,0.0
2013-02-01,3088855.664379573,0.0
2013-02-04,3178937.3143795733,0.0
2013-02-05,3163316.2143795732,0.0
2013-02-06,3181552.414379573,0.0
2013-02-18,3185662.9143795734,0.0
2013-02-19,3173160.164379573,0.0
2013-02-20,3218635.5643795733,0.0
2013-02-21,3176082.3143795733,0.0
2013-02-22,3172868.114379573,0.0
2013-02-23,3198712.614379573,0.0
2013-02-25,3170190.014379573,0.0
2013-02-26,3157710.7143795732,0.0
2013-02-27,3153655.4643795732,0.0
2013-03-01,3174481.764379573,0.0
2013-03-04,3125132.014379573,0.0
2013-03-05,3153755.114379573,0.0
2013-03-06,3149479.2143795732,0.0
2013-03-07,3154816.014379573,0.0
2013-03-08,3204943.514379573,0.0
2013-03-11,3199463.414379573,0.0
2013-03-12,3173276.764379573,0.0
2013-03-13,3172289.164379573,0.0
2013-03-14,3166473.614379573,0.0
2013-03-15,3162804.0643795733,0.0
2013-03-18,3112785.264379573,0.0
2013-03-19,3111112.4143795734,0.0
2013-03-20,3094623.164379573,0.0
2013-03-21,3092124.914379573,0.0
2013-03-22,3077744.414379573,0.0
2013-03-25,3121849.914379573,0.0
2013-03-26,3110293.7143795732,0.0
2013-03-27,3135678.364379573,0.0
2013-03-28,3127031.914379573,0.0
2013-03-29,3140503.664379573,0.0
2013-04-01,3128118.614379573,0.0
2013-04-02,3119429.614379573,0.0
2013-04-03,3132603.864379573,0.0
2013-04-08,3050185.8143795733,0.0
2013-04-09,3053789.0643795733,0.0
2013-04-10,3053064.7143795732,0.0
2013-04-11,3065586.114379573,0.0
2013-04-12,3057986.364379573,0.0
2013-04-15,3043108.514379573,0.0
2013-04-16,3036871.064379573,0.0
2013-04-17,3004691.8143795733,0.0
2013-04-18,3005758.39534793,0.0
2013-04-19,3051373.64534793,0.0
2013-04-22,3056004.59534793,0.0
2013-04-23,3060521.240907121,0.0
2013-04-24,3075018.290907121,0.0
2013-04-25,3068029.690907121,0.0
2013-04-26,3060591.390907121,0.0
2013-04-29,3061387.340907121,0.0
2013-04-30,3080965.440907121,0.0
2013-05-02,3094845.2909071213,0.0
2013-05-03,3107134.890907121,0.0
2013-05-06,3107359.040907121,0.0
2013-05-07,3108894.640907121,0.0
2013-05-08,3126190.690907121,0.0
2013-05-09,3134952.440907121,0.0
2013-05-10,3129781.940907121,0.0
2013-05-13,3113127.390907121,0.0
2013-05-14,3114544.140907121,0.0
2013-05-15,3143939.4909071214,0.0
2013-05-16,3193610.240907121,0.0
2013-05-17,3186865.940907121,0.0
2013-05-20,3186626.640907121,0.0
2013-05-21,3182371.340907121,0.0
2013-05-22,3187714.690907121,0.0
2013-05-23,3129975.4409071207,0.0
2013-05-24,3111030.015448785,0.0
2013-05-27,3142418.2154487846,0.0
2013-05-28,3141817.165448785,0.0
2013-05-29,3161997.1154487845,0.0
2013-05-30,3119337.7154487846,0.0
2013-05-31,3151506.3154487847,0.0
2013-06-03,3105238.665448785,0.0
2013-06-04,3096109.3654487845,0.0
2013-06-05,3090065.2154487846,0.0
2013-06-06,3060458.5154487845,0.0
2013-06-07,3070798.3654487845,0.0
2013-06-10,3089841.7154487846,0.0
2013-06-11,3076845.9654487846,0.0
2013-06-13,3022429.8154487847,0.0
2013-06-14,3018993.6154487845,0.0
2013-06-17,3027874.5654487847,0.0
2013-06-18,3039738.9628746915,0.0
2013-06-19,3027699.112874692,0.0
2013-06-20,3006884.612874692,0.0
2013-06-21,2982286.9128746917,0.0
2013-06-24,2969176.7628746917,0.0
2013-06-25,2948853.4628746915,0.0
2013-06-26,2976936.2036160743,0.0
2013-06-27,2984777.6367036575,0.0
2013-06-28,3058503.7367036575,0.0
2013-07-01,3043194.236703657,0.0
2013-07-02,3043888.5367036574,0.0
2013-07-03,3034233.736703657,0.0
2013-07-04,3033614.836703657,0.0
2013-07-05,3050068.0367036574,0.0
2013-07-08,3033790.036703657,7419.5
2013-07-09,3068086.1367036575,0.0
2013-07-10,3094778.0867036576,0.0
2013-07-11,3143104.086703657,0.0
2013-07-12,3157420.486703657,0.0
2013-07-15,3168479.6367036575,0.0
2013-07-16,3170488.8867036575,0.0
2013-07-17,3194529.604077904,8062.450000000001
2013-07-18,3194393.5197069584,0.0
2013-07-19,3174384.3197069583,0.0
2013-07-22,3184371.116059048,0.0
2013-07-23,3213542.216059048,0.0
2013-07-24,3203782.408897297,3402.0
2013-07-25,3187663.0805778885,0.0
2013-07-26,3198243.001043859,0.0
2013-07-29,3189487.403391732,0.0
2013-07-30,3209121.6533917314,0.0
2013-07-31,3190844.2533917315,0.0
2013-08-01,3199280.5033917315,0.0
2013-08-02,3186987.2533917315,15825.6
2013-08-05,3190124.6474712673,0.0
2013-08-06,3156935.597471267,0.0
2013-08-07,3132914.8474712675,0.0
2013-08-08,3121223.597471267,0.0
2013-08-09,3101405.303032882,0.0
2013-08-12,3121607.003032882,0.0
2013-08-13,3115589.3030328816,35104.3
2013-08-14,3082064.7400935413,14044.400000000001
2013-08-15,3034241.0900935414,24030.5
2013-08-16,3040820.346200352,0.0
2013-08-19,3036559.9462003517,0.0
2013-08-20,3032397.896200352,0.0
2013-08-22,3025922.8669469836,0.0
2013-08-23,3028231.6010318925,0.0
2013-08-26,3038224.801031892,0.0
2013-08-27,3031097.41359939,0.0
2013-08-28,3024131.8056051424,0.0
2013-08-29,3029050.159741865,0.0
2013-08-30,3064171.3597418647,0.0
2013-09-02,3059250.676456323,0.0
2013-09-03,3087136.3944206387,0.0
2013-09-04,3111206.294420639,0.0
2013-09-05,3118741.761382141,0.0
2013-09-06,3114417.6613821415,0.0
2013-09-09,3111755.3613821412,0.0
2013-09-10,3134561.5613821414,0.0
2013-09-11,3139705.4613821413,0.0
2013-09-12,3150761.261382141,0.0
2013-09-13,3144561.3613821412,0.0
2013-09-14,3132008.0613821414,0.0
2013-09-16,3170962.8613821412,0.0
2013-09-17,3177482.1613821415,0.0
2013-09-18,3165490.4613821413,0.0
2013-09-23,3213479.1613821415,0.0
2013-09-24,3212873.761382141,0.0
2013-09-25,3215590.6542451857,0.0
2013-09-26,3162595.0542451856,0.0
2013-09-27,3192272.6542451857,0.0
2013-09-30,3154966.3542451854,0.0
2013-10-01,3161164.5042451853,0.0
2013-10-02,3144681.1042451854,0.0
2013-10-03,3212956.1542451857,0.0
2013-10-04,3220335.4542451855,0.0
2013-10-07,3217391.0542451856,0.0
2013-10-08,3237030.6542451857,0.0
2013-10-09,3224583.8042451856,0.0
2013-10-11,3226572.0542451856,0.0
2013-10-14,3214052.3745987564,0.0
2013-10-15,3239610.4245987562,0.0
2013-10-16,3227955.9745987565,0.0
2013-10-17,3224967.6741103334,0.0
2013-10-18,3231637.1241103336,0.0
2013-10-21,3212212.3741103336,0.0
2013-10-22,3207423.8741103336,0.0
2013-10-23,3212708.1741103334,0.0
2013-10-24,3222096.4241103334,7713.900000000001
2013-10-25,3200516.2741103335,0.0
2013-10-28,3228719.0241103335,0.0
2013-10-29,3213112.4741103337,0.0
2013-10-30,3235988.7741103335,0.0
2013-10-31,3245628.3241103333,0.0
2013-11-01,3219356.0241103335,0.0
2013-11-04,3188578.5741103333,0.0
2013-11-05,3173203.7741103335,0.0
2013-11-06,3173694.8741103336,0.0
2013-11-07,3155640.6741103334,0.0
2013-11-08,3163680.1374069285,0.0
2013-11-11,3138254.2374069286,0.0
2013-11-12,3156350.6374069285,0.0
2013-11-13,3120346.0374069284,0.0
2013-11-14,3121600.6874069283,0.0
2013-11-15,3131115.7874069284,0.0
2013-11-18,3135562.4874069286,0.0
2013-11-19,3142404.1374069285,0.0
2013-11-20,3134364.3374069287,0.0
2013-11-21,3099709.9374069283,0.0
2013-11-22,3124280.3374069287,0.0
2013-11-25,3165819.1874069283,0.0
2013-11-26,3165001.5374069284,0.0
2013-11-27,3172136.8374069287,0.0
2013-11-28,3192009.4874069286,0.0
2013-11-29,3200151.9874069286,0.0
2013-12-02,3195646.9874069286,0.0
2013-12-03,3182152.087406928,0.0
2013-12-04,3192450.3874069285,0.0
2013-12-05,3181596.1374069285,0.0
2013-12-06,3163655.8874069285,0.0
2013-12-09,3202780.7374069286,0.0
2013-12-10,3218291.5374069284,0.0
2013-12-11,3230831.8374069287,0.0
2013-12-12,3195702.9374069283,0.0
2013-12-13,3216447.5874069287,0.0
2013-12-16,3194614.3874069285,0.0
2013-12-17,3187265.6374069285,0.0
2013-12-18,3187891.1374069285,0.0
2013-12-19,3195976.9874069286,0.0
2013-12-20,3185643.3374069287,0.0
2013-12-23,3193006.5019563176,0.0
2013-12-24,3191060.9019563175,0.0
2013-12-25,3201190.9519563178,0.0
2013-12-26,3207129.401956318,0.0
2013-12-27,3218319.551956318,0.0
2013-12-30,3253808.7519563176,0.0
2013-12-31,3243577.551956318,0.0
2014-01-02,3247023.9019563175,0.0
2014-01-03,3215553.2019563178,0.0
2014-01-06,3204442.2019563178,0.0
2014-01-07,3197832.551956318,0.0
2014-01-08,3203030.4019563175,0.0
2014-01-09,3204935.3519563177,0.0
2014-01-10,3206257.801956318,0.0
2014-01-13,3217389.8519563177,0.0
2014-01-14,3220720.5019563176,0.0
2014-01-15,3227382.151956318,0.0
2014-01-16,3230300.2519563176,0.0
2014-01-17,3225719.455401111,0.0
2014-01-20,3232831.725509884,0.0
2014-01-21,3219156.2755098836,0.0
2014-01-22,3233519.575509884,0.0
2014-01-23,3217826.725509884,0.0
2014-01-24,3231328.025509884,0.0
2014-01-27,3183942.525509884,0.0
2014-02-05,3117304.025509884,0.0
2014-02-06,3122120.925509884,0.0
2014-02-07,3142669.275509884,0.0
2014-02-10,3140211.375509884,0.0
2014-02-11,3143255.675509884,0.0
2014-02-12,3167427.475509884,0.0
2014-02-13,3154746.675509884,0.0
2014-02-14,3171661.175509884,0.0
2014-02-17,3170468.025509884,0.0
2014-02-18,3193413.875509884,0.0
2014-02-19,3192245.825509884,0.0
2014-02-20,3164920.875509884,0.0
2014-02-21,3202708.375509884,0.0
2014-02-24,3189471.225509884,0.0
2014-02-25,3178838.575509884,0.0
2014-02-26,3177865.525509884,0.0
2014-02-27,3196235.8755098837,0.0
2014-03-03,3166259.475509884,0.0
2014-03-04,3149009.925509884,0.0
2014-03-05,3157598.2755098836,0.0
2014-03-06,3185292.9755098843,0.0
2014-03-07,3203709.575509884,0.0
2014-03-10,3180246.475509884,0.0
2014-03-11,3167053.425509884,0.0
2014-03-12,3170136.5669362172,0.0
2014-03-13,3160772.8169362172,0.0
2014-03-14,3145383.0169362174,0.0
2014-03-17,3151972.366936217,0.0
2014-03-18,3163495.5669362172,0.0
2014-03-19,3150464.5669362172,0.0
2014-03-20,3120061.6669362173,0.0
2014-03-21,3117175.3169362172,0.0
2014-03-24,3129059.966936217,0.0
2014-03-25,3136408.8169362172,0.0
2014-03-26,3146311.6669362173,0.0
2014-03-27,3136423.5669362172,0.0
2014-03-28,3165478.966936217,0.0
2014-03-31,3185185.5169362174,0.0
2014-04-01,3189269.0669362177,0.0
2014-04-02,3178795.4169362173,0.0
2014-04-03,3187612.2669362174,0.0
2014-04-07,3178001.9669362176,0.0
2014-04-08,3192680.216936217,0.0
2014-04-09,3202141.116936217,0.0
2014-04-10,3214882.7669362174,0.0
2014-04-11,3211094.6169362175,0.0
2014-04-14,3207122.6669362173,0.0
2014-04-15,3197421.0669362172,0.0
2014-04-16,3189132.616936217,0.0
2014-04-17,3204404.4169362173,0.0
2014-04-18,3208470.966936217,0.0
2014-04-21,3196352.9169362173,0.0
2014-04-22,3193796.3169362172,0.0
2014-04-23,3185330.9169362173,0.0
2014-04-24,3192288.1169362175,0.0
2014-04-25,3152652.3630086016,0.0
2014-04-28,3159230.113008602,0.0
2014-04-29,3173479.563008602,0.0
2014-04-30,3146337.9630086017,0.0
2014-05-02,3174988.6089999685,0.0
2014-05-05,3165051.91457413,0.0
2014-05-06,3183569.737118707,0.0
2014-05-07,3185146.637118707,0.0
2014-05-08,3199728.487118707,0.0
2014-05-09,3192498.937118707,0.0
2014-05-12,3173259.737118707,0.0
2014-05-13,3180357.537118707,0.0
2014-05-14,3197255.437118707,0.0
2014-05-15,3201505.0871187067,0.0
2014-05-16,3205161.687118707,0.0
2014-05-19,3207792.237118707,0.0
2014-05-20,3200823.137118707,0.0
2014-05-21,3191231.1871187068,0.0
2014-05-22,3228782.137118707,0.0
2014-05-23,3245085.587118707,0.0
2014-05-26,3249399.2145517496,0.0
2014-05-27,3262499.3145517497,0.0
2014-05-28,3297981.557199328,0.0
2014-05-29,3294356.4571993276,0.0
2014-05-30,3324086.2137480397,0.0
2014-06-03,3322202.7044635983,0.0
2014-06-04,3304994.4349878747,0.0
2014-06-05,3305448.1849878747,0.0
2014-06-06,3310521.634987875,0.0
2014-06-09,3313482.4349878747,0.0
2014-06-10,3339188.134987875,0.0
2014-06-11,3331585.4349878747,0.0
2014-06-12,3335015.9349878747,0.0
2014-06-13,3336575.6849878747,0.0
2014-06-16,3335406.634987875,0.0
2014-06-17,3342362.6849878747,0.0
2014-06-18,3345634.0849878746,0.0
2014-06-19,3345590.0849878746,0.0
2014-06-20,3324899.243619653,0.0
2014-06-23,3339825.3936196533,0.0
2014-06-24,3356375.8936196533,0.0
2014-06-25,3365654.543619653,0.0
2014-06-26,3384114.3936196533,0.0
2014-06-27,3386695.893619653,3690.3999999999996
2014-06-30,3390712.543619653,0.0
2014-07-01,3397443.093619653,0.0
2014-07-02,3402345.843619653,0.0
2014-07-03,3383351.593619653,0.0
2014-07-04,3386207.543619653,0.0
2014-07-07,3378150.243619653,0.0
2014-07-08,3410424.943619653,0.0
