date,nav,dividend_credit
2012-12-04,3000000.0,0.0
2012-12-05,3005661.9052330507,0.0
2012-12-06,3004637.5571767353,0.0
2012-12-07,3005129.4742792607,0.0
2012-12-10,2984929.697590946,0.0
2012-12-11,2989101.849254154,0.0
2012-12-12,3020349.479063588,0.0
2012-12-13,3031240.3784271805,0.0
2012-12-14,3027643.22842718,0.0
2012-12-17,3009897.3784271805,0.0
2012-12-18,3014697.5079084076,0.0
2012-12-19,3024606.1079084077,0.0
2012-12-20,2989910.8079084074,0.0
2012-12-21,2952024.1579084075,0.0
2012-12-22,2958497.457908408,0.0
2012-12-24,2961812.9579084073,0.0
2012-12-25,2996204.5079084076,0.0
2012-12-26,2983142.9579084073,0.0
2012-12-27,2989217.8579084077,0.0
2012-12-28,3009910.2822390106,0.0
2013-01-02,3038464.7394584427,0.0
2013-01-03,3048480.689458443,0.0
2013-01-04,3021374.6394584426,0.0
2013-01-07,3008859.389458443,0.0
2013-01-08,3009369.8894584426,0.0
2013-01-09,3005166.1394584426,0.0
2013-01-10,3047654.548147428,0.0
2013-01-11,3049112.498147428,0.0
2013-01-14,3048531.6981474278,0.0
2013-01-15,3035480.998147428,0.0
2013-01-16,3014798.548147428,0.0
2013-01-17,2994349.1981474278,0.0
2013-01-18,3022429.2981474283,0.0
2013-01-21,3018475.8481474277,0.0
2013-01-22,3032704.5093924976,0.0
2013-01-23,3029449.386241693,0.0
2013-01-24,3008989.283930568,0.0
2013-01-25,2998983.533930568,0.0
2013-01-28,3033500.1857920773,0.0
2013-01-29,3053125.635792077,0.0
2013-01-30,3056627.385792077,0.0
2013-01-31,3081327.885792077,0.0
2013-02-01,3088034.735792077,0.0
2013-02-04,3178443.035792077,0.0
2013-02-05,3162814.435792077,0.0
2013-02-06,3181055.385792077,0.0
2013-02-18,3185144.3357920772,0.0
2013-02-19,3172697.0857920772,0.0
2013-02-20,3218261.785792077,0.0
2013-02-21,3175695.935792077,0.0
2013-02-22,3172407.885792077,0.0
2013-02-23,3198129.885792077,0.0
2013-02-25,3169530.785792077,0.0
2013-02-26,3157064.985792077,0.0
2013-02-27,3152930.135792077,0.0
2013-03-01,3173933.1857920773,0.0
2013-03-04,3124569.635792077,0.0
2013-03-05,3153297.5857920772,0.0
2013-03-06,3149075.035792077,0.0
2013-03-07,3154431.285792077,0.0
2013-03-08,3204485.635792077,0.0
2013-03-11,3199078.135792077,0.0
2013-03-12,3172714.0857920772,0.0
2013-03-13,3171629.5857920772,0.0
2013-03-14,3165912.1794618713,0.0
2013-03-15,3161920.0794618716,0.0
2013-03-18,3111699.2794618714,0.0
2013-03-19,3110044.279461872,0.0
2013-03-20,3093448.5794618716,0.0
2013-03-21,3090937.0294618714,0.0
2013-03-22,3076490.1294618715,0.0
2013-03-25,3120708.8794618715,0.0
2013-03-26,3109305.5794618716,0.0
2013-03-27,3134590.279461872,0.0
2013-03-28,3125875.8294618716,0.0
2013-03-29,3139625.9294618717,0.0
2013-04-01,3127201.1794618717,0.0
2013-04-02,3118450.9794618716,0.0
2013-04-03,3131661.8294618716,0.0
2013-04-08,3048906.279461872,0.0
2013-04-09,3052466.5794618716,0.0
2013-04-10,3051884.5794618716,0.0
2013-04-11,3064694.879461872,0.0
2013-04-12,3057151.1794618717,0.0
2013-04-15,3042063.1794618717,0.0
2013-04-16,3035858.6794618713,0.0
2013-04-17,3003848.279461872,0.0
2013-04-18,3004888.9294618717,0.0
2013-04-19,3050164.1794618717,0.0
2013-04-22,3054667.4262212184,0.0
2013-04-23,3059320.2592133963,0.0
2013-04-24,3073755.6592133963,0.0
2013-04-25,3066837.3092133966,0.0
2013-04-26,3059367.5092133963,0.0
2013-04-29,3060008.7592133963,0.0
2013-04-30,3079560.1092133964,0.0
2013-05-02,3093498.9592133965,0.0
2013-05-03,3105765.559213396,0.0
2013-05-06,3106114.4592133965,0.0
2013-05-07,3107603.1092133964,0.0
2013-05-08,3124810.0092133963,0.0
2013-05-09,3133559.009213397,0.0
2013-05-10,3128324.4092133963,0.0
2013-05-13,3111681.3092133966,0.0
2013-05-14,3113184.2592133963,0.0
2013-05-15,3142483.9592133965,0.0
2013-05-16,3192198.2092133965,0.0
2013-05-17,3185047.8132554586,0.0
2013-05-20,3184733.013255459,0.0
2013-05-21,3180580.1632554587,0.0
2013-05-22,3185779.2132554585,0.0
2013-05-23,3128340.763255459,0.0
2013-05-24,3109690.29987306,0.0
2013-05-27,3141038.7998730605,0.0
2013-05-28,3140539.9998730603,0.0
2013-05-29,3160358.655481895,0.0
2013-05-30,3117724.555481895,0.0
2013-05-31,3149830.405481895,0.0
2013-06-03,3103821.805481895,0.0
2013-06-04,3094552.155481895,0.0
2013-06-05,3088589.6554818945,0.0
2013-06-06,3059278.7554818946,0.0
2013-06-07,3069321.0528204343,0.0
2013-06-10,3088370.4528204342,0.0
2013-06-11,3075450.1028204346,0.0
2013-06-13,3021298.7028204342,0.0
2013-06-14,3017658.2028204342,0.0
2013-06-17,3026407.5028204345,0.0
2013-06-18,3038372.7507620673,0.0
2013-06-19,3026355.5007620673,0.0
2013-06-20,3005309.950762067,0.0
2013-06-21,2980640.150762067,0.0
2013-06-24,2967192.450762067,0.0
2013-06-25,2946498.800762067,0.0
2013-06-26,2974905.017981303,0.0
2013-06-27,2983013.443857131,0.0
2013-06-28,3056699.800776276,0.0
2013-07-01,3041402.3507762756,0.0
2013-07-02,3042121.750776276,0.0
2013-07-03,3032464.6007762756,0.0
2013-07-04,3032055.1007762756,0.0
2013-07-05,3048470.9507762757,0.0
2013-07-08,3032074.6007762756,7271.0
2013-07-09,3066664.0007762755,0.0
2013-07-10,3093463.050776276,0.0
2013-07-11,3141668.8507762756,0.0
2013-07-12,3156073.550776276,0.0
2013-07-15,3167065.000776276,0.0
2013-07-16,3168911.491139876,0.0
2013-07-17,3193501.326626474,8362.050000000001
2013-07-18,3193243.793250783,0.0
2013-07-19,3173263.6804891666,0.0
2013-07-22,3183234.6755328677,0.0
2013-07-23,3212095.2161951237,0.0
2013-07-24,3202638.386115231,3444.0
2013-07-25,3186590.8055339446,0.0
2013-07-26,3197130.7843729267,0.0
2013-07-29,3188329.438981132,0.0
2013-07-30,3207878.238981132,0.0
2013-07-31,3189774.8889811323,0.0
2013-08-01,3197973.838981132,0.0
2013-08-02,3185842.8575360803,15865.65
2013-08-05,3188977.5182057736,0.0
2013-08-06,3155967.1682057735,0.0
2013-08-07,3132100.9182057735,0.0
2013-08-08,3120228.918205773,0.0
2013-08-09,3100522.3551336927,0.0
2013-08-12,3120531.055133693,0.0
2013-08-13,3114421.705133693,35043.8
2013-08-14,3079607.8794545666,14644.0
2013-08-15,3033093.2007398913,23387.0
2013-08-16,3039603.441579316,0.0
2013-08-19,3035309.341579316,0.0
2013-08-20,3031263.4415793163,0.0
2013-08-22,3024639.9510440608,0.0
2013-08-23,3027403.70234776,0.0
2013-08-26,3037462.75234776,0.0
2013-08-27,3030244.6115773926,0.0
2013-08-28,3023252.767377849,0.0
2013-08-29,3028268.6583876736,0.0
2013-08-30,3063528.408387673,0.0
2013-09-02,3058534.6913697543,0.0
2013-09-03,3086784.80670684,0.0
2013-09-04,3110307.806230219,0.0
2013-09-05,3117607.1890636524,0.0
2013-09-06,3112980.589063653,0.0
2013-09-09,3110291.4890636527,0.0
2013-09-10,3133336.155542882,0.0
2013-09-11,3138441.855542882,0.0
2013-09-12,3149573.7555428823,0.0
2013-09-13,3143012.0055428823,0.0
2013-09-14,3130338.055542882,0.0
2013-09-16,3169740.555542882,0.0
2013-09-17,3176446.205542882,0.0
2013-09-18,3164665.3555428823,0.0
2013-09-23,3213327.5055428823,0.0
2013-09-24,3212677.155542882,0.0
2013-09-25,3215691.801082853,0.0
2013-09-26,3162670.651082853,0.0
2013-09-27,3191782.960479461,0.0
2013-09-30,3154599.2604794614,0.0
2013-10-01,3160790.9104794613,0.0
2013-10-02,3144397.210479461,0.0
2013-10-03,3212998.710479461,0.0
2013-10-04,3220194.710479461,0.0
2013-10-07,3217071.810479461,0.0
2013-10-08,3237639.2104794616,0.0
2013-10-09,3225525.1104794615,0.0
2013-10-11,3228099.4604794616,0.0
2013-10-14,3215531.2662906596,0.0
2013-10-15,3240919.616290659,0.0
2013-10-16,3228929.6662906595,0.0
2013-10-17,3226087.34359474,0.0
2013-10-18,3232853.29359474,0.0
2013-10-21,3213329.075816371,0.0
2013-10-22,3208807.1258163713,0.0
2013-10-23,3213631.575816371,0.0
2013-10-24,3223253.725816371,8322.75
2013-10-25,3201676.775816371,0.0
2013-10-28,3229774.225816371,0.0
2013-10-29,3214365.5258163707,0.0
2013-10-30,3236675.875816371,0.0
2013-10-31,3246461.9258163706,0.0
2013-11-01,3220241.325816371,0.0
2013-11-04,3189608.175816371,0.0
2013-11-05,3174474.425816371,0.0
2013-11-06,3174363.1758163706,0.0
2013-11-07,3156655.875816371,0.0
2013-11-08,3164645.181101365,0.0
2013-11-11,3139490.481101365,0.0
2013-11-12,3157575.8811013647,0.0
2013-11-13,3121596.831101365,0.0
2013-11-14,3122788.331101365,0.0
2013-11-15,3132231.331101365,0.0
2013-11-18,3136181.1311013647,0.0
2013-11-19,3143316.1311013647,0.0
2013-11-20,3135423.481101365,0.0
2013-11-21,3100716.4311013645,0.0
2013-11-22,3125382.481101365,0.0
2013-11-25,3166367.181101365,0.0
2013-11-26,3166263.1311013647,0.0
2013-11-27,3173514.331101365,0.0
2013-11-28,3193097.7811013646,0.0
2013-11-29,3201311.681101365,0.0
2013-12-02,3196534.831101365,0.0
2013-12-03,3183180.481101365,0.0
2013-12-04,3193222.981101365,0.0
2013-12-05,3182481.7811013646,0.0
2013-12-06,3164758.3811013647,0.0
2013-12-09,3203579.181101365,0.0
2013-12-10,3219231.8311013645,0.0
2013-12-11,3231793.4311013645,0.0
2013-12-12,3196932.7811013646,0.0
2013-12-13,3217642.781101365,0.0
2013-12-16,3196122.981101365,0.0
2013-12-17,3188720.881101365,0.0
2013-12-18,3188827.5311013646,0.0
2013-12-19,3196672.081101365,0.0
2013-12-20,3186826.381101365,0.0
2013-12-23,3194097.194459998,0.0
2013-12-24,3192133.744459998,0.0
2013-12-25,3202163.2944599977,0.0
2013-12-26,3208293.994459998,0.0
2013-12-27,3219409.094459998,0.0
2013-12-30,3254819.9444599976,0.0
2013-12-31,3244414.194459998,0.0
2014-01-02,3248008.444459998,0.0
2014-01-03,3216615.094459998,0.0
2014-01-06,3205653.744459998,0.0
2014-01-07,3198964.1944599976,0.0
2014-01-08,3204240.9444599976,0.0
2014-01-09,3205933.794459998,0.0
2014-01-10,3207338.894459998,0.0
2014-01-13,3218146.0444599977,0.0
2014-01-14,3221398.244459998,0.0
2014-01-15,3227814.3487396766,0.0
2014-01-16,3230441.05825368,0.0
2014-01-17,3225564.35825368,0.0
2014-01-20,3233219.7582536796,0.0
2014-01-21,3219455.05825368,0.0
2014-01-22,3233832.8582536797,0.0
2014-01-23,3218262.4082536795,0.0
2014-01-24,3231686.70825368,0.0
2014-01-27,3184925.10825368,0.0
2014-02-05,3118436.55825368,0.0
2014-02-06,3123207.25825368,0.0
2014-02-07,3143661.90825368,0.0
2014-02-10,3141163.60825368,0.0
2014-02-11,3144310.00825368,0.0
2014-02-12,3168281.80825368,0.0
2014-02-13,3155498.1082536797,0.0
2014-02-14,3172142.3582536797,0.0
2014-02-17,3170890.00825368,0.0
2014-02-18,3193723.1082536797,0.0
2014-02-19,3192349.20825368,0.0
2014-02-20,3165180.65825368,0.0
2014-02-21,3202852.2582536796,0.0
2014-02-24,3189442.5082536796,0.0
2014-02-25,3178974.65825368,0.0
2014-02-26,3178141.1582536795,0.0
2014-02-27,3196517.55825368,0.0
2014-03-03,3166598.8582536797,0.0
2014-03-04,3149292.45825368,0.0
2014-03-05,3157848.55825368,0.0
2014-03-06,3185489.80825368,0.0
2014-03-07,3203774.7689261558,0.0
2014-03-10,3180375.4189261557,0.0
2014-03-11,3167516.868926156,0.0
2014-03-12,3170154.579885872,0.0
2014-03-13,3160834.229885872,0.0
2014-03-14,3145401.779885872,0.0
2014-03-17,3151725.0798858716,0.0
2014-03-18,3163575.329885872,0.0
2014-03-19,3150267.6798858717,0.0
2014-03-20,3119853.629885872,0.0
2014-03-21,3117292.379885872,0.0
2014-03-24,3128761.9798858715,0.0
2014-03-25,3136543.529885872,0.0
2014-03-26,3146561.429885872,0.0
2014-03-27,3136548.9298858717,0.0
2014-03-28,3165468.9298858717,0.0
2014-03-31,3185422.879885872,0.0
2014-04-01,3189284.5298858723,0.0
2014-04-02,3179322.729885872,0.0
2014-04-03,3187877.579885872,0.0
2014-04-07,3178564.0298858723,0.0
2014-04-08,3192910.5798858716,0.0
2014-04-09,3202488.9298858717,0.0
2014-04-10,3215159.9298858717,0.0
2014-04-11,3211361.6798858717,0.0
2014-04-14,3207286.229885872,0.0
2014-04-15,3198013.579885872,0.0
2014-04-16,3189600.779885872,0.0
2014-04-17,3204768.5798858716,0.0
2014-04-18,3209055.4298858717,0.0
2014-04-21,3196652.918739696,0.0
2014-04-22,3193971.068739696,0.0
2014-04-23,3185415.368739696,0.0
2014-04-24,3192418.568739696,0.0
2014-04-25,3152872.9290334624,0.0
2014-04-28,3159464.7790334625,0.0
2014-04-29,3173532.1790334624,0.0
2014-04-30,3146475.5790334623,0.0
2014-05-02,3175033.9477833463,0.0
2014-05-05,3165107.476444432,0.0
2014-05-06,3184012.136714449,0.0
2014-05-07,3185638.0953807845,0.0
2014-05-08,3199980.8953807848,0.0
2014-05-09,3192718.9453807846,0.0
2014-05-12,3173143.2453807844,0.0
2014-05-13,3180445.7453807844,0.0
2014-05-14,3197264.495380785,0.0
2014-05-15,3201419.545380784,0.0
2014-05-16,3205253.9453807846,0.0
2014-05-19,3208189.1453807848,0.0
2014-05-20,3200743.7953807847,0.0
2014-05-21,3191819.3453807845,0.0
2014-05-22,3229637.9453807846,0.0
2014-05-23,3245835.9453807846,0.0
2014-05-26,3250333.848073713,0.0
2014-05-27,3263127.4480737126,0.0
2014-05-28,3298423.768093788,0.0
2014-05-29,3294055.4884601342,0.0
2014-05-30,3323272.4865906546,0.0
2014-06-03,3321345.835227373,0.0
2014-06-04,3304729.3445956986,0.0
2014-06-05,3304927.3457495137,0.0
2014-06-06,3309981.545749514,0.0
2014-06-09,3313104.695749514,0.0
2014-06-10,3338752.824174543,0.0
2014-06-11,3331101.5741745434,0.0
2014-06-12,3334331.574174543,0.0
2014-06-13,3335741.474174543,0.0
2014-06-16,3334843.524174543,0.0
2014-06-17,3341917.074174543,0.0
2014-06-18,3345192.9741745433,0.0
2014-06-19,3345222.224174543,0.0
2014-06-20,3324945.005413872,0.0
2014-06-23,3339113.0730474056,0.0
2014-06-24,3355629.0230474058,0.0
2014-06-25,3364816.873047406,0.0
2014-06-26,3383569.5730474056,0.0
2014-06-27,3386319.7230474055,3007.2
2014-06-30,3390583.5730474056,0.0
2014-07-01,3397707.2230474055,0.0
2014-07-02,3402622.9230474057,0.0
2014-07-03,3384302.923047405,0.0
2014-07-04,3387251.0730474056,0.0
2014-07-07,3379236.2230474055,0.0
2014-07-08,3411271.9230474057,0.0
2014-07-09,3416785.323047405,0.0
