date,nav_base,nav_chal,rel_chal_vs_base
2012-12-04,500000000.0,500000000.0,1.0
2012-12-05,500940511.21989167,500940511.21989167,1.0
2012-12-06,500770541.429113,500770541.429113,1.0
2012-12-07,500852741.45812535,500852741.45812535,1.0
2012-12-10,497491009.79208136,497491009.79208136,1.0
2012-12-11,498186597.36229795,498185697.121762,0.9999981929651646
2012-12-12,503535191.01925147,503534587.3595972,0.9999988011569697
2012-12-13,505377891.01925147,505378887.3595972,1.000001971475926
2012-12-14,504783741.01925147,504784437.3595972,1.0000013794825173
2012-12-17,501825091.01925147,501825187.3595972,1.0000001919799297
2012-12-18,502621675.5928233,502623978.9808446,1.0000045827470903
2012-12-19,504288125.5928233,504289278.9808446,1.0000022871607772
2012-12-20,498480225.5928233,498480428.9808446,1.000000408016228
2012-12-21,492143625.5928233,492143928.9808446,1.0000006164623607
2012-12-22,493220825.5928233,493222328.9808446,1.0000030481032902
2012-12-24,493777125.5928233,493777378.9808446,1.0000005131627372
2012-12-25,499531575.5928233,499531978.9808446,1.0000008075325786
2012-12-26,497343425.5928233,497343078.9808446,0.9999993030731666
2012-12-27,498361225.5928233,498363478.9808446,1.0000045215957936
2012-12-28,501802813.685703,501804467.0737242,1.0000032948958757
2013-01-02,506629213.685703,506629017.0737242,0.999999611921355
2013-01-03,508294163.685703,508294067.0737242,0.9999998099290024
2013-01-04,503777113.685703,503775967.0737242,0.9999977239696929
2013-01-07,501688063.685703,501688717.0737242,1.0000013023790448
2013-01-08,501751363.685703,501752967.0737242,1.0000031955827873
2013-01-09,501035563.685703,501038717.0737242,1.0000062937409033
2013-01-10,508149513.685703,508152767.0737242,1.0000064024227784
2013-01-11,508360913.685703,508362417.0737242,1.000002957324178
2013-01-14,508255863.685703,508258467.0737242,1.0000051221996777
2013-01-15,506087763.685703,506090317.0737242,1.0000050453462905
2013-01-16,502640763.685703,502642917.0737242,1.0000042841491912
2013-01-17,499278213.685703,499280317.0737242,1.0000042128576083
2013-01-18,503953663.685703,503956767.0737242,1.0000061580820716
2013-01-21,503325613.685703,503329767.0737242,1.0000082518908402
2013-01-22,505675194.40159565,505679447.78961694,1.0000084113044665
2013-01-23,505116686.70106477,505120140.08908606,1.0000068368123884
2013-01-24,501744636.7010648,501747890.0890861,1.0000064841510667
2013-01-25,500074886.7010648,500077440.0890861,1.000005106011298
2013-01-28,505781661.2609667,505783814.0018237,1.0000042562651474
2013-01-29,509091561.2609667,509095264.0018237,1.0000072732316518
2013-01-30,509678411.2609667,509680164.0018237,1.000003438915242
2013-01-31,513760011.2609667,513758214.0018237,0.9999965017535355
2013-02-01,514910661.2609667,514908864.0018237,0.9999965095709252
2013-02-04,530102961.2609667,530103664.0018237,1.0000013256686122
2013-02-05,527521461.2609667,527522514.0018237,1.0000019956360724
2013-02-06,530585611.2609667,530586014.0018237,1.000000759049715
2013-02-18,531266161.2609668,531274314.0018238,1.0000153458688912
2013-02-19,529216161.2609667,529226014.0018237,1.0000186176114378
2013-02-20,536823711.2609667,536833164.0018237,1.0000176086500256
2013-02-21,529708361.2609667,529720314.0018237,1.0000225647577632
2013-02-22,529227311.2609667,529237714.0018237,1.00001965647017
2013-02-23,533492111.2609667,533501364.0018237,1.0000173437257303
2013-02-25,528707011.2609667,528718114.0018237,1.0000209997987932
2013-02-26,526624011.2609667,526635364.0018237,1.0000215575830464
2013-02-27,525887461.2609667,525896364.0018237,1.0000169289848357
2013-03-01,529413611.2609667,529422314.0018237,1.0000164384531713
2013-03-04,521076311.2609667,521086364.0018237,1.000019292262265
2013-03-05,525848311.2609667,525858914.0018237,1.000020163116682
2013-03-06,525143611.2609667,525153164.0018237,1.000018190720885
2013-03-07,526065711.2609667,526075864.0018237,1.0000192993777006
2013-03-08,534446161.2609667,534453614.0018237,1.0000139447925669
2013-03-11,533546061.2609667,533553764.0018237,1.0000144368807424
2013-03-12,529166361.2609667,529174464.0018237,1.000015312275024
2013-03-13,528934861.2609667,528943364.0018237,1.0000160752135654
2013-03-14,527964835.14796597,527971837.888823,1.000013263650135
2013-03-15,527224802.86308163,527233561.1896281,1.0000166121292073
2013-03-18,518936402.86308163,518943511.1896281,1.000013697876093
2013-03-19,518633152.86308163,518640311.1896281,1.000013802292636
2013-03-20,515914702.86308163,515921611.1896281,1.0000133904432422
2013-03-21,515506252.86308163,515511811.1896281,1.0000107822679465
2013-03-22,513088802.86308163,513094311.1896281,1.0000107356202586
2013-03-25,520461202.86308163,520467161.1896281,1.0000114481665756
2013-03-26,518637752.86308163,518644961.1896281,1.0000138985766205
2013-03-27,522803102.86308163,522809261.1896281,1.0000117794376369
2013-03-28,521388702.86308163,521394861.1896281,1.0000118113923695
2013-03-29,523699502.86308163,523704961.1896281,1.000010422630758
2013-04-01,521649152.86308163,521656661.1896281,1.000014393441464
2013-04-02,520165852.86308163,520173961.1896281,1.0000155879639192
2013-04-03,522327302.86308163,522334161.1896281,1.0000131303236666
2013-04-08,508598902.86308163,508603661.1896281,1.0000093557546421
2013-04-09,509152852.86308163,509156961.1896281,1.0000080689453539
2013-04-10,509042152.86308163,509045311.1896281,1.0000062044499236
2013-04-11,511141802.86308163,511146311.1896281,1.0000088201092558
2013-04-12,509916152.86308163,509921061.1896281,1.000009625752232
2013-04-15,507418102.86308163,507424461.1896281,1.0000125307443912
2013-04-16,506440752.86308163,506447261.1896281,1.0000128511114275
2013-04-17,501156552.86308163,501162311.1896281,1.0000114900753339
2013-04-18,501293352.86308163,501297561.1896281,1.000008394937859
2013-04-19,508830352.86308163,508835911.1896281,1.0000109237322719
2013-04-22,509552992.8824362,509558101.20898277,1.0000100251134187
2013-04-23,510423242.8824362,510429301.20898277,1.0000118692215354
2013-04-24,512813842.8824362,512819601.20898277,1.000011228882813
2013-04-25,511665142.8824362,511670101.20898277,1.0000096905693412
2013-04-26,510446792.8824362,510450301.20898277,1.0000068730504246
